Id,Title,Link,tag1,Tag2,Tag3,Tag4,tag5,isProblematic,Label1,Label2,Label3,Notes,ansLabel1,ansLabel2,ansLabel3,ansNotes
326366,Experiences with Zoho Creator?,https://stackoverflow.com/questions/326366,Platform issues,Database [connection| sclability| model design| Export/import data| Database design| DB scalability| DB Admin Authorization|,,,,,database,feature unavailability,,,,,,
359717,What's the best free resource to learn about Ms IIS?,https://stackoverflow.com/questions/359717,Queries on Platform [plaform comparision | platform features],Tutorial [How to do this ],,,,,,,,,,,,
980932,Python QuickBase API Help,https://stackoverflow.com/questions/980932,API Integration [Updating Integrated API versions | API unexpected response | Connecting external services | Ambiguous sample code integration],Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| ],,,,,,,,,,,,
1236439,How do generate screen elements dynamically in the OutSystems platform?,https://stackoverflow.com/questions/1236439,Application Customization [QR code | Automatic value| Show/Hide Component| Pagination],Dynamic Content,,,,label not inserted,user-interface,dynamic content management,,,,,,
1258834,Integrating CRM with Google maps,https://stackoverflow.com/questions/1258834,Tutorial [How to do this ],API Integration [Updating Integrated API versions | API unexpected response | Connecting external services | Ambiguous sample code integration],,,,feature implement ,CRM,feature integration,,,,,,
2022549,Using Javascript/jQuery to access HTML elements with improper id attribute,https://stackoverflow.com/questions/2022549,General programming query [JSON to CSV/excel],,,,,,scripting,finer grained customaization,,,,,,
2377082,XCelsius using ZOHO webservice,https://stackoverflow.com/questions/2377082,API Integration [Updating Integrated API versions | API unexpected response | Connecting external services | Ambiguous sample code integration],,,,,,,,,,,,,
3016015,Are there any serious pitfalls to Outsystems Agile Platform?,https://stackoverflow.com/questions/3016015,Queries on Platform [plaform comparision | platform features],,,,,,,,,,,,,
3700594,"Simple Integration - ZohoCRM, HighriseHQ, PipelineDeals",https://stackoverflow.com/questions/3700594,API Integration [Updating Integrated API versions | API unexpected response | Connecting external services | Ambiguous sample code integration],,,,,,integration between platforms,,,,,,,
3906522,APIs for implementing Document Editing and viewing features for a web app?,https://stackoverflow.com/questions/3906522,Tutorial [How to do this ],,,,,,,,,,a,ala,,
3990732,Reviews on these RAD tools,https://stackoverflow.com/questions/3990732,Queries on Platform [plaform comparision | platform features],,,,,,,,,,wr,,,
4432075,Floating exponent exponentiation algorithm,https://stackoverflow.com/questions/4432075,General programming query [JSON to CSV/excel],,,,,,,,,,wr,,,
4439797,How to implement exponentiation of a rational number without nth root?,https://stackoverflow.com/questions/4439797,General programming query [JSON to CSV/excel],,,,,,,,,,,,,
