Question_id,ViewCount,Challenge_Id,SDLC,ChallengeLabelModGias,Topic_Label,Topic_Id,ChallengeLabelModAlamin,Challenge_Label,Topic_Category,CreationDate
61325505,3,12,Maintenance,Authentication,Data Storage & Migration,0,,Access control [Application accessibility| Permission],Database,2020-04-20 14:57:35.467
61325505,3,26,Maintenance,Feature,Data Storage & Migration,0,,Flatform features [Event Monitoring | Dashboard customization | View Management | role management | collaboration | platform security],Database,2020-04-20 14:57:35.467
61350864,4,0,Development,Documentation,Dynamic Content Binding,8,,Tutorial [How to do this ],Customization,2020-04-21 18:45:31.533
61734639,4,0,Development,Documentation,Data Storage & Migration,0,,Tutorial [How to do this ],Database,2020-05-11 16:33:16.067
62018029,4,4,Development,Feature,Cloud and On-Prem Conf,9,,Queries on Platform [plaform comparision | platform features | Community support | Reusability Scalability performance],Adoption,2020-05-26 08:45:37.613
61659007,5,3,Development,Feature,Dynamic Content Display,10,,Application Customization [QR code | Automatic value| Show/Hide Component| Pagination | Automatic Email | Embedding | pagination ],Customization,2020-05-07 13:29:08.120
61011463,6,19,Development,Testing/Debugging,SQL CRUD,3,,Flatform features support [Event Monitoring | Dashboard customization | View Management | role management | collaboration | platform security],Database,2020-04-03 12:01:33.857
61186117,6,23,Development,Feature,Dynamic Content Binding,8,,Dynamic Content,Customization,2020-04-13 10:41:51.583
61210424,6,20,Testing,Testing/Debugging,Dynamic Event Handling,12,,Testing [Test failed| Test coverage| Third party functional testing suite|],Customization,2020-04-14 14:43:45.783
61827269,6,1,Development,Testing/Debugging,UI Adaptation,5,,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| Embedding | ],Customization,2020-05-15 19:52:13.397
61928879,6,3,Development,Feature,Dynamic Event Handling,12,,Application Customization [QR code | Automatic value| Show/Hide Component| Pagination | Automatic Email | Embedding | pagination ],Customization,2020-05-21 06:50:43.883
61979138,6,20,Testing,Testing/Debugging,Dynamic Content Display,10,,Testing [Test failed| Test coverage| Third party functional testing suite|],Customization,2020-05-23 22:02:30.660
62014768,6,15,Maintenance,Documentation,Access Control & Security,2,,Documentation [incorrent| incomplete| ambiguous| Ambiguous sample code integration],Adoption,2020-05-26 04:37:10.420
62014768,6,26,Maintenance,Feature,Access Control & Security,2,,Flatform features [Event Monitoring | Dashboard customization | View Management | role management | collaboration | platform security],Adoption,2020-05-26 04:37:10.420
61664951,7,0,Development,Documentation,Data Storage & Migration,0,,Tutorial [How to do this ],Database,2020-05-07 18:19:34.630
61674856,7,17,Development,Feature,External API & Email Config,7,,Email and DNS configuration [SMTP Authentication| email not working | DNS Integration],Integration,2020-05-08 08:14:23.937
