,link,qa,Dominant Topic,Correlation
0,"=HYPERLINK(""https://stackoverflow.com/q/326366"", ""326366"")",q,10,0.21750524109014677
1,"=HYPERLINK(""https://stackoverflow.com/q/359717"", ""359717"")",q,3,0.13643790849673204
2,"=HYPERLINK(""https://stackoverflow.com/q/544097"", ""544097"")",q,10,0.21874999999999997
3,"=HYPERLINK(""https://stackoverflow.com/q/980932"", ""980932"")",q,3,0.27355072463768104
4,"=HYPERLINK(""https://stackoverflow.com/q/1236439"", ""1236439"")",q,0,0.17202729044834303
5,"=HYPERLINK(""https://stackoverflow.com/q/1258834"", ""1258834"")",q,0,0.15650406504065043
6,"=HYPERLINK(""https://stackoverflow.com/q/2022549"", ""2022549"")",q,0,0.24057539682539675
7,"=HYPERLINK(""https://stackoverflow.com/q/2377082"", ""2377082"")",q,10,0.1343843843843844
8,"=HYPERLINK(""https://stackoverflow.com/q/2566385"", ""2566385"")",q,0,0.14148148148148154
9,"=HYPERLINK(""https://stackoverflow.com/q/2615337"", ""2615337"")",q,10,0.16810966810966815
10,"=HYPERLINK(""https://stackoverflow.com/q/3016015"", ""3016015"")",q,10,0.111965811965812
11,"=HYPERLINK(""https://stackoverflow.com/q/3578981"", ""3578981"")",q,10,0.2350948509485095
12,"=HYPERLINK(""https://stackoverflow.com/q/3700594"", ""3700594"")",q,6,0.15636200716845877
13,"=HYPERLINK(""https://stackoverflow.com/q/3906522"", ""3906522"")",q,3,0.2321428571428571
14,"=HYPERLINK(""https://stackoverflow.com/q/3990732"", ""3990732"")",q,10,0.13970588235294124
15,"=HYPERLINK(""https://stackoverflow.com/q/4432075"", ""4432075"")",q,2,0.28995433789954345
16,"=HYPERLINK(""https://stackoverflow.com/q/4439797"", ""4439797"")",q,2,0.2354166666666667
17,"=HYPERLINK(""https://stackoverflow.com/q/4556252"", ""4556252"")",q,3,0.1867469879518073
18,"=HYPERLINK(""https://stackoverflow.com/q/4598926"", ""4598926"")",q,9,0.1304012345679013
19,"=HYPERLINK(""https://stackoverflow.com/q/4804623"", ""4804623"")",q,6,0.19034608378870677
20,"=HYPERLINK(""https://stackoverflow.com/q/5552901"", ""5552901"")",q,6,0.22624798711755237
21,"=HYPERLINK(""https://stackoverflow.com/q/6580311"", ""6580311"")",q,6,0.1917057902973396
22,"=HYPERLINK(""https://stackoverflow.com/q/6645196"", ""6645196"")",q,10,0.16756272401433697
23,"=HYPERLINK(""https://stackoverflow.com/q/7048854"", ""7048854"")",q,3,0.22140522875816998
24,"=HYPERLINK(""https://stackoverflow.com/q/7304006"", ""7304006"")",q,3,0.2904589371980676
25,"=HYPERLINK(""https://stackoverflow.com/q/7383641"", ""7383641"")",q,6,0.19497863247863248
26,"=HYPERLINK(""https://stackoverflow.com/q/7679733"", ""7679733"")",q,3,0.22375127420998975
27,"=HYPERLINK(""https://stackoverflow.com/q/7699717"", ""7699717"")",q,5,0.18913857677902624
28,"=HYPERLINK(""https://stackoverflow.com/q/7839597"", ""7839597"")",q,5,0.24198717948717943
29,"=HYPERLINK(""https://stackoverflow.com/q/8005085"", ""8005085"")",q,3,0.2797339593114241
30,"=HYPERLINK(""https://stackoverflow.com/q/8040701"", ""8040701"")",q,11,0.16666666666666669
31,"=HYPERLINK(""https://stackoverflow.com/q/8067099"", ""8067099"")",q,9,0.19901065449010652
32,"=HYPERLINK(""https://stackoverflow.com/q/8123314"", ""8123314"")",q,3,0.19901547116736992
33,"=HYPERLINK(""https://stackoverflow.com/q/8430681"", ""8430681"")",q,6,0.16265060240963855
34,"=HYPERLINK(""https://stackoverflow.com/q/8430696"", ""8430696"")",q,6,0.13888888888888895
35,"=HYPERLINK(""https://stackoverflow.com/q/8522884"", ""8522884"")",q,3,0.3336526181353768
36,"=HYPERLINK(""https://stackoverflow.com/q/8640940"", ""8640940"")",q,10,0.3455215419501134
37,"=HYPERLINK(""https://stackoverflow.com/q/8657698"", ""8657698"")",q,4,0.1732456140350877
38,"=HYPERLINK(""https://stackoverflow.com/q/8980486"", ""8980486"")",q,3,0.2565831727681439
39,"=HYPERLINK(""https://stackoverflow.com/q/9041860"", ""9041860"")",q,3,0.12801932367149763
40,"=HYPERLINK(""https://stackoverflow.com/q/9054254"", ""9054254"")",q,3,0.16582491582491585
41,"=HYPERLINK(""https://stackoverflow.com/q/9076585"", ""9076585"")",q,2,0.119482496194825
42,"=HYPERLINK(""https://stackoverflow.com/q/9139207"", ""9139207"")",q,9,0.10663082437275985
43,"=HYPERLINK(""https://stackoverflow.com/q/9168994"", ""9168994"")",q,5,0.16562824506749738
44,"=HYPERLINK(""https://stackoverflow.com/q/9187799"", ""9187799"")",q,6,0.2412095639943741
45,"=HYPERLINK(""https://stackoverflow.com/q/9257823"", ""9257823"")",q,9,0.11025641025641027
46,"=HYPERLINK(""https://stackoverflow.com/q/9372228"", ""9372228"")",q,3,0.26111111111111107
47,"=HYPERLINK(""https://stackoverflow.com/q/9391137"", ""9391137"")",q,3,0.27037037037037037
48,"=HYPERLINK(""https://stackoverflow.com/q/9481841"", ""9481841"")",q,2,0.15037037037037038
49,"=HYPERLINK(""https://stackoverflow.com/q/9588748"", ""9588748"")",q,11,0.2272727272727272
50,"=HYPERLINK(""https://stackoverflow.com/q/9766725"", ""9766725"")",q,2,0.15255731922398597
51,"=HYPERLINK(""https://stackoverflow.com/q/9802779"", ""9802779"")",q,5,0.16500829187396354
52,"=HYPERLINK(""https://stackoverflow.com/q/9959449"", ""9959449"")",q,3,0.18235294117647063
53,"=HYPERLINK(""https://stackoverflow.com/q/9980294"", ""9980294"")",q,3,0.4019916142557652
54,"=HYPERLINK(""https://stackoverflow.com/q/10042002"", ""10042002"")",q,7,0.1828703703703704
55,"=HYPERLINK(""https://stackoverflow.com/q/10152372"", ""10152372"")",q,6,0.10530679933665008
56,"=HYPERLINK(""https://stackoverflow.com/q/10170940"", ""10170940"")",q,3,0.21205962059620595
57,"=HYPERLINK(""https://stackoverflow.com/q/10215293"", ""10215293"")",q,9,0.13024691358024693
58,"=HYPERLINK(""https://stackoverflow.com/q/10247749"", ""10247749"")",q,10,0.17887667887667885
59,"=HYPERLINK(""https://stackoverflow.com/q/10476572"", ""10476572"")",q,3,0.14102564102564108
60,"=HYPERLINK(""https://stackoverflow.com/q/10557731"", ""10557731"")",q,3,0.21130104463437793
61,"=HYPERLINK(""https://stackoverflow.com/q/10586848"", ""10586848"")",q,3,0.20663956639566392
62,"=HYPERLINK(""https://stackoverflow.com/q/10673123"", ""10673123"")",q,3,0.3160919540229884
63,"=HYPERLINK(""https://stackoverflow.com/q/10690115"", ""10690115"")",q,6,0.3021367521367522
64,"=HYPERLINK(""https://stackoverflow.com/q/10761717"", ""10761717"")",q,6,0.18680555555555559
65,"=HYPERLINK(""https://stackoverflow.com/q/10774183"", ""10774183"")",q,10,0.16351010101010105
66,"=HYPERLINK(""https://stackoverflow.com/q/10784169"", ""10784169"")",q,6,0.2268093781855249
67,"=HYPERLINK(""https://stackoverflow.com/q/10898993"", ""10898993"")",q,2,0.22427983539094645
68,"=HYPERLINK(""https://stackoverflow.com/q/10919857"", ""10919857"")",q,1,0.12165963431786217
69,"=HYPERLINK(""https://stackoverflow.com/q/10923870"", ""10923870"")",q,1,0.16127292340884572
70,"=HYPERLINK(""https://stackoverflow.com/q/10930561"", ""10930561"")",q,11,0.16089466089466092
71,"=HYPERLINK(""https://stackoverflow.com/q/11064969"", ""11064969"")",q,5,0.22785829307568442
72,"=HYPERLINK(""https://stackoverflow.com/q/11171081"", ""11171081"")",q,1,0.14357864357864364
73,"=HYPERLINK(""https://stackoverflow.com/q/11248169"", ""11248169"")",q,5,0.16325536062378165
74,"=HYPERLINK(""https://stackoverflow.com/q/11306027"", ""11306027"")",q,1,0.18075117370892022
75,"=HYPERLINK(""https://stackoverflow.com/q/11316689"", ""11316689"")",q,6,0.1402439024390244
76,"=HYPERLINK(""https://stackoverflow.com/q/11352675"", ""11352675"")",q,3,0.18592592592592597
77,"=HYPERLINK(""https://stackoverflow.com/q/11446885"", ""11446885"")",q,4,0.2115384615384615
78,"=HYPERLINK(""https://stackoverflow.com/q/11513122"", ""11513122"")",q,3,0.14734299516908217
79,"=HYPERLINK(""https://stackoverflow.com/q/11698968"", ""11698968"")",q,0,0.1464646464646465
80,"=HYPERLINK(""https://stackoverflow.com/q/11718933"", ""11718933"")",q,3,0.23688271604938277
81,"=HYPERLINK(""https://stackoverflow.com/q/12004748"", ""12004748"")",q,10,0.3746829020801623
82,"=HYPERLINK(""https://stackoverflow.com/q/12020334"", ""12020334"")",q,3,0.17909356725146203
83,"=HYPERLINK(""https://stackoverflow.com/q/12028626"", ""12028626"")",q,3,0.2488179669030732
84,"=HYPERLINK(""https://stackoverflow.com/q/12031216"", ""12031216"")",q,11,0.13973063973063973
85,"=HYPERLINK(""https://stackoverflow.com/q/12087385"", ""12087385"")",q,3,0.15388888888888885
86,"=HYPERLINK(""https://stackoverflow.com/q/12242168"", ""12242168"")",q,9,0.1641123882503193
87,"=HYPERLINK(""https://stackoverflow.com/q/12270740"", ""12270740"")",q,0,0.22479423868312753
88,"=HYPERLINK(""https://stackoverflow.com/q/12318829"", ""12318829"")",q,11,0.12257495590828926
89,"=HYPERLINK(""https://stackoverflow.com/q/12382382"", ""12382382"")",q,1,0.17144563918757463
90,"=HYPERLINK(""https://stackoverflow.com/q/12412269"", ""12412269"")",q,2,0.17290249433106578
91,"=HYPERLINK(""https://stackoverflow.com/q/12504547"", ""12504547"")",q,3,0.2163947163947163
92,"=HYPERLINK(""https://stackoverflow.com/q/12507134"", ""12507134"")",q,9,0.20737547892720298
93,"=HYPERLINK(""https://stackoverflow.com/q/12559029"", ""12559029"")",q,8,0.1266666666666667
94,"=HYPERLINK(""https://stackoverflow.com/q/12729100"", ""12729100"")",q,6,0.19270833333333334
95,"=HYPERLINK(""https://stackoverflow.com/q/12892318"", ""12892318"")",q,11,0.13926940639269408
96,"=HYPERLINK(""https://stackoverflow.com/q/13056153"", ""13056153"")",q,6,0.16532797858099063
97,"=HYPERLINK(""https://stackoverflow.com/q/13063536"", ""13063536"")",q,11,0.2085137085137085
98,"=HYPERLINK(""https://stackoverflow.com/q/13085151"", ""13085151"")",q,11,0.25105485232067504
99,"=HYPERLINK(""https://stackoverflow.com/q/13267422"", ""13267422"")",q,3,0.19761904761904764
100,"=HYPERLINK(""https://stackoverflow.com/q/13393253"", ""13393253"")",q,4,0.16258169934640526
101,"=HYPERLINK(""https://stackoverflow.com/q/13480693"", ""13480693"")",q,11,0.22052154195011334
102,"=HYPERLINK(""https://stackoverflow.com/q/13561945"", ""13561945"")",q,10,0.18921095008051528
103,"=HYPERLINK(""https://stackoverflow.com/q/13767870"", ""13767870"")",q,0,0.16335978835978837
104,"=HYPERLINK(""https://stackoverflow.com/q/13825378"", ""13825378"")",q,3,0.19715447154471546
105,"=HYPERLINK(""https://stackoverflow.com/q/13834716"", ""13834716"")",q,4,0.2536813922356091
106,"=HYPERLINK(""https://stackoverflow.com/q/13929746"", ""13929746"")",q,3,0.16629129129129128
107,"=HYPERLINK(""https://stackoverflow.com/q/13991036"", ""13991036"")",q,5,0.1474867724867725
108,"=HYPERLINK(""https://stackoverflow.com/q/14001746"", ""14001746"")",q,1,0.1748737373737374
