,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
Term 1,page 0.0881,list 0.0635,api 0.0771,error 0.0841,file 0.086,power 0.0286,user 0.0854,queri 0.0503,script 0.0497,record 0.086,data 0.1175,compon 0.0702
Term 2,button 0.0573,form 0.0439,request 0.0338,email 0.0775,project 0.0248,app 0.0256,access 0.0329,date 0.0391,function 0.0441,field 0.0539,tabl 0.093,page 0.0243
Term 3,click 0.0394,field 0.0371,url 0.0317,send 0.0463,upload 0.0242,flow 0.0254,creat 0.0298,filter 0.0343,error 0.0393,object 0.0467,creat 0.0284,element 0.0215
Term 4,widget 0.0302,select 0.0345,crm 0.0245,messag 0.0286,document 0.024,custom 0.0172,connect 0.028,datasourc 0.0311,im 0.0375,creat 0.0436,relat 0.0278,control 0.0209
Term 5,open 0.0229,item 0.0315,respons 0.0236,mail 0.0183,drive 0.0233,add 0.0169,applic 0.0213,search 0.0239,work 0.0339,custom 0.0344,model 0.0274,class 0.0198
Term 6,user 0.0189,dropdown 0.0271,post 0.0198,address 0.0181,folder 0.0166,connector 0.0164,databas 0.0211,field 0.0202,call 0.0264,updat 0.0296,row 0.0224,html 0.0198
Term 7,event 0.0168,text 0.0232,data 0.0188,server 0.0179,attach 0.0163,azur 0.0161,cloud 0.0189,number 0.02,ive 0.0223,id 0.0247,record 0.0213,imag 0.019
Term 8,work 0.0152,sharepoint 0.0211,call 0.0181,receiv 0.0174,find 0.0159,creat 0.0151,deploy 0.0189,tabl 0.019,run 0.0199,case 0.0237,sql 0.0185,work 0.0174
Term 9,link 0.0152,option 0.0182,json 0.0156,work 0.0152,report 0.0146,imag 0.014,sql 0.0177,calcul 0.0174,server 0.0172,contact 0.0217,datasourc 0.0162,apex 0.0165
Term 10,chang 0.0144,user 0.0176,rest 0.0148,set 0.0133,calendar 0.0137,microsoft 0.0134,login 0.0157,result 0.0174,return 0.017,add 0.0193,databas 0.0157,javascript 0.0145
Term 11,add 0.0143,valu 0.0172,token 0.0138,valid 0.0129,add 0.0117,work 0.0123,account 0.0152,display 0.0162,client 0.0138,account 0.0156,save 0.0153,display 0.0139
Term 12,tab 0.0139,show 0.016,integr 0.0115,issu 0.0124,pdf 0.0114,mobil 0.0119,servic 0.0139,im 0.0146,variabl 0.0128,task 0.0148,show 0.0138,lwc 0.0135
Term 13,load 0.013,galleri 0.0155,paramet 0.0114,im 0.0121,approv 0.0112,powerapp 0.0112,log 0.0132,base 0.0118,line 0.012,type 0.0116,sourc 0.0138,test 0.0133
Term 14,edit 0.012,screen 0.0149,access 0.0114,configur 0.0117,gener 0.0109,function 0.0111,group 0.0125,time 0.0116,array 0.0119,insert 0.0105,column 0.0137,web 0.0126
Term 15,creat 0.011,set 0.0147,im 0.0112,connect 0.011,work 0.0105,screen 0.0093,admin 0.0115,record 0.011,make 0.0115,set 0.0102,key 0.0134,show 0.0118
Term 16,view 0.0099,input 0.0146,chatter 0.011,fail 0.0092,user 0.0101,develop 0.0092,manag 0.0115,bind 0.0106,method 0.0105,activ 0.01,updat 0.0125,js 0.011
Term 17,set 0.0092,column 0.0142,method 0.0109,domain 0.0088,picker 0.0099,collect 0.009,set 0.0113,return 0.0101,string 0.01,list 0.01,id 0.0118,tag 0.0094
Term 18,action 0.0091,box 0.0137,form 0.0107,run 0.0088,import 0.0096,step 0.0084,develop 0.0108,sort 0.0099,problem 0.0097,trigger 0.0092,server 0.0102,method 0.0093
Term 19,make 0.0085,display 0.0106,error 0.0099,test 0.0087,templat 0.0091,emb 0.0081,permiss 0.0104,work 0.0099,execut 0.0091,relat 0.0091,store 0.0097,add 0.0091
Term 20,show 0.008,data 0.01,xml 0.0097,problem 0.0083,creat 0.0084,ms 0.0081,role 0.0099,model 0.0099,result 0.0086,entiti 0.0088,sheet 0.0095,issu 0.009
Term 21,navig 0.0079,creat 0.01,return 0.0093,trigger 0.0074,tool 0.0081,build 0.0078,instanc 0.0098,column 0.0091,side 0.0086,relationship 0.0075,add 0.008,map 0.0088
Term 22,detail 0.0076,collect 0.0087,applic 0.0091,account 0.0073,solut 0.0079,web 0.0078,publish 0.0098,total 0.0089,read 0.0083,assign 0.0075,valu 0.0076,insid 0.0085
Term 23,select 0.0074,edit 0.0086,header 0.0086,support 0.0073,make 0.0076,agent 0.0077,environ 0.0089,string 0.0088,type 0.0082,parent 0.0072,import 0.0068,load 0.0085
Term 24,popup 0.0066,work 0.0082,php 0.0084,complet 0.007,csv 0.0075,applic 0.0072,commun 0.0088,select 0.008,write 0.0077,action 0.0069,display 0.0068,url 0.0081
Term 25,onclick 0.0066,submit 0.008,work 0.0083,correct 0.0067,time 0.007,start 0.0072,preview 0.0073,day 0.008,issu 0.0076,exist 0.0069,im 0.0067,attribut 0.0079
Term 26,row 0.0066,properti 0.0074,make 0.008,fine 0.0067,extens 0.0067,connect 0.0071,option 0.0068,month 0.0079,version 0.0076,chang 0.0068,load 0.0066,render 0.0076
Term 27,display 0.0064,drop 0.0072,lead 0.0079,setup 0.0067,team 0.0065,pictur 0.0065,check 0.0063,label 0.0067,output 0.0074,call 0.0067,excel 0.0066,resourc 0.0075
Term 28,item 0.0058,save 0.007,client 0.0078,notif 0.0066,doc 0.0064,websit 0.0063,product 0.0063,type 0.0066,time 0.0072,delet 0.0067,inform 0.0066,custom 0.0074
Term 29,entri 0.0056,button 0.0069,document 0.0074,smtp 0.0058,refer 0.0059,time 0.0061,password 0.0062,multipl 0.0062,find 0.0066,owner 0.0066,export 0.0066,dynam 0.0069
Term 30,back 0.0054,base 0.0068,retriev 0.0068,check 0.0057,ive 0.0059,idea 0.0061,enabl 0.0061,current 0.0061,properti 0.0065,workflow 0.0061,work 0.0065,vf 0.0068
