,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13
Term 1,page 0.0498,data 0.0972,record 0.0775,user 0.1263,error 0.0696,button 0.0754,email 0.0887,im 0.029,file 0.1169,list 0.0722,tabl 0.0628,tabl 0.0624,api 0.0881,deploy 0.0266
Term 2,compon 0.042,power 0.0289,field 0.0562,access 0.0485,script 0.0506,page 0.0626,send 0.0533,document 0.0198,imag 0.0447,item 0.0334,date 0.0474,datasourc 0.0488,url 0.0384,project 0.026
Term 3,work 0.0221,creat 0.0268,object 0.0552,creat 0.0241,function 0.0419,form 0.0558,connect 0.0388,creat 0.0181,compon 0.0443,select 0.0313,sql 0.0386,data 0.037,request 0.0329,test 0.0245
Term 4,element 0.0198,connect 0.0263,creat 0.0305,login 0.023,work 0.0327,click 0.045,error 0.0314,ive 0.017,drive 0.036,field 0.031,data 0.0301,model 0.0354,crm 0.0284,issu 0.023
Term 5,html 0.019,flow 0.0256,custom 0.0266,group 0.0198,im 0.0297,save 0.0268,messag 0.026,find 0.0166,upload 0.0335,dropdown 0.027,column 0.0273,relat 0.0313,respons 0.0265,error 0.0228
Term 6,add 0.0158,app 0.0253,contact 0.0254,account 0.0188,call 0.0288,creat 0.026,address 0.0229,task 0.0163,attach 0.0237,sharepoint 0.0254,queri 0.0249,record 0.0296,call 0.0219,applic 0.0213
Term 7,web 0.0127,databas 0.0198,updat 0.0236,applic 0.0183,server 0.0224,open 0.0236,mail 0.0218,user 0.015,folder 0.023,text 0.0245,databas 0.0223,queri 0.0274,data 0.0211,work 0.0207
Term 8,widget 0.0127,excel 0.0166,id 0.0236,admin 0.0162,return 0.0205,add 0.0235,server 0.0185,approv 0.013,pdf 0.0158,screen 0.0197,number 0.0221,widget 0.0247,json 0.0182,develop 0.0174
Term 9,control 0.0121,connector 0.0166,case 0.0214,chatter 0.0161,run 0.017,record 0.0219,set 0.0174,add 0.0126,picker 0.0153,box 0.019,cloud 0.0185,page 0.0202,rest 0.017,calendar 0.0159
Term 10,javascript 0.0117,azur 0.0162,apex 0.0199,commun 0.0153,ive 0.0165,edit 0.0214,servic 0.0171,question 0.012,control 0.0122,option 0.0181,row 0.0164,filter 0.0196,post 0.0166,creat 0.0156
Term 11,load 0.0111,sql 0.016,class 0.0188,permiss 0.0146,client 0.0127,user 0.0207,receiv 0.0158,search 0.0114,csv 0.0104,column 0.018,field 0.0158,item 0.0174,error 0.0165,run 0.0144
