,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
Term 1,record 0.1088,compon 0.0694,im 0.0381,api 0.0822,tabl 0.071,date 0.0565,data 0.0847,user 0.1305,file 0.1127,applic 0.0353,page 0.112,button 0.0887,error 0.0876,list 0.089,field 0.0727
Term 2,object 0.0525,error 0.027,work 0.0287,request 0.0364,datasourc 0.0499,queri 0.0264,sql 0.0474,access 0.0328,imag 0.0492,access 0.0219,custom 0.0268,form 0.0658,email 0.0754,item 0.0411,text 0.0373
Term 3,field 0.042,element 0.0253,ive 0.0275,crm 0.029,data 0.0436,number 0.0197,databas 0.0464,creat 0.0244,upload 0.0326,login 0.0218,tab 0.0207,click 0.0438,send 0.0476,select 0.0371,variabl 0.0308
Term 4,creat 0.0392,function 0.0232,script 0.027,call 0.0289,model 0.0355,tabl 0.0197,connect 0.0365,approv 0.0167,drive 0.0315,creat 0.0208,open 0.0198,creat 0.0358,server 0.0236,column 0.0347,input 0.0307
Term 5,id 0.0345,call 0.0228,project 0.022,respons 0.0261,script 0.033,time 0.0194,cloud 0.0338,applic 0.0167,folder 0.0224,servic 0.0196,load 0.0193,user 0.0339,messag 0.0228,sharepoint 0.0324,valu 0.024
Term 6,contact 0.0277,class 0.0217,function 0.0191,error 0.0257,queri 0.029,calendar 0.0171,creat 0.0334,account 0.0164,attach 0.0223,url 0.0195,work 0.0187,save 0.0336,work 0.0225,dropdown 0.0282,type 0.0229
Term 7,custom 0.0273,method 0.0213,find 0.0172,data 0.0227,widget 0.028,im 0.0167,power 0.0287,group 0.0155,pdf 0.0154,integr 0.018,url 0.015,add 0.0285,mail 0.0202,screen 0.0253,set 0.0219
Term 8,updat 0.0269,apex 0.0201,make 0.0151,im 0.0194,page 0.0273,calcul 0.014,flow 0.0263,add 0.0153,widget 0.0146,develop 0.0177,add 0.0149,edit 0.0242,address 0.0186,galleri 0.0216,label 0.0216
Term 9,case 0.0212,control 0.02,time 0.0133,return 0.0185,relat 0.0228,day 0.0136,app 0.0246,set 0.015,picker 0.0142,web 0.0164,compon 0.0141,record 0.0216,run 0.016,filter 0.0207,box 0.0195
Term 10,relat 0.02,work 0.0172,gener 0.0107,json 0.0185,filter 0.0197,total 0.0129,connector 0.0172,deploy 0.0146,document 0.0132,token 0.0159,issu 0.0132,submit 0.0207,connect 0.0133,show 0.0199,search 0.0146
