,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
Term 1,list 0.0464,page 0.0512,error 0.0392,api 0.0453,tabl 0.0552,user 0.0456
Term 2,field 0.0431,file 0.0365,im 0.036,email 0.0288,data 0.0541,access 0.0249
Term 3,form 0.0322,compon 0.0331,work 0.0336,object 0.024,record 0.0473,connect 0.0224
Term 4,select 0.0269,button 0.0201,function 0.0299,custom 0.0219,queri 0.0247,creat 0.0203
Term 5,item 0.0199,click 0.0172,script 0.0243,send 0.021,datasourc 0.0242,applic 0.0197
Term 6,user 0.018,add 0.0167,call 0.0234,request 0.0199,creat 0.0219,error 0.0177
Term 7,set 0.0171,work 0.015,ive 0.0218,creat 0.0178,relat 0.0186,app 0.0146
Term 8,text 0.0168,imag 0.0149,time 0.0165,url 0.0177,model 0.0182,server 0.0132
Term 9,dropdown 0.0164,open 0.0122,run 0.0142,crm 0.0144,row 0.0147,servic 0.0128
Term 10,valu 0.0155,event 0.0114,return 0.0129,respons 0.0139,updat 0.0145,databas 0.0122
Term 11,column 0.0148,drive 0.011,problem 0.0104,data 0.0133,id 0.0128,sql 0.0116
Term 12,show 0.0146,creat 0.0109,find 0.0099,contact 0.0129,page 0.0125,power 0.0111
Term 13,sharepoint 0.014,control 0.0104,make 0.0099,post 0.0128,project 0.0095,cloud 0.0105
Term 14,option 0.014,upload 0.0104,string 0.0092,account 0.0125,sql 0.0095,deploy 0.0099
Term 15,button 0.0132,element 0.0101,issu 0.009,document 0.0124,show 0.0094,develop 0.0098
Term 16,display 0.013,load 0.0101,line 0.0087,call 0.0116,save 0.0093,login 0.0086
Term 17,screen 0.0123,html 0.0098,write 0.0082,id 0.0113,calcul 0.0093,log 0.0081
Term 18,data 0.0121,attach 0.0096,type 0.008,updat 0.0095,script 0.0093,token 0.0076
Term 19,input 0.0114,show 0.0092,result 0.0077,messag 0.0094,server 0.0092,set 0.0076
Term 20,date 0.0113,widget 0.0086,array 0.0069,record 0.0093,add 0.009,configur 0.0073
Term 21,filter 0.0103,tab 0.0084,start 0.0068,flow 0.0093,widget 0.0085,group 0.0069
Term 22,box 0.0099,class 0.0083,wrong 0.0066,json 0.0092,filter 0.0082,issu 0.0069
Term 23,creat 0.0097,link 0.0082,test 0.0064,case 0.0088,client 0.0081,account 0.0068
Term 24,add 0.0096,javascript 0.0082,method 0.0063,rest 0.0087,field 0.008,project 0.0067
Term 25,galleri 0.0094,content 0.0077,read 0.006,integr 0.0085,delet 0.0074,manag 0.0066
Term 26,collect 0.0092,custom 0.0076,date 0.006,lead 0.0075,base 0.0073,add 0.0065
Term 27,search 0.009,folder 0.0073,execut 0.006,method 0.0071,display 0.0072,connector 0.0064
Term 28,edit 0.0081,display 0.0071,version 0.0059,find 0.0071,databas 0.0068,step 0.0063
Term 29,label 0.0081,apex 0.0066,calendar 0.0059,trigger 0.007,key 0.0066,azur 0.0063
Term 30,work 0.008,web 0.0064,expect 0.0058,return 0.0069,user 0.0064,domain 0.0062
