,link,qa,Dominant Topic,Correlation
0,"=HYPERLINK(""https://stackoverflow.com/q/326366"", ""326366"")",q,1,0.25019751490339726
1,"=HYPERLINK(""https://stackoverflow.com/q/359717"", ""359717"")",q,0,0.3145743145743145
2,"=HYPERLINK(""https://stackoverflow.com/q/544097"", ""544097"")",q,2,0.2877289377289377
3,"=HYPERLINK(""https://stackoverflow.com/q/980932"", ""980932"")",q,1,0.674187892211148
4,"=HYPERLINK(""https://stackoverflow.com/q/1236439"", ""1236439"")",q,4,0.2798495569579907
5,"=HYPERLINK(""https://stackoverflow.com/q/1258834"", ""1258834"")",q,1,0.49160004634457183
6,"=HYPERLINK(""https://stackoverflow.com/q/2022549"", ""2022549"")",q,6,0.3152630198084744
7,"=HYPERLINK(""https://stackoverflow.com/q/2377082"", ""2377082"")",q,0,0.5037134119702926
8,"=HYPERLINK(""https://stackoverflow.com/q/2566385"", ""2566385"")",q,6,0.5744620811287479
9,"=HYPERLINK(""https://stackoverflow.com/q/2615337"", ""2615337"")",q,2,0.30975625954705455
10,"=HYPERLINK(""https://stackoverflow.com/q/3016015"", ""3016015"")",q,3,0.2518177163338454
11,"=HYPERLINK(""https://stackoverflow.com/q/3578981"", ""3578981"")",q,1,0.4717298111458695
12,"=HYPERLINK(""https://stackoverflow.com/q/3700594"", ""3700594"")",q,1,0.4028336686787391
13,"=HYPERLINK(""https://stackoverflow.com/q/3906522"", ""3906522"")",q,1,0.4954715219421103
14,"=HYPERLINK(""https://stackoverflow.com/q/3990732"", ""3990732"")",q,0,0.38970057720057716
15,"=HYPERLINK(""https://stackoverflow.com/q/4432075"", ""4432075"")",q,1,0.6899872113142256
16,"=HYPERLINK(""https://stackoverflow.com/q/4439797"", ""4439797"")",q,1,0.47619047619047616
17,"=HYPERLINK(""https://stackoverflow.com/q/4556252"", ""4556252"")",q,1,0.5430153081398633
18,"=HYPERLINK(""https://stackoverflow.com/q/4598926"", ""4598926"")",q,1,0.2904606286959229
19,"=HYPERLINK(""https://stackoverflow.com/q/4804623"", ""4804623"")",q,1,0.6319210098737658
20,"=HYPERLINK(""https://stackoverflow.com/q/5552901"", ""5552901"")",q,1,0.5362997658079625
21,"=HYPERLINK(""https://stackoverflow.com/q/6580311"", ""6580311"")",q,5,0.41527677060671975
22,"=HYPERLINK(""https://stackoverflow.com/q/6645196"", ""6645196"")",q,3,0.2680644397062308
23,"=HYPERLINK(""https://stackoverflow.com/q/7048854"", ""7048854"")",q,1,0.6548520923520923
24,"=HYPERLINK(""https://stackoverflow.com/q/7304006"", ""7304006"")",q,1,0.6538390550018457
25,"=HYPERLINK(""https://stackoverflow.com/q/7383641"", ""7383641"")",q,1,0.5691292093161253
26,"=HYPERLINK(""https://stackoverflow.com/q/7679733"", ""7679733"")",q,1,0.4370736055401282
27,"=HYPERLINK(""https://stackoverflow.com/q/7699717"", ""7699717"")",q,1,0.3520074696545285
28,"=HYPERLINK(""https://stackoverflow.com/q/7839597"", ""7839597"")",q,0,0.47463284379172227
29,"=HYPERLINK(""https://stackoverflow.com/q/8005085"", ""8005085"")",q,1,0.7297927816659806
30,"=HYPERLINK(""https://stackoverflow.com/q/8040701"", ""8040701"")",q,5,0.4838912462674839
31,"=HYPERLINK(""https://stackoverflow.com/q/8067099"", ""8067099"")",q,5,0.33091500681528385
32,"=HYPERLINK(""https://stackoverflow.com/q/8123314"", ""8123314"")",q,1,0.50781102955016
33,"=HYPERLINK(""https://stackoverflow.com/q/8430681"", ""8430681"")",q,5,0.5873015873015873
34,"=HYPERLINK(""https://stackoverflow.com/q/8430696"", ""8430696"")",q,1,0.2332869887614413
35,"=HYPERLINK(""https://stackoverflow.com/q/8522884"", ""8522884"")",q,1,0.5796763149704326
36,"=HYPERLINK(""https://stackoverflow.com/q/8640940"", ""8640940"")",q,2,0.44996742478085755
37,"=HYPERLINK(""https://stackoverflow.com/q/8657698"", ""8657698"")",q,0,0.3895046524356868
38,"=HYPERLINK(""https://stackoverflow.com/q/8980486"", ""8980486"")",q,1,0.5363197602495079
39,"=HYPERLINK(""https://stackoverflow.com/q/9041860"", ""9041860"")",q,1,0.6128024980483996
40,"=HYPERLINK(""https://stackoverflow.com/q/9054254"", ""9054254"")",q,1,0.4041740152851265
41,"=HYPERLINK(""https://stackoverflow.com/q/9076585"", ""9076585"")",q,5,0.417212066501166
42,"=HYPERLINK(""https://stackoverflow.com/q/9139207"", ""9139207"")",q,2,0.36093342809760726
43,"=HYPERLINK(""https://stackoverflow.com/q/9168994"", ""9168994"")",q,2,0.4160568459009439
44,"=HYPERLINK(""https://stackoverflow.com/q/9187799"", ""9187799"")",q,5,0.7353033439989962
45,"=HYPERLINK(""https://stackoverflow.com/q/9257823"", ""9257823"")",q,5,0.42242703533026116
46,"=HYPERLINK(""https://stackoverflow.com/q/9372228"", ""9372228"")",q,1,0.5281999324552515
47,"=HYPERLINK(""https://stackoverflow.com/q/9391137"", ""9391137"")",q,1,0.6090299823633158
48,"=HYPERLINK(""https://stackoverflow.com/q/9481841"", ""9481841"")",q,4,0.2910052910052911
49,"=HYPERLINK(""https://stackoverflow.com/q/9588748"", ""9588748"")",q,1,0.4060745587463145
50,"=HYPERLINK(""https://stackoverflow.com/q/9766725"", ""9766725"")",q,4,0.4698862996735337
51,"=HYPERLINK(""https://stackoverflow.com/q/9802779"", ""9802779"")",q,1,0.3137973137973138
52,"=HYPERLINK(""https://stackoverflow.com/q/9959449"", ""9959449"")",q,1,0.5910680656443369
53,"=HYPERLINK(""https://stackoverflow.com/q/9980294"", ""9980294"")",q,1,0.6989154636213458
54,"=HYPERLINK(""https://stackoverflow.com/q/10042002"", ""10042002"")",q,2,0.5725957049486462
55,"=HYPERLINK(""https://stackoverflow.com/q/10152372"", ""10152372"")",q,1,0.30919507842584765
56,"=HYPERLINK(""https://stackoverflow.com/q/10170940"", ""10170940"")",q,1,0.5114702815432743
57,"=HYPERLINK(""https://stackoverflow.com/q/10215293"", ""10215293"")",q,3,0.3233285233285233
58,"=HYPERLINK(""https://stackoverflow.com/q/10247749"", ""10247749"")",q,2,0.5797183363948943
59,"=HYPERLINK(""https://stackoverflow.com/q/10476572"", ""10476572"")",q,1,0.4475166410650282
60,"=HYPERLINK(""https://stackoverflow.com/q/10557731"", ""10557731"")",q,1,0.3674343211915467
61,"=HYPERLINK(""https://stackoverflow.com/q/10586848"", ""10586848"")",q,1,0.3638628200671996
62,"=HYPERLINK(""https://stackoverflow.com/q/10673123"", ""10673123"")",q,1,0.6221811270354959
63,"=HYPERLINK(""https://stackoverflow.com/q/10690115"", ""10690115"")",q,5,0.5115274525110591
64,"=HYPERLINK(""https://stackoverflow.com/q/10761717"", ""10761717"")",q,1,0.5210622710622711
65,"=HYPERLINK(""https://stackoverflow.com/q/10774183"", ""10774183"")",q,6,0.3868796463733173
66,"=HYPERLINK(""https://stackoverflow.com/q/10784169"", ""10784169"")",q,5,0.36147965305632695
67,"=HYPERLINK(""https://stackoverflow.com/q/10898993"", ""10898993"")",q,3,0.37922834552048035
68,"=HYPERLINK(""https://stackoverflow.com/q/10919857"", ""10919857"")",q,0,0.3909906518602171
69,"=HYPERLINK(""https://stackoverflow.com/q/10923870"", ""10923870"")",q,1,0.31994872374919886
70,"=HYPERLINK(""https://stackoverflow.com/q/10930561"", ""10930561"")",q,0,0.3162648601979145
71,"=HYPERLINK(""https://stackoverflow.com/q/11064969"", ""11064969"")",q,0,0.5065487032700148
