,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
Term 1,user 0.0489,api 0.0515,data 0.0498,page 0.0734,list 0.05,record 0.0633,compon 0.0416
Term 2,email 0.0327,url 0.0258,tabl 0.0437,button 0.038,select 0.0307,field 0.0498,error 0.0413
Term 3,connect 0.0254,request 0.0227,script 0.0363,click 0.0267,item 0.0297,creat 0.0436,work 0.0242
Term 4,creat 0.0246,im 0.0169,queri 0.0285,file 0.0227,data 0.0227,form 0.0258,function 0.0241
Term 5,access 0.0172,file 0.0169,datasourc 0.0235,imag 0.0175,column 0.0213,object 0.0249,test 0.0151
Term 6,send 0.0172,crm 0.0164,im 0.0221,open 0.017,field 0.0207,updat 0.0232,method 0.0139
Term 7,app 0.0156,call 0.0164,model 0.0209,load 0.0168,tabl 0.0196,save 0.0216,issu 0.0139
Term 8,error 0.0136,respons 0.0158,date 0.0204,work 0.0162,dropdown 0.0185,custom 0.0214,call 0.0132
Term 9,applic 0.0128,post 0.0144,server 0.0158,add 0.0162,show 0.0178,id 0.0204,element 0.0128
Term 10,account 0.0124,error 0.0137,sql 0.0126,widget 0.0161,valu 0.0174,add 0.0179,class 0.0118
Term 11,cloud 0.0119,document 0.0135,work 0.0121,link 0.0142,text 0.0173,case 0.0163,apex 0.0111
Term 12,databas 0.0117,work 0.0131,client 0.0121,drive 0.0135,display 0.0172,contact 0.0139,control 0.0107
Term 13,sql 0.0113,data 0.0127,relat 0.0118,display 0.013,filter 0.0164,set 0.013,javascript 0.0101
Term 14,power 0.0113,integr 0.0119,project 0.0116,creat 0.0126,form 0.0163,user 0.0119,run 0.0096
Term 15,deploy 0.0112,access 0.0118,time 0.0114,user 0.0122,sharepoint 0.0159,relat 0.011,consol 0.0091
Term 16,flow 0.0112,return 0.0112,calcul 0.0107,event 0.0111,option 0.0151,edit 0.0108,line 0.0088
Term 17,servic 0.0106,json 0.0104,number 0.0103,show 0.0106,screen 0.0115,task 0.0106,web 0.0088
Term 18,work 0.01,rest 0.0099,function 0.01,chang 0.0105,box 0.0113,delet 0.0096,html 0.008
Term 19,set 0.01,token 0.0092,databas 0.0098,im 0.0096,row 0.0109,account 0.0091,lwc 0.008
Term 20,server 0.0091,find 0.0091,result 0.0096,tab 0.0095,galleri 0.0106,insert 0.0091,execut 0.0074
Term 21,im 0.0091,paramet 0.0088,return 0.0094,make 0.0091,collect 0.0104,submit 0.0085,find 0.0073
Term 22,address 0.0085,make 0.008,side 0.0079,upload 0.0086,set 0.01,activ 0.0078,js 0.0072
Term 23,configur 0.0083,applic 0.0076,record 0.0078,folder 0.0082,search 0.0093,chang 0.0076,librari 0.007
Term 24,log 0.0082,chatter 0.0073,sourc 0.007,view 0.0081,label 0.0091,approv 0.0076,dynam 0.0066
Term 25,mail 0.0077,method 0.0069,key 0.0069,calendar 0.0068,user 0.009,report 0.007,attribut 0.0066
Term 26,develop 0.0074,web 0.0069,ive 0.0069,ive 0.0062,input 0.009,entiti 0.0068,map 0.0065
Term 27,issu 0.0073,pass 0.0065,error 0.0069,specif 0.0061,work 0.0089,manual 0.0062,properti 0.0064
Term 28,connector 0.0072,xml 0.0065,import 0.0068,content 0.006,base 0.008,data 0.0062,gener 0.0063
Term 29,login 0.0071,php 0.0063,make 0.0063,picker 0.006,multipl 0.0079,employe 0.0061,read 0.0063
Term 30,azur 0.0071,header 0.0062,string 0.0062,set 0.0058,store 0.0075,type 0.0061,variabl 0.006
