,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9
Term 1,im 0.0859,function 0.065,api 0.0742,form 0.0583,file 0.0663,field 0.1058,script 0.0656,page 0.1073,access 0.0427,record 0.1045
Term 2,time 0.037,compon 0.0516,url 0.0376,select 0.0513,widget 0.0465,tabl 0.1013,datasourc 0.0517,custom 0.0563,user 0.0339,email 0.045
Term 3,ive 0.0365,properti 0.0335,request 0.0317,item 0.0472,event 0.0359,column 0.0356,queri 0.0515,work 0.0322,connect 0.0336,object 0.0432
Term 4,problem 0.0258,imag 0.0275,document 0.0273,button 0.0358,add 0.0307,valu 0.034,server 0.0448,link 0.0307,applic 0.0268,id 0.0414
Term 5,variabl 0.0254,test 0.0253,error 0.0259,option 0.0341,chang 0.0287,filter 0.0338,model 0.0387,load 0.0288,app 0.0241,updat 0.0408
Term 6,question 0.0231,control 0.0253,crm 0.0218,text 0.0296,button 0.0272,row 0.0271,sql 0.0367,click 0.0269,servic 0.0217,error 0.0349
Term 7,work 0.0184,work 0.0244,respons 0.0218,save 0.0292,check 0.0219,result 0.0247,relat 0.0353,open 0.0256,account 0.0192,creat 0.0322
Term 8,make 0.0175,search 0.0226,paramet 0.0216,dropdown 0.0283,drive 0.0215,base 0.0245,project 0.0302,view 0.0171,deploy 0.0176,date 0.0311
Term 9,solut 0.017,error 0.0206,post 0.021,screen 0.0263,action 0.0188,display 0.0238,client 0.03,consol 0.0152,power 0.0169,return 0.0269
Term 10,gener 0.0166,element 0.0183,integr 0.0149,edit 0.0261,upload 0.0174,store 0.0214,run 0.0235,inform 0.0128,set 0.016,send 0.0251
Term 11,thing 0.0146,method 0.0178,json 0.0144,sharepoint 0.0226,attach 0.0154,number 0.0199,bind 0.0234,browser 0.0121,flow 0.0158,contact 0.019
Term 12,tab 0.0141,class 0.0178,rest 0.0143,input 0.0205,task 0.0152,multipl 0.0194,databas 0.0216,applic 0.0116,develop 0.0147,case 0.0187
Term 13,basic 0.0125,call 0.0175,version 0.013,box 0.018,import 0.015,entiti 0.0134,calcul 0.0182,refresh 0.0111,group 0.0143,messag 0.0186
Term 14,answer 0.0125,html 0.0174,header 0.0119,show 0.0174,case 0.0144,report 0.0131,order 0.0154,problem 0.0109,creat 0.0137,trigger 0.0154
Term 15,find 0.0115,javascript 0.0161,method 0.0119,collect 0.0172,refer 0.0138,entri 0.0108,side 0.0148,detail 0.0107,token 0.0129,delet 0.0153
Term 16,wrong 0.0101,insid 0.0148,pass 0.0119,galleri 0.0159,automat 0.0121,lookup 0.0108,key 0.0144,fine 0.0104,step 0.0126,array 0.0137
Term 17,figur 0.0101,apex 0.0147,format 0.0117,submit 0.0134,folder 0.012,creat 0.0105,cloud 0.0096,back 0.0104,databas 0.0123,address 0.0133
Term 18,output 0.0098,string 0.0145,support 0.0117,default 0.013,remov 0.0114,formula 0.0101,creat 0.0093,execut 0.0095,domain 0.0122,insert 0.0132
Term 19,style 0.0097,dynam 0.0137,lead 0.0114,sourc 0.0127,achiev 0.0111,singl 0.0099,sourc 0.0091,log 0.0079,configur 0.0121,valid 0.0126
Term 20,simpl 0.0096,label 0.0133,approv 0.011,enter 0.0122,activ 0.011,sheet 0.0096,limit 0.009,web 0.0077,error 0.012,mail 0.0116
Term 21,idea 0.0093,read 0.0129,return 0.0106,product 0.0122,map 0.0105,assign 0.0095,correct 0.0082,point 0.0075,cloud 0.0119,retriev 0.0112
Term 22,build 0.0088,suggest 0.0123,librari 0.0101,display 0.0119,calendar 0.0102,sort 0.009,suggest 0.0081,site 0.0074,instanc 0.0112,receiv 0.0104
Term 23,solv 0.0084,show 0.0118,xml 0.0094,excel 0.0109,idea 0.0097,express 0.0085,directori 0.0077,commun 0.0073,admin 0.0108,account 0.0099
Term 24,part 0.0082,line 0.0118,web 0.0087,navig 0.0108,click 0.0095,export 0.0084,total 0.0074,login 0.0073,connector 0.0107,fetch 0.0094
Term 25,appli 0.0082,requir 0.0115,provid 0.0085,manual 0.0095,picker 0.0094,employe 0.0082,spreadsheet 0.0062,note 0.0071,azur 0.0098,parent 0.0091
Term 26,pdf 0.0077,attribut 0.0105,php 0.0079,popul 0.0095,resourc 0.0093,null 0.0079,string 0.0061,mobil 0.007,manag 0.0097,day 0.009
Term 27,css 0.0075,content 0.0099,success 0.0077,list 0.0088,team 0.0092,relationship 0.0078,note 0.0061,emb 0.007,permiss 0.0096,fail 0.0089
Term 28,give 0.0075,js 0.0097,bodi 0.0074,drop 0.0088,find 0.009,match 0.0078,manag 0.006,specif 0.0069,share 0.0094,child 0.0075
Term 29,lot 0.0072,pass 0.0095,correct 0.0073,mode 0.0081,checkbox 0.0077,detail 0.0071,full 0.0058,window 0.0067,role 0.0094,handl 0.0068
Term 30,good 0.0071,lwc 0.0092,give 0.0071,powerapp 0.008,onclick 0.0076,separ 0.0071,leav 0.0056,standard 0.0067,chatter 0.0092,month 0.0065
