,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
Term 1,widget 0.0499,field 0.1202,select 0.0584,im 0.0945,script 0.0677,tabl 0.1083,page 0.1184,api 0.0798,custom 0.0629,error 0.0904,file 0.0714
Term 2,event 0.0385,record 0.0889,item 0.0538,function 0.0695,server 0.0462,datasourc 0.0536,button 0.0713,url 0.0404,object 0.0494,compon 0.0546,imag 0.0306
Term 3,project 0.0342,form 0.0685,display 0.0405,email 0.0501,connect 0.0366,queri 0.0535,click 0.0447,request 0.0341,id 0.042,work 0.0374,app 0.029
Term 4,add 0.0274,creat 0.049,option 0.0389,time 0.0402,databas 0.0357,model 0.0402,load 0.0318,crm 0.0235,case 0.0366,test 0.0271,drive 0.0232
Term 5,refer 0.0231,updat 0.0459,valu 0.0375,ive 0.0401,sql 0.0335,column 0.038,link 0.0307,respons 0.0234,document 0.0311,method 0.0231,user 0.0225
Term 6,chang 0.0225,save 0.0345,properti 0.0349,call 0.0358,client 0.0309,relat 0.0366,open 0.0283,account 0.0227,question 0.0249,messag 0.0205,power 0.0203
Term 7,detail 0.0203,edit 0.0281,text 0.0337,problem 0.0347,access 0.0306,filter 0.0362,view 0.0239,post 0.0226,write 0.0224,element 0.0194,flow 0.019
Term 8,multipl 0.0188,sharepoint 0.0265,dropdown 0.0323,date 0.0347,cloud 0.0229,result 0.0298,action 0.0198,paramet 0.0212,start 0.0193,class 0.0189,upload 0.0187
Term 9,delet 0.0176,inform 0.0202,screen 0.03,work 0.029,servic 0.0202,row 0.029,tab 0.0158,contact 0.0205,trigger 0.0177,html 0.0184,import 0.0162
Term 10,task 0.0163,collect 0.0201,variabl 0.0273,send 0.0267,set 0.0198,record 0.0265,chang 0.0147,access 0.0163,answer 0.0144,line 0.0172,excel 0.0131
Term 11,array 0.0158,store 0.0178,input 0.0247,return 0.0187,deploy 0.0192,number 0.0212,show 0.0131,integr 0.0159,process 0.014,javascript 0.017,folder 0.0129
Term 12,entiti 0.0158,insert 0.017,search 0.0245,wrong 0.0158,run 0.0171,base 0.0199,commun 0.013,web 0.0156,give 0.0135,consol 0.0163,connector 0.0128
Term 13,work 0.0151,submit 0.0158,box 0.0205,address 0.0148,applic 0.0166,calcul 0.0189,refresh 0.012,json 0.0155,templat 0.0132,execut 0.0158,applic 0.0119
Term 14,assign 0.015,report 0.0148,label 0.0186,make 0.012,user 0.0166,string 0.0178,locat 0.0114,rest 0.0154,approv 0.0126,version 0.0158,azur 0.0117
Term 15,manag 0.0146,powerapp 0.0146,bind 0.0181,expect 0.0109,group 0.0156,sourc 0.0167,style 0.0109,login 0.0147,understand 0.0126,apex 0.0156,sheet 0.0112
Term 16,gener 0.0146,valid 0.0142,galleri 0.0181,appreci 0.0109,side 0.0153,key 0.0149,add 0.0098,token 0.0144,requir 0.0119,run 0.0149,attach 0.0112
Term 17,insid 0.0131,entri 0.0123,show 0.0178,output 0.0107,log 0.0142,order 0.0111,section 0.0088,applic 0.0142,note 0.0112,control 0.0143,environ 0.011
Term 18,point 0.0131,lookup 0.0122,dynam 0.0172,thing 0.0107,domain 0.013,return 0.0107,css 0.0084,format 0.0126,gener 0.011,fine 0.0143,build 0.0106
Term 19,achiev 0.0129,manual 0.0114,suggest 0.0137,receiv 0.0106,configur 0.013,singl 0.0102,menu 0.0084,pass 0.0126,parent 0.0104,develop 0.012,microsoft 0.0103
Term 20,creat 0.0125,enter 0.0098,control 0.0122,calendar 0.0105,instanc 0.0121,sort 0.0096,copi 0.0083,lead 0.0122,handl 0.0097,attribut 0.0111,solut 0.0102
Term 21,exist 0.0122,mode 0.0095,product 0.0121,correct 0.0103,mail 0.0121,express 0.0091,onclick 0.0079,retriev 0.012,similar 0.0096,librari 0.0111,map 0.0102
Term 22,activ 0.0117,check 0.0094,default 0.0114,day 0.0101,creat 0.0121,id 0.0091,close 0.0079,header 0.0112,step 0.0089,js 0.0103,picker 0.0101
Term 23,check 0.0116,current 0.0093,formula 0.0111,correctli 0.0098,admin 0.0118,display 0.0084,navig 0.0079,return 0.0107,child 0.0086,fail 0.01,team 0.0099
Term 24,ui 0.0114,employe 0.0093,base 0.0101,solv 0.0091,error 0.0116,null 0.008,browser 0.0079,chatter 0.0103,approach 0.0082,lwc 0.0097,export 0.0097
Term 25,advanc 0.0107,fill 0.0092,drop 0.0101,find 0.0091,permiss 0.0105,match 0.0079,popup 0.0075,fetch 0.0102,simpl 0.008,read 0.0096,local 0.0097
Term 26,implement 0.0103,put 0.0082,chang 0.0084,idea 0.0076,role 0.0102,total 0.0077,window 0.0074,xml 0.0101,part 0.0078,resourc 0.0096,sampl 0.0095
Term 27,complet 0.0103,requir 0.0077,choos 0.0075,month 0.0073,account 0.0092,condit 0.0071,hide 0.0071,success 0.0099,basic 0.0078,tag 0.009,read 0.009
Term 28,remov 0.0098,pull 0.007,textbox 0.007,solut 0.0066,setup 0.0091,relationship 0.0069,edit 0.0071,develop 0.0095,end 0.0078,fix 0.0083,convert 0.0088
Term 29,statu 0.0094,automat 0.0068,popul 0.0068,current 0.0066,publish 0.009,bind 0.0068,problem 0.0068,method 0.0089,perform 0.0077,instal 0.0078,pdf 0.0088
Term 30,build 0.0093,blank 0.0067,titl 0.0064,figur 0.0061,secur 0.0089,statement 0.0065,editor 0.0068,php 0.0085,standard 0.0073,mobil 0.0077,content 0.0085
