,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12
Term 1,api 0.0942,email 0.0606,script 0.0867,custom 0.0765,access 0.0443,work 0.0656,page 0.129,file 0.0866,select 0.0667,im 0.1115,field 0.1421,error 0.1275,record 0.1278
Term 2,url 0.0478,case 0.0432,function 0.0839,object 0.0601,connect 0.0433,run 0.0417,widget 0.0534,document 0.038,item 0.0614,updat 0.0538,form 0.0809,compon 0.0679,tabl 0.1256
Term 3,request 0.0402,send 0.0412,server 0.0594,return 0.052,databas 0.0422,problem 0.0336,click 0.0482,drive 0.0282,column 0.0446,ive 0.0472,edit 0.0416,work 0.0329,datasourc 0.0622
Term 4,crm 0.0277,link 0.0395,save 0.0414,method 0.0406,user 0.0382,applic 0.0211,button 0.0461,upload 0.0227,option 0.0443,time 0.0457,text 0.0411,control 0.0301,queri 0.0621
Term 5,respons 0.0277,imag 0.0355,client 0.0397,test 0.0341,account 0.0369,version 0.019,load 0.0345,import 0.0196,valu 0.0428,date 0.0409,chang 0.0348,messag 0.0254,model 0.0466
Term 6,paramet 0.0275,id 0.0349,variabl 0.0337,write 0.0295,project 0.0368,step 0.0181,element 0.0217,excel 0.0161,display 0.0389,contact 0.0249,button 0.0339,javascript 0.0211,relat 0.0423
Term 7,web 0.027,inform 0.0293,store 0.0282,result 0.0271,sql 0.0343,log 0.0174,event 0.0207,folder 0.0157,dropdown 0.0368,start 0.0227,input 0.0302,tab 0.0191,row 0.0336
Term 8,post 0.0267,add 0.0256,question 0.0222,class 0.0237,app 0.031,domain 0.017,html 0.0207,attach 0.0153,screen 0.0342,event 0.0217,string 0.0274,fail 0.0173,id 0.024
Term 9,integr 0.0187,creat 0.0237,refer 0.0215,call 0.0221,cloud 0.027,configur 0.0166,open 0.0179,build 0.0152,filter 0.0305,number 0.0203,action 0.0231,commun 0.0157,calcul 0.0219
Term 10,json 0.0183,flow 0.0221,call 0.0211,trigger 0.0216,applic 0.0255,browser 0.016,display 0.0171,gener 0.015,sharepoint 0.0294,current 0.0187,check 0.0231,wrong 0.0147,bind 0.0187
Term 11,rest 0.0182,specif 0.0196,delet 0.0206,apex 0.0195,deploy 0.0226,consol 0.016,properti 0.0142,idea 0.0145,search 0.0279,report 0.0174,label 0.0226,creat 0.0135,key 0.0173
Term 12,login 0.0174,task 0.0191,side 0.0196,insert 0.0192,servic 0.0224,develop 0.0158,dynam 0.0136,librari 0.0141,properti 0.0256,basic 0.0133,creat 0.0195,map 0.0134,order 0.0146
Term 13,token 0.017,view 0.0187,entiti 0.0184,array 0.019,power 0.0217,fine 0.014,refresh 0.0133,content 0.0139,box 0.0233,make 0.0126,submit 0.0187,show 0.0126,base 0.0123
Term 14,header 0.0149,address 0.0179,problem 0.0144,gener 0.016,creat 0.0197,open 0.014,add 0.0133,sheet 0.0136,collect 0.0223,calendar 0.0124,default 0.0183,js 0.0126,filter 0.0119
Term 15,lead 0.0144,assign 0.0167,manual 0.0136,output 0.0134,group 0.0183,locat 0.0135,style 0.0118,find 0.0136,galleri 0.0207,end 0.0124,enter 0.017,parent 0.0125,sort 0.0112
