,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
Term 1,sql 0.0555,page 0.1568,time 0.054,url 0.0582,error 0.1414,field 0.166,im 0.1267,record 0.16,form 0.0882,datasourc 0.0745,compon 0.0774,script 0.1,tabl 0.1484,api 0.1072,account 0.0471
Term 2,connect 0.0535,button 0.0944,number 0.0297,applic 0.0483,email 0.0684,custom 0.0851,access 0.0606,id 0.0696,item 0.0714,widget 0.0644,updat 0.0641,function 0.0965,queri 0.0734,file 0.0894,test 0.0387
Term 3,databas 0.0522,click 0.0592,deploy 0.0269,web 0.0329,work 0.0613,creat 0.0585,ive 0.0536,object 0.0662,text 0.0447,model 0.0568,project 0.0464,server 0.0678,filter 0.0492,request 0.0458,crm 0.0344
Term 4,app 0.0384,link 0.0449,start 0.0232,element 0.0273,send 0.0465,save 0.0476,user 0.0527,return 0.0352,properti 0.0419,option 0.053,case 0.0372,run 0.0482,date 0.045,document 0.0394,paramet 0.0334
Term 5,servic 0.0345,load 0.0421,thing 0.0206,html 0.0259,messag 0.0282,imag 0.0406,set 0.0248,pass 0.0321,screen 0.0398,relat 0.0518,view 0.033,client 0.0457,row 0.0398,respons 0.0315,contact 0.0301
Term 6,cloud 0.0334,open 0.0375,gener 0.0204,javascript 0.024,problem 0.0251,input 0.0352,manag 0.0239,write 0.0321,variabl 0.0362,select 0.0512,method 0.0285,call 0.0355,column 0.0386,post 0.0304,class 0.027
Term 7,power 0.0268,edit 0.0303,version 0.019,login 0.0212,fine 0.0222,put 0.0224,group 0.0222,string 0.0315,sharepoint 0.0343,event 0.0497,control 0.0283,read 0.0245,result 0.0363,drive 0.0291,integr 0.0234
Term 8,flow 0.025,detail 0.0265,order 0.0176,work 0.0212,address 0.0202,exist 0.0202,creat 0.022,question 0.0267,search 0.0322,dropdown 0.0442,add 0.0283,side 0.0226,display 0.0313,upload 0.0233,apex 0.0222
Term 9,store 0.0218,tab 0.0207,line 0.0165,browser 0.0187,receiv 0.0187,valid 0.0195,specif 0.0215,delet 0.0235,select 0.0281,bind 0.0343,action 0.0273,return 0.0223,calcul 0.0259,json 0.0209,entiti 0.0216
Term 10,import 0.0214,refresh 0.0161,idea 0.0164,implement 0.0152,fail 0.0187,refer 0.0193,log 0.0169,insert 0.0231,collect 0.0259,chang 0.0286,chang 0.025,find 0.0221,base 0.021,rest 0.0206,support 0.0214
Term 11,inform 0.0199,display 0.0144,point 0.0149,map 0.0152,mail 0.0175,requir 0.0189,report 0.0169,array 0.0209,galleri 0.024,label 0.0254,trigger 0.0243,execut 0.0217,key 0.0205,token 0.0194,creat 0.0207
Term 12,instanc 0.0177,templat 0.0141,end 0.0143,js 0.0144,domain 0.0164,entri 0.0169,admin 0.0168,multipl 0.0157,submit 0.0203,product 0.0144,show 0.0222,work 0.0199,valu 0.0146,header 0.0172,lead 0.0178
Term 13,excel 0.0176,back 0.0129,limit 0.0137,lwc 0.0137,configur 0.0135,manual 0.0153,permiss 0.0149,xml 0.0144,display 0.0202,suggest 0.0144,task 0.0219,librari 0.0154,sourc 0.0146,format 0.0169,develop 0.0177
Term 14,connector 0.017,menu 0.0111,part 0.0129,resourc 0.0134,correctli 0.0128,add 0.0141,role 0.0146,parent 0.0138,box 0.0165,drop 0.0138,check 0.0182,answer 0.0145,calendar 0.0136,folder 0.0162,suggest 0.0159
Term 15,azur 0.0156,copi 0.011,publish 0.0126,consol 0.0131,correct 0.0118,enter 0.0137,export 0.0128,handl 0.0132,dynam 0.0159,base 0.0118,commun 0.0179,output 0.0139,sort 0.0132,approv 0.0158,requir 0.0152
Term 16,locat 0.0153,onclick 0.0107,preview 0.0123,tag 0.0126,wrong 0.0116,default 0.0132,secur 0.0127,case 0.0126,lookup 0.0158,box 0.0111,activ 0.0159,problem 0.0129,express 0.0124,method 0.0153,chatter 0.015
Term 17,sheet 0.0149,navig 0.0104,problem 0.0121,css 0.0116,instal 0.0108,mode 0.0131,employe 0.0123,child 0.0115,column 0.0136,valu 0.0101,attribut 0.0158,defin 0.0127,match 0.0115,convert 0.0142,fetch 0.0149
Term 18,environ 0.0146,close 0.0103,simpl 0.0115,redirect 0.0113,check 0.0096,valu 0.0128,applic 0.0122,singl 0.0098,valu 0.0132,textbox 0.0095,call 0.0143,solut 0.0126,day 0.0103,sampl 0.0141,system 0.0145
Term 19,microsoft 0.0136,popup 0.01,make 0.0115,site 0.0113,org 0.0095,check 0.0124,figur 0.0116,give 0.0096,powerapp 0.0126,style 0.0094,process 0.0137,refer 0.0121,condit 0.0098,picker 0.0126,unabl 0.0126
Term 20,local 0.0128,hide 0.0094,size 0.0107,mobil 0.0108,throw 0.0094,empti 0.0108,directori 0.0115,retriev 0.0092,show 0.0122,show 0.0084,automat 0.0121,insid 0.0111,month 0.0094,team 0.0113,achiev 0.0118
Term 21,step 0.0128,section 0.0089,total 0.0104,emb 0.0106,expect 0.0093,build 0.0105,attempt 0.0109,loop 0.0088,list 0.012,icon 0.0084,insid 0.0109,ui 0.011,statement 0.0089,attach 0.0112,creator 0.0099
Term 22,enabl 0.0112,print 0.0084,lot 0.0103,websit 0.0106,command 0.0083,pictur 0.0083,wrong 0.0098,duplic 0.0082,formula 0.0109,color 0.0082,owner 0.0108,expect 0.0105,appli 0.0082,php 0.0112,solut 0.0098
Term 23,advanc 0.0108,clear 0.0081,good 0.0103,extern 0.0104,packag 0.0081,make 0.0082,miss 0.0098,remov 0.008,sourc 0.0108,featur 0.0081,statu 0.0107,understand 0.0102,null 0.008,pdf 0.011,similar 0.0097
Term 24,provid 0.0099,visibl 0.0076,move 0.01,fix 0.0092,success 0.0081,replac 0.008,basic 0.0097,line 0.0066,store 0.0105,edit 0.008,checkbox 0.0102,consol 0.0098,join 0.0073,bodi 0.0107,structur 0.0096
Term 25,password 0.0088,disabl 0.0076,issu 0.0097,render 0.0092,step 0.0079,modifi 0.0077,pull 0.0097,uniqu 0.0064,default 0.0092,panel 0.0079,attach 0.0101,spreadsheet 0.0094,current 0.0072,http 0.0098,modul 0.0095
Term 26,common 0.0083,remov 0.0076,complet 0.0095,build 0.0089,invalid 0.0079,chang 0.0076,share 0.0097,index 0.0063,control 0.0089,choos 0.0066,screenshot 0.0086,debug 0.0088,count 0.007,content 0.0086,compani 0.0094
Term 27,ms 0.0077,visualforc 0.0071,includ 0.0083,extens 0.0086,miss 0.0072,word 0.0065,inform 0.0096,charact 0.0063,multipl 0.0087,popul 0.0066,rule 0.0084,comment 0.0085,syntax 0.0064,sdk 0.0083,chart 0.0094
Term 28,mysql 0.0076,vf 0.007,hour 0.0076,design 0.008,solv 0.0071,true 0.0065,peopl 0.0092,perform 0.0062,titl 0.0087,handler 0.0064,appreci 0.0083,hope 0.008,year 0.0061,doc 0.008,mention 0.0092
Term 29,sourc 0.0075,confirm 0.007,note 0.0074,reason 0.0076,setup 0.007,note 0.006,person 0.0088,relationship 0.0061,edit 0.0082,editor 0.006,layout 0.0076,undefin 0.0078,cell 0.0057,success 0.008,base 0.0091
Term 30,gener 0.0074,fragment 0.0068,bite 0.0067,ifram 0.0076,origin 0.0064,fill 0.0058,current 0.0085,invoic 0.0058,popul 0.008,relationship 0.0059,initi 0.0074,happen 0.0074,student 0.0056,retriev 0.0074,advanc 0.0085
