,link,qa,Dominant Topic,Correlation
0,"=HYPERLINK(""https://stackoverflow.com/q/326366"", ""326366"")",q,4,0.36893203883495146
1,"=HYPERLINK(""https://stackoverflow.com/q/359717"", ""359717"")",q,1,0.3235294117647059
2,"=HYPERLINK(""https://stackoverflow.com/q/544097"", ""544097"")",q,4,0.34649122807017546
3,"=HYPERLINK(""https://stackoverflow.com/q/980932"", ""980932"")",q,1,0.362962962962963
4,"=HYPERLINK(""https://stackoverflow.com/q/1236439"", ""1236439"")",q,2,0.24057084607543322
5,"=HYPERLINK(""https://stackoverflow.com/q/1258834"", ""1258834"")",q,1,0.31412894375857336
6,"=HYPERLINK(""https://stackoverflow.com/q/2022549"", ""2022549"")",q,2,0.32936507936507936
7,"=HYPERLINK(""https://stackoverflow.com/q/2377082"", ""2377082"")",q,0,0.26825396825396824
8,"=HYPERLINK(""https://stackoverflow.com/q/2566385"", ""2566385"")",q,4,0.29777777777777775
9,"=HYPERLINK(""https://stackoverflow.com/q/2615337"", ""2615337"")",q,4,0.3333333333333333
10,"=HYPERLINK(""https://stackoverflow.com/q/3016015"", ""3016015"")",q,4,0.24652777777777782
11,"=HYPERLINK(""https://stackoverflow.com/q/3578981"", ""3578981"")",q,4,0.3530239099859353
12,"=HYPERLINK(""https://stackoverflow.com/q/3700594"", ""3700594"")",q,1,0.27595628415300544
13,"=HYPERLINK(""https://stackoverflow.com/q/3906522"", ""3906522"")",q,1,0.37145174371451745
14,"=HYPERLINK(""https://stackoverflow.com/q/3990732"", ""3990732"")",q,1,0.2369281045751634
15,"=HYPERLINK(""https://stackoverflow.com/q/4432075"", ""4432075"")",q,4,0.4322678843226788
16,"=HYPERLINK(""https://stackoverflow.com/q/4439797"", ""4439797"")",q,4,0.3875
17,"=HYPERLINK(""https://stackoverflow.com/q/4556252"", ""4556252"")",q,1,0.26558265582655827
18,"=HYPERLINK(""https://stackoverflow.com/q/4598926"", ""4598926"")",q,3,0.23765432098765435
19,"=HYPERLINK(""https://stackoverflow.com/q/4804623"", ""4804623"")",q,1,0.30000000000000004
20,"=HYPERLINK(""https://stackoverflow.com/q/5552901"", ""5552901"")",q,1,0.34782608695652173
21,"=HYPERLINK(""https://stackoverflow.com/q/6580311"", ""6580311"")",q,2,0.22222222222222224
22,"=HYPERLINK(""https://stackoverflow.com/q/6645196"", ""6645196"")",q,4,0.2711864406779661
23,"=HYPERLINK(""https://stackoverflow.com/q/7048854"", ""7048854"")",q,2,0.2663398692810457
24,"=HYPERLINK(""https://stackoverflow.com/q/7304006"", ""7304006"")",q,1,0.37362637362637363
25,"=HYPERLINK(""https://stackoverflow.com/q/7383641"", ""7383641"")",q,1,0.2761276127612761
26,"=HYPERLINK(""https://stackoverflow.com/q/7679733"", ""7679733"")",q,1,0.2878306878306878
27,"=HYPERLINK(""https://stackoverflow.com/q/7699717"", ""7699717"")",q,1,0.3448275862068966
28,"=HYPERLINK(""https://stackoverflow.com/q/7839597"", ""7839597"")",q,2,0.26105717367853293
29,"=HYPERLINK(""https://stackoverflow.com/q/8005085"", ""8005085"")",q,1,0.3626984126984127
30,"=HYPERLINK(""https://stackoverflow.com/q/8040701"", ""8040701"")",q,2,0.2832832832832833
31,"=HYPERLINK(""https://stackoverflow.com/q/8067099"", ""8067099"")",q,2,0.40901771336553944
32,"=HYPERLINK(""https://stackoverflow.com/q/8123314"", ""8123314"")",q,1,0.3116883116883117
33,"=HYPERLINK(""https://stackoverflow.com/q/8430681"", ""8430681"")",q,0,0.2859078590785908
34,"=HYPERLINK(""https://stackoverflow.com/q/8430696"", ""8430696"")",q,0,0.2777777777777778
35,"=HYPERLINK(""https://stackoverflow.com/q/8522884"", ""8522884"")",q,1,0.49710982658959535
36,"=HYPERLINK(""https://stackoverflow.com/q/8640940"", ""8640940"")",q,4,0.5126002290950744
37,"=HYPERLINK(""https://stackoverflow.com/q/8657698"", ""8657698"")",q,0,0.2696296296296296
38,"=HYPERLINK(""https://stackoverflow.com/q/8980486"", ""8980486"")",q,1,0.3705882352941177
