,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4
Term 1,record 0.0537,api 0.0359,page 0.0541,field 0.0522,im 0.0424
Term 2,error 0.0381,file 0.03,custom 0.0285,tabl 0.05,function 0.032
Term 3,script 0.0333,access 0.0215,compon 0.0256,form 0.0298,return 0.0192
Term 4,queri 0.0261,applic 0.019,object 0.0224,select 0.0262,time 0.0187
Term 5,creat 0.0245,url 0.0182,work 0.0195,datasourc 0.0248,ive 0.0184
Term 6,id 0.0234,user 0.0171,click 0.0178,item 0.0241,date 0.016
Term 7,server 0.0227,connect 0.0165,event 0.0173,display 0.022,result 0.0142
Term 8,updat 0.0211,request 0.0153,button 0.0172,widget 0.0211,call 0.0134
Term 9,model 0.0196,send 0.0148,case 0.0166,column 0.0176,variabl 0.0129
Term 10,sql 0.0187,account 0.0145,method 0.0151,option 0.0174,problem 0.0127
Term 11,relat 0.0179,email 0.0141,load 0.0145,valu 0.0168,question 0.0117
Term 12,databas 0.0176,document 0.0132,add 0.0138,filter 0.0167,search 0.0116
Term 13,run 0.016,app 0.0122,open 0.0129,edit 0.0153,paramet 0.0111
Term 14,project 0.0153,test 0.0119,control 0.0125,text 0.0151,write 0.0109
Term 15,client 0.0152,servic 0.0109,view 0.0109,save 0.015,pass 0.0107
Term 16,check 0.0134,crm 0.0106,link 0.0093,properti 0.0146,string 0.0106
Term 17,cloud 0.0112,respons 0.0105,element 0.0091,dropdown 0.0145,number 0.0104
Term 18,calcul 0.0092,web 0.0103,action 0.009,button 0.0144,solut 0.01
Term 19,read 0.0091,post 0.0102,class 0.0088,screen 0.0134,find 0.0099
Term 20,work 0.009,drive 0.0097,html 0.0086,row 0.0134,contact 0.0098
Term 21,delet 0.0079,develop 0.0096,requir 0.0085,imag 0.0129,work 0.0091
Term 22,manag 0.0079,error 0.0092,trigger 0.008,chang 0.0116,build 0.0089
Term 23,order 0.0078,messag 0.009,creat 0.008,sharepoint 0.0116,start 0.0088
Term 24,insert 0.0078,deploy 0.0089,javascript 0.008,bind 0.0112,email 0.0081
Term 25,set 0.0077,power 0.0085,consol 0.0076,input 0.0111,line 0.008
Term 26,group 0.0077,flow 0.0079,gener 0.0075,sourc 0.0109,thing 0.0074
Term 27,side 0.0075,upload 0.0079,insid 0.0073,base 0.01,wrong 0.0073
Term 28,refer 0.0073,log 0.0076,apex 0.0073,box 0.0091,store 0.0071
Term 29,key 0.0073,provid 0.0073,tab 0.0072,collect 0.0088,array 0.007
Term 30,exist 0.0072,integr 0.0072,content 0.0067,show 0.0087,give 0.0069
