,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
Term 1,page 0.0644,record 0.0633,error 0.0577,field 0.0607,api 0.0436,function 0.0391
Term 2,script 0.0398,queri 0.0308,im 0.0412,tabl 0.0582,file 0.0363,custom 0.0343
Term 3,button 0.0388,id 0.0276,email 0.028,form 0.0346,access 0.0262,compon 0.0311
Term 4,server 0.0272,updat 0.0248,work 0.024,select 0.0305,applic 0.0231,object 0.0271
Term 5,widget 0.0267,time 0.0223,url 0.0233,datasourc 0.0288,sql 0.0214,return 0.0235
Term 6,click 0.0243,case 0.0194,ive 0.0198,item 0.028,user 0.0207,method 0.0183
Term 7,event 0.0206,creat 0.0163,request 0.0197,display 0.0256,connect 0.0206,properti 0.0178
Term 8,link 0.0184,question 0.0138,send 0.019,model 0.0216,databas 0.0201,variabl 0.0157
Term 9,project 0.0183,save 0.0127,problem 0.0174,column 0.0204,account 0.0176,control 0.0152
Term 10,client 0.0182,multipl 0.0125,imag 0.0164,option 0.0203,document 0.0156,search 0.0141
Term 11,load 0.0173,number 0.0122,test 0.0153,relat 0.0197,app 0.0148,write 0.0133
Term 12,chang 0.0166,call 0.0109,respons 0.0135,valu 0.0196,servic 0.0133,pass 0.0131
Term 13,open 0.0154,delet 0.0093,run 0.0132,filter 0.0194,cloud 0.0129,result 0.0125
Term 14,creat 0.015,order 0.0092,post 0.0131,date 0.0176,crm 0.0128,gener 0.0119
Term 15,work 0.0146,insert 0.0091,contact 0.0118,text 0.0175,drive 0.0118,read 0.0111
Term 16,edit 0.0138,specif 0.0087,messag 0.0115,dropdown 0.0168,develop 0.0116,element 0.011
Term 17,view 0.013,task 0.0086,check 0.0107,screen 0.0156,deploy 0.0108,class 0.0107
Term 18,detail 0.0109,key 0.0085,flow 0.0102,row 0.0156,power 0.0104,html 0.0105
Term 19,action 0.0108,exist 0.0085,fine 0.0101,sharepoint 0.0134,upload 0.0095,implement 0.0103
Term 20,add 0.01,attach 0.0084,paramet 0.0101,bind 0.0131,web 0.0092,dynam 0.0099
Term 21,consol 0.0091,idea 0.0084,group 0.0093,sourc 0.0127,integr 0.0087,line 0.0098
Term 22,side 0.009,answer 0.0076,json 0.009,base 0.012,provid 0.0086,javascript 0.0097
Term 23,call 0.0087,build 0.0074,version 0.0089,box 0.0107,rest 0.0084,requir 0.0092
Term 24,tab 0.0086,process 0.0074,step 0.0084,collect 0.0102,import 0.0082,string 0.0089
Term 25,report 0.0082,end 0.0073,find 0.0084,calcul 0.0102,login 0.0081,apex 0.0088
Term 26,thing 0.0079,figur 0.007,address 0.0083,label 0.0097,support 0.008,insid 0.0088
Term 27,browser 0.0074,add 0.007,wrong 0.0083,galleri 0.0094,token 0.0079,array 0.0086
Term 28,back 0.0072,trigger 0.007,fail 0.0079,submit 0.0079,domain 0.0075,entiti 0.0086
Term 29,templat 0.0071,start 0.0068,valid 0.0079,show 0.0077,set 0.0071,content 0.0082
Term 30,commun 0.0071,approv 0.0067,receiv 0.0077,store 0.0077,creat 0.007,input 0.0068
