,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
Term 1,im 0.0587,field 0.0715,error 0.0672,page 0.07,script 0.0476,api 0.0509,custom 0.0408
Term 2,time 0.0263,record 0.0697,work 0.0254,button 0.0422,function 0.0459,file 0.0424,compon 0.0367
Term 3,ive 0.0257,tabl 0.0685,connect 0.0253,form 0.0409,updat 0.0301,email 0.0309,object 0.032
Term 4,imag 0.0189,datasourc 0.0339,databas 0.0247,select 0.0361,return 0.0275,access 0.0306,event 0.0248
Term 5,save 0.0174,queri 0.0339,sql 0.0242,item 0.0332,call 0.0236,applic 0.027,case 0.0238
Term 6,question 0.0163,model 0.0254,project 0.0214,widget 0.029,work 0.0236,url 0.0256,control 0.0179
Term 7,search 0.0161,column 0.024,account 0.0213,click 0.0264,server 0.0223,user 0.0243,view 0.0157
Term 8,inform 0.0147,relat 0.0231,run 0.0164,display 0.0246,client 0.0217,request 0.0217,add 0.0147
Term 9,solut 0.0139,filter 0.0229,test 0.016,option 0.024,variabl 0.0185,document 0.0187,element 0.013
Term 10,make 0.0132,date 0.0208,cloud 0.0158,properti 0.0216,method 0.0173,app 0.0172,class 0.0127
Term 11,idea 0.013,id 0.0193,crm 0.0157,edit 0.021,paramet 0.0159,send 0.0159,html 0.0124
Term 12,build 0.0123,base 0.0188,messag 0.0134,text 0.0207,respons 0.0159,post 0.0144,id 0.0122
Term 13,start 0.0123,row 0.0184,deploy 0.0131,dropdown 0.0199,write 0.0156,drive 0.0138,requir 0.0122
Term 14,line 0.0111,creat 0.0166,set 0.0128,screen 0.0184,pass 0.0154,link 0.0136,load 0.0119
Term 15,multipl 0.0104,valu 0.0157,fine 0.0117,chang 0.0179,string 0.0152,power 0.0121,dynam 0.0117
Term 16,thing 0.0102,sourc 0.0148,log 0.0113,open 0.0166,result 0.015,flow 0.0113,trigger 0.0114
Term 17,problem 0.0096,number 0.0133,servic 0.011,sharepoint 0.0159,contact 0.014,upload 0.0111,javascript 0.0114
Term 18,note 0.0096,calcul 0.012,consol 0.0107,bind 0.0155,side 0.0107,provid 0.0104,delet 0.0114
Term 19,report 0.0095,key 0.0094,version 0.0103,input 0.0153,json 0.0106,group 0.0102,creat 0.0109
Term 20,add 0.0092,current 0.009,check 0.0103,show 0.0147,execut 0.0106,integr 0.0102,attach 0.0106
Term 21,answer 0.009,detail 0.0082,develop 0.0101,box 0.0126,expect 0.0105,web 0.0101,task 0.0105
Term 22,basic 0.0089,store 0.008,import 0.0101,label 0.0115,array 0.0101,creat 0.0101,apex 0.0105
Term 23,collect 0.0087,load 0.008,server 0.01,galleri 0.0112,problem 0.01,rest 0.0098,insid 0.0104
Term 24,end 0.0086,order 0.0074,address 0.0096,action 0.011,understand 0.0098,login 0.0094,implement 0.0103
Term 25,point 0.0085,entri 0.0073,product 0.0092,submit 0.0094,chang 0.009,token 0.0092,entiti 0.0101
Term 26,part 0.0083,lookup 0.0073,domain 0.0092,default 0.0094,correct 0.0088,header 0.0082,assign 0.0097
Term 27,figur 0.0083,refer 0.0071,fail 0.0091,tab 0.0093,format 0.0086,admin 0.0077,content 0.0096
Term 28,templat 0.0083,singl 0.0067,configur 0.0091,enter 0.0086,find 0.0083,folder 0.0077,valid 0.0093
Term 29,gener 0.0081,exist 0.0063,receiv 0.009,navig 0.0076,put 0.0077,connector 0.0076,check 0.0087
Term 30,excel 0.0078,insert 0.0061,miss 0.0086,valu 0.0073,ui 0.0076,approv 0.0076,commun 0.0085
