,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
Term 1,page 0.0855,api 0.06,function 0.0536,error 0.0641,field 0.082,script 0.0527,im 0.0681,button 0.0477
Term 2,compon 0.0405,file 0.05,email 0.0387,object 0.0352,record 0.0799,custom 0.045,time 0.0296,form 0.0463
Term 3,work 0.0313,url 0.0304,widget 0.0356,updat 0.0333,tabl 0.0785,server 0.0361,ive 0.029,select 0.0408
Term 4,load 0.023,request 0.0256,event 0.0288,sql 0.0295,datasourc 0.0389,project 0.0243,date 0.025,item 0.0375
Term 5,open 0.0203,crm 0.0176,send 0.0264,connect 0.0284,queri 0.0388,client 0.0241,call 0.0188,option 0.027
Term 6,test 0.0201,return 0.0176,link 0.0258,databas 0.0278,model 0.0292,access 0.0219,question 0.018,properti 0.0243
Term 7,click 0.0175,respons 0.0176,imag 0.0228,user 0.0252,relat 0.0266,app 0.0205,drive 0.0162,edit 0.0238
Term 8,control 0.0152,post 0.017,creat 0.0223,account 0.0243,id 0.0266,run 0.019,make 0.0149,text 0.0234
Term 9,element 0.0144,applic 0.0165,work 0.0187,creat 0.0228,filter 0.0262,develop 0.0161,start 0.0139,dropdown 0.0225
Term 10,method 0.0141,document 0.0154,chang 0.0181,check 0.0211,result 0.0216,applic 0.0155,problem 0.0128,screen 0.0209
Term 11,class 0.014,access 0.0143,suggest 0.017,case 0.0186,row 0.021,requir 0.0149,write 0.0119,valu 0.0207
Term 12,html 0.0137,power 0.0142,messag 0.016,cloud 0.0178,bind 0.0176,servic 0.014,thing 0.0114,variabl 0.019
Term 13,javascript 0.0126,paramet 0.0134,detail 0.0151,contact 0.0155,base 0.0164,implement 0.0134,current 0.0114,sharepoint 0.018
Term 14,consol 0.0121,flow 0.0133,add 0.0144,deploy 0.0149,string 0.0158,manag 0.0131,simpl 0.0114,input 0.0173
Term 15,apex 0.0115,upload 0.0131,line 0.0134,add 0.0132,number 0.0154,side 0.0119,wrong 0.0112,search 0.0167
Term 16,view 0.0114,pass 0.012,trigger 0.0134,delet 0.0125,calcul 0.0137,refer 0.0117,work 0.0107,display 0.0162
Term 17,tab 0.0113,integr 0.012,order 0.0131,group 0.0121,column 0.0134,version 0.0117,multipl 0.0105,chang 0.0146
Term 18,error 0.0109,json 0.0117,address 0.0115,log 0.0116,return 0.012,import 0.0114,basic 0.01,box 0.0143
Term 19,browser 0.0098,rest 0.0116,achiev 0.0114,task 0.0115,display 0.0112,step 0.0111,templat 0.0093,save 0.0142
Term 20,show 0.0088,attach 0.0114,receiv 0.0107,entiti 0.0111,key 0.0108,report 0.0108,figur 0.0092,column 0.014
Term 21,attribut 0.0082,login 0.0111,inform 0.0106,assign 0.0106,array 0.01,domain 0.0104,idea 0.0092,sourc 0.0137
Term 22,map 0.008,token 0.0108,mail 0.01,product 0.0104,insert 0.0087,solut 0.0103,folder 0.009,click 0.0137
Term 23,style 0.0078,method 0.0097,gener 0.0098,configur 0.0102,creat 0.0081,valid 0.0103,approv 0.0088,collect 0.0136
Term 24,output 0.0078,header 0.0096,id 0.0093,save 0.0097,singl 0.0071,set 0.0098,understand 0.0084,galleri 0.0126
Term 25,js 0.0076,format 0.0094,calendar 0.0082,instanc 0.0094,sort 0.007,includ 0.0096,specif 0.0083,label 0.0125
Term 26,fix 0.0074,lead 0.0092,specif 0.0079,commun 0.0093,put 0.0064,web 0.009,correct 0.0082,dynam 0.0119
Term 27,display 0.0074,connector 0.009,appreci 0.0079,admin 0.0091,employe 0.0063,advanc 0.0087,inform 0.0076,show 0.0119
Term 28,lwc 0.0072,retriev 0.0089,case 0.0071,read 0.0091,null 0.0062,ui 0.0084,limit 0.0073,action 0.0117
Term 29,content 0.0071,azur 0.0083,statu 0.0071,refresh 0.0088,match 0.0061,enabl 0.0083,day 0.0073,submit 0.0107
Term 30,execut 0.007,convert 0.008,solv 0.007,set 0.0085,relationship 0.006,support 0.0083,find 0.0071,powerapp 0.0097
