,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
Term 1,api 0.0768,access 0.0299,script 0.0455,select 0.0408,record 0.0839,field 0.0433,tabl 0.0875,object 0.052,file 0.0734,email 0.0551,page 0.0995
Term 2,request 0.0328,user 0.0293,error 0.0444,item 0.0372,form 0.061,date 0.0393,datasourc 0.049,custom 0.0406,compon 0.0621,connect 0.0402,button 0.0434
Term 3,url 0.0328,applic 0.0213,function 0.041,column 0.031,updat 0.0386,variabl 0.0316,queri 0.0446,field 0.0297,class 0.0214,databas 0.0319,click 0.0335
Term 4,crm 0.0226,project 0.0193,im 0.0265,dropdown 0.0296,save 0.0379,text 0.0228,model 0.0367,contact 0.0219,drive 0.0212,send 0.0285,widget 0.029
Term 5,respons 0.0225,deploy 0.0186,run 0.0225,sharepoint 0.0259,field 0.0251,string 0.0211,relat 0.0275,id 0.0214,imag 0.0201,error 0.0283,event 0.0184
Term 6,post 0.0195,develop 0.0167,ive 0.0209,screen 0.0255,edit 0.0234,number 0.0211,record 0.0248,case 0.0189,upload 0.0201,sql 0.0266,open 0.0174
Term 7,json 0.0149,app 0.0151,work 0.0184,option 0.0207,creat 0.0206,search 0.0204,row 0.0204,account 0.0186,apex 0.0175,server 0.0198,tab 0.0139
Term 8,rest 0.0148,group 0.0133,server 0.0182,collect 0.0192,delet 0.018,label 0.0187,script 0.0166,task 0.0181,control 0.015,flow 0.0182,display 0.0135
Term 9,token 0.0139,servic 0.0117,client 0.0143,valu 0.0186,submit 0.016,input 0.018,filter 0.0166,event 0.0168,test 0.0149,address 0.0163,load 0.013
Term 10,paramet 0.0137,manag 0.0112,line 0.012,filter 0.0186,id 0.0157,im 0.0152,bind 0.0156,report 0.0152,method 0.0146,cloud 0.0155,chang 0.0118
Term 11,access 0.0131,admin 0.0109,problem 0.0111,galleri 0.0182,insert 0.0146,valu 0.015,calcul 0.0156,record 0.0138,element 0.0142,power 0.0153,link 0.0117
Term 12,im 0.013,permiss 0.0102,call 0.0098,field 0.0154,approv 0.0136,result 0.0144,field 0.0148,calendar 0.0121,error 0.0142,mail 0.0142,properti 0.0108
Term 13,error 0.0129,role 0.0099,execut 0.0097,button 0.0152,document 0.0122,box 0.014,item 0.0145,action 0.0115,folder 0.0137,configur 0.0139,style 0.0096
Term 14,integr 0.0106,creat 0.0097,map 0.0094,display 0.0148,automat 0.0114,time 0.0135,sql 0.014,trigger 0.0113,work 0.0128,instanc 0.0137,select 0.0086
Term 15,document 0.0103,log 0.0088,return 0.0092,sourc 0.013,entri 0.0101,display 0.012,widget 0.0138,activ 0.0106,lwc 0.0111,messag 0.0129,custom 0.0082
Term 16,chatter 0.0099,publish 0.0088,version 0.009,tabl 0.0128,manual 0.01,chang 0.0114,im 0.0105,entiti 0.0101,js 0.0109,azur 0.0125,html 0.0082
Term 17,xml 0.0098,environ 0.0084,time 0.0089,form 0.0127,question 0.0094,express 0.011,project 0.0103,creat 0.0093,html 0.0106,connector 0.0112,css 0.0075
Term 18,return 0.0093,share 0.0078,find 0.0087,excel 0.0125,mode 0.0093,return 0.0085,creat 0.0092,updat 0.0092,web 0.0102,work 0.0098,work 0.007
Term 19,method 0.0091,domain 0.0075,side 0.0078,properti 0.0118,time 0.009,month 0.0083,id 0.0092,check 0.0088,attach 0.0098,im 0.0093,popup 0.0067
Term 20,work 0.009,enabl 0.0074,write 0.007,powerapp 0.0099,inform 0.0085,format 0.0081,key 0.0088,im 0.0081,pdf 0.0095,account 0.0086,imag 0.0066
Term 21,header 0.0078,set 0.0073,thing 0.0067,show 0.0093,link 0.0081,start 0.0078,client 0.0088,checkbox 0.0076,picker 0.0087,microsoft 0.0086,onclick 0.0065
Term 22,web 0.0076,cloud 0.0067,read 0.0065,base 0.0093,templat 0.008,properti 0.0077,server 0.0086,lead 0.007,javascript 0.0086,creat 0.0085,text 0.0063
Term 23,send 0.0076,account 0.0066,librari 0.0062,im 0.0086,case 0.0072,day 0.0076,load 0.0085,chang 0.0068,function 0.0082,local 0.0075,add 0.0063
Term 24,php 0.0074,system 0.0065,fine 0.0061,drop 0.0085,button 0.007,valid 0.0072,return 0.0082,add 0.0065,resourc 0.008,servic 0.007,action 0.0063
Term 25,applic 0.0073,secur 0.0065,output 0.006,box 0.0084,parent 0.0068,formula 0.0072,display 0.0082,view 0.0065,show 0.0078,set 0.007,element 0.0062
Term 26,pass 0.0073,preview 0.0061,chart 0.0058,control 0.008,duplic 0.0066,check 0.0071,select 0.0076,owner 0.0064,content 0.0074,fail 0.007,browser 0.006
Term 27,custom 0.0072,mobil 0.0058,result 0.0054,lookup 0.0078,enter 0.0066,function 0.0068,column 0.0073,relat 0.0063,array 0.0067,test 0.007,navig 0.0059
Term 28,http 0.007,web 0.0058,throw 0.0052,dynam 0.0075,fill 0.0065,base 0.0067,sort 0.0072,book 0.0062,csv 0.0065,password 0.007,creat 0.0057
Term 29,lead 0.0061,link 0.0057,check 0.0052,text 0.0073,child 0.0062,enter 0.0067,result 0.0069,standard 0.0059,tag 0.0063,receiv 0.0067,refresh 0.0057
Term 30,receiv 0.006,option 0.0055,consol 0.005,popul 0.0068,chang 0.0062,requir 0.0066,base 0.0063,queri 0.0056,attribut 0.0061,app 0.0066,edit 0.0056
