,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12
Term 1,file 0.101,form 0.0645,access 0.039,queri 0.0599,tabl 0.0757,page 0.1177,api 0.0867,email 0.0758,field 0.0636,databas 0.0335,column 0.0312,error 0.0766,compon 0.0709
Term 2,imag 0.0382,widget 0.0429,user 0.0316,tabl 0.0534,record 0.0669,button 0.0568,request 0.0327,send 0.0412,record 0.058,sql 0.0331,sharepoint 0.029,script 0.0657,element 0.0244
Term 3,drive 0.0314,select 0.0406,app 0.0305,date 0.0384,relat 0.0357,click 0.0457,url 0.0294,messag 0.022,object 0.0527,project 0.0295,variabl 0.0287,function 0.0382,class 0.0224
Term 4,upload 0.0275,field 0.0359,applic 0.0282,datasourc 0.0338,save 0.0243,open 0.0272,crm 0.0256,mail 0.0196,custom 0.0333,cloud 0.0268,item 0.0276,server 0.0341,control 0.0224
Term 5,document 0.0209,option 0.0288,power 0.0201,filter 0.0271,model 0.0241,link 0.019,respons 0.0256,error 0.0189,id 0.028,connect 0.0226,screen 0.025,im 0.027,html 0.0206
Term 6,folder 0.019,dropdown 0.0286,deploy 0.0194,model 0.0249,creat 0.0235,tab 0.0179,post 0.0188,approv 0.0185,case 0.0258,servic 0.0137,galleri 0.0204,run 0.0247,work 0.0174
Term 7,attach 0.0187,bind 0.0222,group 0.0155,calcul 0.0222,item 0.0216,load 0.0162,json 0.0169,address 0.0182,updat 0.0237,instanc 0.0134,collect 0.0203,client 0.0228,test 0.0164
Term 8,chatter 0.0162,text 0.0199,account 0.015,result 0.0171,row 0.0209,custom 0.0142,rest 0.0167,event 0.0162,contact 0.0225,server 0.0103,text 0.0178,work 0.0194,apex 0.0149
Term 9,pdf 0.0129,button 0.0185,creat 0.015,field 0.0164,id 0.0174,action 0.014,im 0.0159,calendar 0.0159,account 0.0157,solut 0.0089,search 0.0172,ive 0.0175,javascript 0.0149
Term 10,picker 0.0108,datasourc 0.0168,connect 0.0148,display 0.0163,key 0.0162,display 0.0112,paramet 0.0159,templat 0.0139,trigger 0.0125,answer 0.0086,function 0.0165,return 0.0145,method 0.0142
Term 11,convert 0.0094,box 0.0164,admin 0.0143,record 0.0133,entiti 0.0159,work 0.011,token 0.0124,flow 0.0138,report 0.0122,support 0.0086,properti 0.0157,side 0.0136,web 0.0134
