,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13
Term 1,widget 0.0471,email 0.084,compon 0.0767,tabl 0.089,api 0.0885,page 0.1207,databas 0.0474,file 0.0966,form 0.0628,access 0.0401,record 0.0919,variabl 0.0391,script 0.0671,date 0.0425
Term 2,event 0.0398,error 0.057,error 0.0235,datasourc 0.0591,request 0.0343,button 0.0669,sql 0.0456,drive 0.0334,item 0.0397,user 0.0332,object 0.0628,case 0.0241,function 0.0458,queri 0.0331
Term 3,properti 0.0221,send 0.046,web 0.0206,record 0.0432,url 0.0325,click 0.0466,cloud 0.0317,imag 0.0302,field 0.0395,project 0.0255,field 0.0567,updat 0.0234,im 0.0368,tabl 0.0318
Term 4,chang 0.0212,messag 0.0263,work 0.018,model 0.0417,crm 0.0266,open 0.0297,connect 0.0293,upload 0.0275,select 0.0383,deploy 0.0251,id 0.0347,task 0.0218,error 0.0358,column 0.0289
Term 5,text 0.0207,mail 0.0216,control 0.0172,relat 0.0339,respons 0.026,custom 0.0247,servic 0.0176,power 0.0254,dropdown 0.0292,applic 0.024,contact 0.0236,approv 0.0177,server 0.0299,filter 0.0256
Term 6,label 0.0186,address 0.0204,element 0.0152,field 0.0291,post 0.022,link 0.022,instanc 0.0168,attach 0.0192,sharepoint 0.0248,app 0.0187,custom 0.0171,check 0.0173,ive 0.0267,result 0.0245
Term 7,page 0.0168,connect 0.0165,method 0.0146,queri 0.0223,json 0.0176,tab 0.0194,question 0.0131,folder 0.019,screen 0.0239,group 0.0176,account 0.0167,chang 0.014,run 0.023,number 0.0232
Term 8,style 0.0148,receiv 0.0164,lwc 0.0137,row 0.0199,rest 0.0175,display 0.0141,server 0.0117,document 0.0189,option 0.0224,account 0.0175,delet 0.0153,action 0.0119,client 0.0225,search 0.022
Term 9,calendar 0.0146,configur 0.0157,test 0.0136,bind 0.0182,im 0.0137,view 0.014,time 0.0112,excel 0.0165,galleri 0.0195,creat 0.0155,updat 0.0141,valid 0.0117,work 0.0185,string 0.0206
Term 10,imag 0.0132,server 0.0157,js 0.0133,item 0.018,paramet 0.0137,refresh 0.0121,support 0.0098,flow 0.0156,text 0.018,develop 0.0155,class 0.0136,flow 0.0116,return 0.0143,return 0.0148
