,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
Term 1,sql 0.0555,error 0.0493,api 0.0915,tabl 0.1229,compon 0.0717,user 0.0488,project 0.0179,file 0.1074,script 0.0929,record 0.1125,field 0.0436,power 0.0316,page 0.1038,form 0.0641,email 0.0915
Term 2,databas 0.0545,date 0.047,request 0.0355,queri 0.0409,class 0.0244,access 0.0476,product 0.0173,imag 0.0395,datasourc 0.0446,field 0.0619,text 0.0381,app 0.0283,button 0.0625,item 0.0443,send 0.0481
Term 3,connect 0.0541,im 0.0429,url 0.032,filter 0.0329,element 0.0208,deploy 0.0321,manag 0.0148,drive 0.032,widget 0.0428,object 0.0565,variabl 0.037,flow 0.0264,click 0.0417,select 0.04,mail 0.0236
Term 4,cloud 0.0398,time 0.0321,crm 0.0277,record 0.0319,html 0.02,applic 0.0231,gener 0.0146,upload 0.0298,event 0.0417,id 0.0325,string 0.0275,custom 0.0251,open 0.0233,dropdown 0.0304,address 0.0231
Term 5,server 0.0391,function 0.022,respons 0.0267,row 0.029,page 0.0198,group 0.023,question 0.0134,folder 0.0205,client 0.0353,updat 0.0287,label 0.0258,login 0.0215,tab 0.0176,field 0.028,approv 0.0221
Term 6,error 0.0195,ive 0.0181,post 0.0194,column 0.0286,test 0.0194,account 0.0202,answer 0.0125,import 0.0185,server 0.0334,custom 0.0225,search 0.0253,connector 0.02,widget 0.0161,sharepoint 0.0259,messag 0.0212
Term 7,instanc 0.0191,calendar 0.0143,json 0.0183,relat 0.0271,control 0.0185,admin 0.0188,solut 0.0109,attach 0.0173,bind 0.0269,save 0.0205,input 0.0243,azur 0.0183,link 0.0145,screen 0.0233,task 0.0189
Term 8,servic 0.0184,work 0.0132,rest 0.0175,datasourc 0.0268,error 0.0179,permiss 0.0175,document 0.0103,sheet 0.0152,model 0.0266,contact 0.0203,valu 0.0219,applic 0.0168,action 0.0127,option 0.0205,activ 0.0169
Term 9,run 0.0126,problem 0.0123,token 0.017,model 0.0256,method 0.0177,role 0.0171,featur 0.0095,export 0.0152,function 0.0255,delet 0.0192,properti 0.02,web 0.0151,style 0.0122,galleri 0.0205,error 0.0163
Term 10,applic 0.011,start 0.0122,im 0.0167,field 0.0165,work 0.0166,creat 0.0161,custom 0.0094,document 0.0141,side 0.021,creat 0.0185,display 0.0155,chatter 0.0132,edit 0.0113,button 0.0175,case 0.0149
Term 11,store 0.0109,day 0.0117,error 0.0167,calcul 0.0154,apex 0.0161,project 0.0154,support 0.009,pdf 0.014,load 0.0138,case 0.0167,box 0.0147,microsoft 0.0131,view 0.0111,collect 0.0162,account 0.0145
Term 12,fail 0.0095,run 0.0117,paramet 0.0133,item 0.0139,javascript 0.0146,app 0.0151,time 0.0086,picker 0.0134,queri 0.0131,insert 0.0155,number 0.0137,function 0.0126,display 0.011,column 0.0157,templat 0.0129
Term 13,configur 0.0087,month 0.0099,return 0.0127,display 0.0137,js 0.0129,publish 0.0151,implement 0.0085,excel 0.0125,option 0.0124,entiti 0.0127,express 0.0135,url 0.0125,chang 0.011,submit 0.013,receiv 0.0124
Term 14,local 0.0084,version 0.0099,xml 0.012,sourc 0.0131,lwc 0.0128,error 0.0143,build 0.0076,chart 0.011,call 0.0116,array 0.0116,result 0.0129,powerapp 0.0123,custom 0.0101,display 0.0129,work 0.0108
Term 15,test 0.0083,return 0.0095,integr 0.0114,select 0.0115,map 0.0122,domain 0.0129,multipl 0.0075,save 0.0102,chang 0.0103,account 0.0115,function 0.0123,screen 0.0118,work 0.0097,control 0.0125,configur 0.0103
Term 16,mysql 0.008,wrong 0.0088,access 0.0109,result 0.0109,tag 0.0118,develop 0.0127,base 0.0074,csv 0.0093,run 0.01,queri 0.0104,chang 0.0119,connect 0.0115,popup 0.0083,edit 0.0123,creat 0.0102
Term 17,locat 0.008,updat 0.0083,method 0.0107,key 0.0104,consol 0.01,preview 0.0126,packag 0.0074,librari 0.0089,properti 0.0092,parent 0.0104,return 0.0116,work 0.0097,select 0.0081,valu 0.012,domain 0.0099
Term 18,java 0.0079,number 0.0082,lead 0.0098,base 0.0101,function 0.0098,share 0.0123,servic 0.0072,download 0.0089,paramet 0.0088,error 0.0099,valid 0.0111,mobil 0.0097,css 0.0078,box 0.011,statu 0.0091
Term 19,setup 0.0075,expect 0.0074,php 0.0098,creat 0.01,web 0.0096,enabl 0.0115,tool 0.0071,spreadsheet 0.0088,relat 0.0086,relat 0.0098,check 0.0104,creat 0.0093,load 0.0078,save 0.01,process 0.0089
Term 20,work 0.0073,end 0.0073,work 0.0097,sort 0.01,event 0.0076,log 0.011,develop 0.007,convert 0.0087,dropdown 0.0078,return 0.0089,array 0.0087,websit 0.0084,refresh 0.0074,filter 0.0093,chang 0.0087
Term 21,db 0.0072,year 0.0064,header 0.0095,id 0.0087,insid 0.0076,set 0.011,report 0.0067,pictur 0.0084,ui 0.0077,trigger 0.0083,assign 0.0085,emb 0.0084,navig 0.0074,properti 0.0093,workflow 0.0086
Term 22,support 0.0071,find 0.0063,send 0.0089,sql 0.0085,show 0.0074,environ 0.0106,integr 0.0067,extens 0.0081,suggest 0.0076,child 0.0079,paramet 0.0085,agent 0.0081,copi 0.0073,show 0.0088,action 0.0084
Term 23,set 0.0067,thing 0.0062,document 0.0086,page 0.0083,display 0.0072,secur 0.0102,note 0.0067,store 0.008,select 0.0075,lookup 0.007,checkbox 0.0084,run 0.008,menu 0.007,inform 0.0087,add 0.0083
Term 24,check 0.006,current 0.006,http 0.0085,show 0.008,load 0.007,organ 0.0089,case 0.0066,content 0.0078,ive 0.0073,edit 0.0066,im 0.0081,password 0.008,color 0.007,drop 0.0087,notif 0.0083
Term 25,command 0.0059,formula 0.0059,pass 0.0078,im 0.0079,call 0.0068,system 0.0087,task 0.0065,line 0.0078,updat 0.0069,mode 0.0066,match 0.0074,canva 0.0076,detail 0.007,text 0.0081,problem 0.0082
Term 26,default 0.0054,hour 0.0058,creator 0.0074,valu 0.0076,attribut 0.0067,check 0.0086,good 0.0064,problem 0.0075,im 0.0065,write 0.0064,charact 0.0064,id 0.0075,onclick 0.0065,popul 0.0081,request 0.0076
Term 27,fine 0.0054,complet 0.0057,call 0.0073,employe 0.0071,custom 0.0067,open 0.0079,start 0.0062,team 0.0075,directori 0.0065,valu 0.0064,dynam 0.0064,build 0.0067,window 0.0063,creat 0.0079,im 0.0071
Term 28,extern 0.0053,fix 0.0057,client 0.0065,work 0.007,render 0.0065,work 0.0079,similar 0.0059,function 0.0072,project 0.0058,duplic 0.0058,true 0.0063,step 0.0067,back 0.0063,powerapp 0.0076,smtp 0.0068
Term 29,gateway 0.0051,test 0.0054,form 0.0064,load 0.0066,creat 0.0064,profil 0.0077,lot 0.0057,size 0.0071,multiselect 0.0057,chang 0.0058,enter 0.0061,execut 0.0067,print 0.0063,default 0.0075,owner 0.0068
Term 30,creat 0.005,write 0.0054,inform 0.0062,number 0.0063,implement 0.0063,view 0.0076,system 0.0056,refer 0.0064,countri 0.0056,method 0.0058,suggest 0.0059,develop 0.0065,layout 0.0062,lookup 0.0075,updat 0.0062
