,link,qa,Dominant Topic,Correlation
0,"=HYPERLINK(""https://stackoverflow.com/q/326366"", ""326366"")",q,4,0.25490287057659
1,"=HYPERLINK(""https://stackoverflow.com/q/359717"", ""359717"")",q,13,0.2985289283366207
2,"=HYPERLINK(""https://stackoverflow.com/q/544097"", ""544097"")",q,4,0.5026525989508823
3,"=HYPERLINK(""https://stackoverflow.com/q/980932"", ""980932"")",q,9,0.8341586151368762
4,"=HYPERLINK(""https://stackoverflow.com/q/1236439"", ""1236439"")",q,7,0.25353509948580366
5,"=HYPERLINK(""https://stackoverflow.com/q/1258834"", ""1258834"")",q,9,0.37039580789580784
6,"=HYPERLINK(""https://stackoverflow.com/q/2022549"", ""2022549"")",q,11,0.3373986990829601
7,"=HYPERLINK(""https://stackoverflow.com/q/2377082"", ""2377082"")",q,13,0.33036786786786787
8,"=HYPERLINK(""https://stackoverflow.com/q/2566385"", ""2566385"")",q,14,0.4533641975308642
9,"=HYPERLINK(""https://stackoverflow.com/q/2615337"", ""2615337"")",q,4,0.3387962962962963
10,"=HYPERLINK(""https://stackoverflow.com/q/3016015"", ""3016015"")",q,4,0.7315997566909977
11,"=HYPERLINK(""https://stackoverflow.com/q/3578981"", ""3578981"")",q,4,0.7185743623000433
12,"=HYPERLINK(""https://stackoverflow.com/q/3700594"", ""3700594"")",q,9,0.35756378258458127
13,"=HYPERLINK(""https://stackoverflow.com/q/3906522"", ""3906522"")",q,14,0.2068211588842657
14,"=HYPERLINK(""https://stackoverflow.com/q/3990732"", ""3990732"")",q,4,0.5667735042735045
15,"=HYPERLINK(""https://stackoverflow.com/q/4432075"", ""4432075"")",q,4,0.7262426900584796
16,"=HYPERLINK(""https://stackoverflow.com/q/4439797"", ""4439797"")",q,4,0.56270964360587
17,"=HYPERLINK(""https://stackoverflow.com/q/4556252"", ""4556252"")",q,9,0.6888345195729537
18,"=HYPERLINK(""https://stackoverflow.com/q/4598926"", ""4598926"")",q,1,0.44558457711442784
19,"=HYPERLINK(""https://stackoverflow.com/q/4804623"", ""4804623"")",q,9,0.5482142857142859
20,"=HYPERLINK(""https://stackoverflow.com/q/5552901"", ""5552901"")",q,9,0.4909369114877589
21,"=HYPERLINK(""https://stackoverflow.com/q/6580311"", ""6580311"")",q,4,0.4633714596949891
22,"=HYPERLINK(""https://stackoverflow.com/q/6645196"", ""6645196"")",q,5,0.4193155784650632
23,"=HYPERLINK(""https://stackoverflow.com/q/7048854"", ""7048854"")",q,13,0.29852892833662065
24,"=HYPERLINK(""https://stackoverflow.com/q/7304006"", ""7304006"")",q,14,0.37962307208057916
25,"=HYPERLINK(""https://stackoverflow.com/q/7383641"", ""7383641"")",q,13,0.3053791377983064
26,"=HYPERLINK(""https://stackoverflow.com/q/7679733"", ""7679733"")",q,9,0.3818548387096774
27,"=HYPERLINK(""https://stackoverflow.com/q/7699717"", ""7699717"")",q,13,0.4340818622360679
28,"=HYPERLINK(""https://stackoverflow.com/q/7839597"", ""7839597"")",q,13,0.7914037366988369
29,"=HYPERLINK(""https://stackoverflow.com/q/8005085"", ""8005085"")",q,9,0.7120152870991798
30,"=HYPERLINK(""https://stackoverflow.com/q/8040701"", ""8040701"")",q,15,0.57311295213342
31,"=HYPERLINK(""https://stackoverflow.com/q/8067099"", ""8067099"")",q,10,0.28014974851394603
32,"=HYPERLINK(""https://stackoverflow.com/q/8123314"", ""8123314"")",q,9,0.49334370677731676
33,"=HYPERLINK(""https://stackoverflow.com/q/8430681"", ""8430681"")",q,15,0.638221629102412
34,"=HYPERLINK(""https://stackoverflow.com/q/8430696"", ""8430696"")",q,15,0.704651047844998
35,"=HYPERLINK(""https://stackoverflow.com/q/8522884"", ""8522884"")",q,9,0.5900300077084023
36,"=HYPERLINK(""https://stackoverflow.com/q/8640940"", ""8640940"")",q,4,0.7172720192580007
37,"=HYPERLINK(""https://stackoverflow.com/q/8657698"", ""8657698"")",q,8,0.2992901234567901
38,"=HYPERLINK(""https://stackoverflow.com/q/8980486"", ""8980486"")",q,14,0.3192399887196841
39,"=HYPERLINK(""https://stackoverflow.com/q/9041860"", ""9041860"")",q,13,0.5065993788819877
40,"=HYPERLINK(""https://stackoverflow.com/q/9054254"", ""9054254"")",q,9,0.492420116194626
41,"=HYPERLINK(""https://stackoverflow.com/q/9076585"", ""9076585"")",q,15,0.34529974890144377
42,"=HYPERLINK(""https://stackoverflow.com/q/9139207"", ""9139207"")",q,8,0.2772315855181024
43,"=HYPERLINK(""https://stackoverflow.com/q/9168994"", ""9168994"")",q,4,0.3423306389530408
44,"=HYPERLINK(""https://stackoverflow.com/q/9187799"", ""9187799"")",q,15,0.7347488038277512
45,"=HYPERLINK(""https://stackoverflow.com/q/9257823"", ""9257823"")",q,1,0.26706503014642546
46,"=HYPERLINK(""https://stackoverflow.com/q/9372228"", ""9372228"")",q,9,0.5122649096758228
