,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15
Term 1,item 0.0478,form 0.0894,email 0.0911,date 0.0575,time 0.0195,script 0.0739,project 0.042,text 0.0424,sql 0.0543,api 0.0857,page 0.1292,compon 0.0888,tabl 0.0851,access 0.0447,file 0.1165,record 0.0852
Term 2,column 0.04,button 0.0538,error 0.0772,tabl 0.0358,task 0.019,function 0.0496,im 0.0218,select 0.0376,databas 0.054,request 0.0368,click 0.0289,class 0.03,datasourc 0.0631,user 0.04,imag 0.0452,object 0.0672
Term 3,sharepoint 0.0375,save 0.0429,send 0.0488,field 0.0336,case 0.0139,error 0.0337,product 0.0185,option 0.031,connect 0.0465,url 0.0319,button 0.026,element 0.025,model 0.0447,applic 0.0289,drive 0.0395,field 0.0566
Term 4,screen 0.0343,record 0.0358,messag 0.0283,number 0.0283,version 0.0131,server 0.0326,id 0.0171,field 0.0307,cloud 0.0394,crm 0.0285,open 0.0242,control 0.024,record 0.0373,deploy 0.0251,upload 0.0325,id 0.0373
Term 5,collect 0.0267,edit 0.0278,mail 0.0236,queri 0.0242,answer 0.0109,event 0.0303,manag 0.0167,variabl 0.029,power 0.0331,respons 0.0272,custom 0.0212,test 0.0225,queri 0.0372,account 0.0205,document 0.0238,custom 0.0246
Term 6,galleri 0.0263,click 0.0274,address 0.0234,time 0.0167,chart 0.0101,client 0.0266,question 0.0163,dropdown 0.0255,flow 0.029,json 0.019,tab 0.021,apex 0.0187,relat 0.0305,group 0.0173,folder 0.0222,contact 0.0244
Term 7,search 0.0237,field 0.0248,server 0.02,calcul 0.0153,tool 0.01,run 0.0227,ive 0.0134,box 0.0253,app 0.0258,post 0.0186,load 0.0158,work 0.0177,widget 0.0249,login 0.0152,import 0.0214,updat 0.024
Term 8,filter 0.0232,action 0.0225,work 0.017,display 0.0152,solut 0.0099,im 0.0217,order 0.0121,label 0.0249,connector 0.0209,rest 0.0186,display 0.0153,html 0.0177,row 0.0244,admin 0.0147,attach 0.0192,case 0.0211
Term 9,tabl 0.0179,submit 0.0221,connect 0.0158,im 0.0151,gener 0.0097,call 0.0162,multipl 0.0119,chang 0.0243,azur 0.0192,paramet 0.0164,link 0.014,method 0.0175,filter 0.0243,role 0.0145,sheet 0.0168,account 0.0206
Term 10,function 0.0177,creat 0.0211,receiv 0.0155,result 0.0151,process 0.0094,side 0.0161,inform 0.0118,input 0.0235,servic 0.0191,im 0.0149,work 0.0133,lwc 0.0159,item 0.0219,permiss 0.0142,export 0.0167,delet 0.0176
