,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17
Term 1,file 0.1341,compon 0.1003,power 0.0426,field 0.066,error 0.0817,access 0.0489,databas 0.079,page 0.1152,script 0.093,question 0.0187,imag 0.0401,api 0.1008,queri 0.0814,record 0.1214,item 0.0434,datasourc 0.0577,email 0.111,form 0.0948
Term 2,drive 0.044,class 0.0295,flow 0.0398,object 0.0562,return 0.0319,user 0.0401,sql 0.0735,url 0.0332,server 0.0441,im 0.0175,text 0.0229,request 0.0375,date 0.0549,tabl 0.0809,select 0.0385,widget 0.0521,send 0.0541,button 0.0585
Term 3,upload 0.0356,control 0.0272,collect 0.0375,custom 0.0505,string 0.0296,deploy 0.0294,connect 0.0577,open 0.0267,client 0.0373,time 0.0168,element 0.0225,crm 0.0309,tabl 0.0407,field 0.0379,field 0.0327,page 0.0514,address 0.0313,save 0.0418
Term 4,folder 0.0256,test 0.0237,app 0.0321,contact 0.0304,function 0.0289,applic 0.0236,cloud 0.0499,tab 0.0251,im 0.0364,answer 0.0159,style 0.0209,url 0.0273,calcul 0.0316,relat 0.0358,dropdown 0.0311,bind 0.0331,mail 0.0285,click 0.0341
Term 5,document 0.0207,method 0.0229,connector 0.027,account 0.0292,array 0.02,group 0.0222,product 0.0317,click 0.0227,project 0.0316,solut 0.0115,chang 0.0197,respons 0.0256,filter 0.0248,id 0.0355,column 0.0277,tabl 0.0318,messag 0.0252,edit 0.0264
Term 6,import 0.0186,apex 0.0225,powerapp 0.0259,record 0.0287,work 0.0172,admin 0.0196,server 0.028,button 0.0224,function 0.0302,case 0.011,html 0.0181,post 0.0192,result 0.0206,model 0.0232,screen 0.0261,select 0.0258,error 0.0208,submit 0.0226
Term 7,pdf 0.0175,lwc 0.0179,azur 0.0247,updat 0.0271,result 0.0156,permiss 0.0175,instanc 0.0239,link 0.0213,run 0.0285,document 0.0097,css 0.0163,rest 0.019,display 0.02,row 0.0232,galleri 0.0244,event 0.0228,configur 0.015,field 0.0217
Term 8,export 0.0169,js 0.0169,custom 0.024,task 0.0234,express 0.0151,role 0.017,servic 0.0215,login 0.017,error 0.0283,start 0.0088,map 0.0159,json 0.0187,record 0.0195,creat 0.0229,text 0.0243,option 0.0204,receiv 0.0139,approv 0.0193
Term 9,picker 0.0156,attribut 0.0158,microsoft 0.0188,case 0.0229,expect 0.013,account 0.0165,store 0.0164,custom 0.0163,ive 0.0252,implement 0.0085,display 0.0149,token 0.0178,field 0.0191,key 0.0197,sharepoint 0.0243,item 0.0173,domain 0.0134,event 0.0189
Term 10,attach 0.0156,event 0.015,function 0.0179,id 0.0178,object 0.0117,develop 0.0156,applic 0.0134,browser 0.0159,side 0.0172,find 0.008,im 0.0141,im 0.0148,number 0.0185,delet 0.0145,filter 0.0241,label 0.0163,work 0.0127,calendar 0.0158
