,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
Term 1,sql 0.0224,email 0.0275,page 0.0439,tabl 0.0539,field 0.0425,api 0.0423
Term 2,databas 0.0211,access 0.027,file 0.0385,record 0.0535,form 0.0354,error 0.0376
Term 3,time 0.0202,connect 0.0204,compon 0.0309,datasourc 0.0289,select 0.0256,object 0.0272
Term 4,date 0.0192,applic 0.0189,imag 0.0165,script 0.026,column 0.0209,function 0.0195
Term 5,im 0.0188,send 0.0187,button 0.0139,queri 0.0255,item 0.0205,request 0.0182
Term 6,cloud 0.0135,user 0.0183,click 0.0132,model 0.0216,valu 0.0181,return 0.018
Term 7,ive 0.0132,account 0.0183,work 0.0131,relat 0.0197,text 0.0179,method 0.0165
Term 8,project 0.0132,app 0.014,drive 0.0115,page 0.0193,dropdown 0.0172,im 0.0147
Term 9,script 0.0117,servic 0.0128,element 0.011,widget 0.0185,option 0.0163,crm 0.0137
Term 10,deploy 0.0112,error 0.0112,open 0.0107,id 0.017,screen 0.016,respons 0.0137
Term 11,run 0.0093,creat 0.0111,html 0.0104,event 0.0132,variabl 0.0145,custom 0.0117
Term 12,error 0.0093,power 0.0108,control 0.0104,field 0.0131,sharepoint 0.0137,string 0.0104
Term 13,import 0.0086,custom 0.0101,upload 0.0101,row 0.013,display 0.0134,call 0.0104
Term 14,solut 0.0084,develop 0.0099,add 0.0089,server 0.013,properti 0.0132,paramet 0.0102
Term 15,report 0.0081,server 0.0098,attach 0.0088,client 0.0127,button 0.0131,test 0.0098
Term 16,number 0.008,group 0.0091,link 0.0088,creat 0.011,input 0.0125,post 0.0096
Term 17,answer 0.0077,url 0.009,document 0.0088,updat 0.0103,box 0.0109,class 0.0092
Term 18,start 0.0076,flow 0.0087,tab 0.0087,bind 0.0102,filter 0.0104,work 0.0092
Term 19,problem 0.0072,login 0.0084,load 0.0084,button 0.0102,collect 0.0104,json 0.0091
Term 20,instanc 0.0071,token 0.0082,javascript 0.0083,filter 0.0092,search 0.0102,rest 0.009
Term 21,thing 0.0069,address 0.0081,creat 0.0082,case 0.0088,label 0.0099,apex 0.0089
Term 22,version 0.0067,messag 0.0079,custom 0.0082,delet 0.0087,galleri 0.0096,updat 0.0087
Term 23,gener 0.0065,integr 0.0078,content 0.0081,load 0.0083,chang 0.0087,array 0.0086
Term 24,work 0.0061,domain 0.0078,web 0.0073,side 0.0083,edit 0.0086,pass 0.0084
Term 25,sheet 0.006,configur 0.0077,consol 0.0073,edit 0.008,submit 0.0081,write 0.0084
Term 26,calendar 0.0058,set 0.0073,view 0.0071,item 0.008,base 0.0078,url 0.0083
Term 27,build 0.0057,mail 0.0071,folder 0.007,click 0.0078,im 0.0072,contact 0.0081
Term 28,day 0.0056,case 0.0071,approv 0.0069,chang 0.0077,save 0.0068,result 0.0078
Term 29,find 0.0055,admin 0.0068,display 0.0069,save 0.0073,enter 0.0067,format 0.0073
Term 30,idea 0.0054,connector 0.0068,action 0.0067,key 0.007,excel 0.0066,lead 0.0071
