,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
Term 1,script 0.0362,page 0.0641,compon 0.0376,tabl 0.0701,field 0.0562,file 0.0359,api 0.0505
Term 2,function 0.0234,button 0.0458,error 0.0345,record 0.0649,form 0.0452,access 0.0228,email 0.0307
Term 3,updat 0.021,widget 0.0315,object 0.0328,queri 0.0346,variabl 0.0186,user 0.0216,url 0.0256
Term 4,server 0.0189,click 0.0287,custom 0.0244,model 0.026,item 0.018,connect 0.0189,request 0.0216
Term 5,im 0.0176,option 0.0232,work 0.016,relat 0.0234,sharepoint 0.0176,applic 0.0189,error 0.0216
Term 6,project 0.0175,select 0.0223,test 0.0138,filter 0.0234,text 0.0171,databas 0.0186,send 0.0209
Term 7,time 0.0167,chang 0.0159,element 0.0133,field 0.0213,valu 0.0169,app 0.0175,crm 0.0149
Term 8,case 0.0162,datasourc 0.0151,class 0.013,date 0.0211,screen 0.0159,sql 0.0158,respons 0.0148
Term 9,client 0.0157,open 0.015,html 0.0127,datasourc 0.0205,input 0.0155,cloud 0.0152,post 0.0143
Term 10,run 0.0116,bind 0.0139,page 0.0125,id 0.0151,select 0.0139,drive 0.014,contact 0.013
Term 11,ive 0.0102,item 0.0133,javascript 0.0116,search 0.0132,imag 0.0138,deploy 0.0127,im 0.0128
Term 12,delet 0.01,event 0.013,method 0.0113,return 0.0129,column 0.0137,power 0.0122,account 0.0128
Term 13,event 0.01,load 0.0129,function 0.011,result 0.0127,collect 0.0133,creat 0.0119,paramet 0.0101
Term 14,side 0.0096,display 0.0122,apex 0.0107,row 0.0123,save 0.0125,upload 0.0113,json 0.0098
Term 15,task 0.0093,dropdown 0.0119,control 0.0094,calcul 0.0122,galleri 0.0123,servic 0.0112,rest 0.0097
Term 16,save 0.0091,link 0.0112,web 0.009,column 0.0119,display 0.0121,develop 0.0092,work 0.0095
Term 17,question 0.009,edit 0.0111,consol 0.0088,creat 0.0104,properti 0.0108,group 0.0084,login 0.0093
Term 18,call 0.0088,properti 0.0105,line 0.008,sql 0.0092,submit 0.0104,instanc 0.0081,token 0.0091
Term 19,report 0.0073,tab 0.0101,file 0.0077,base 0.0092,dropdown 0.0098,import 0.0079,receiv 0.0082
Term 20,gener 0.0072,view 0.0094,creat 0.0074,number 0.0086,control 0.0088,admin 0.0078,id 0.0082
Term 21,approv 0.0072,navig 0.0082,map 0.0074,key 0.0086,im 0.0086,folder 0.0078,messag 0.0082
Term 22,trigger 0.0072,show 0.0079,js 0.0071,im 0.0083,box 0.0082,connector 0.0077,return 0.008
Term 23,answer 0.0067,work 0.0073,lwc 0.0067,display 0.0073,lookup 0.0081,account 0.0077,mail 0.0079
Term 24,problem 0.0065,style 0.007,commun 0.0065,sourc 0.0069,formula 0.0076,azur 0.0071,address 0.0075
Term 25,document 0.0064,row 0.0069,tag 0.0062,array 0.0066,edit 0.0076,permiss 0.007,header 0.0069
Term 26,activ 0.0064,detail 0.0068,run 0.0061,script 0.0063,label 0.0073,role 0.0068,integr 0.0068
Term 27,start 0.0064,drop 0.0068,librari 0.0058,sort 0.0062,string 0.0073,share 0.0068,chatter 0.0065
Term 28,thing 0.0063,im 0.0065,load 0.0057,error 0.0058,store 0.0073,environ 0.0066,configur 0.0065
Term 29,calendar 0.0062,suggest 0.0065,fine 0.0057,valu 0.0057,entiti 0.0071,microsoft 0.0062,xml 0.0064
Term 30,record 0.0061,add 0.0062,refer 0.0056,employe 0.0057,custom 0.0071,publish 0.006,server 0.0063
