,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
Term 1,page 0.0831,email 0.0461,script 0.0577,form 0.05,variabl 0.0203,api 0.0672,tabl 0.0809,access 0.0315,error 0.0891
Term 2,compon 0.0414,custom 0.0287,server 0.0395,field 0.0408,search 0.0202,file 0.0541,record 0.0659,applic 0.0285,work 0.029
Term 3,button 0.0353,send 0.0258,databas 0.0328,select 0.0344,im 0.018,url 0.0308,datasourc 0.0401,user 0.0275,function 0.0283
Term 4,click 0.0268,field 0.0235,sql 0.0315,item 0.0316,time 0.0158,request 0.027,queri 0.04,app 0.0189,test 0.0233
Term 5,widget 0.0221,object 0.0233,project 0.0286,dropdown 0.0249,function 0.015,crm 0.0198,field 0.0281,connect 0.0165,im 0.0199
Term 6,event 0.0172,updat 0.0218,client 0.0267,text 0.0229,number 0.0144,respons 0.0197,relat 0.0256,power 0.0164,object 0.0182
Term 7,open 0.0155,record 0.0214,cloud 0.021,option 0.0224,string 0.0118,document 0.0182,model 0.0252,custom 0.0159,method 0.0157
Term 8,load 0.0146,contact 0.0195,connect 0.0169,screen 0.0202,result 0.01,post 0.0169,date 0.0245,develop 0.0148,class 0.015
Term 9,html 0.0128,account 0.0187,run 0.0154,sharepoint 0.0199,question 0.0092,upload 0.0147,row 0.02,servic 0.0143,run 0.0131
Term 10,display 0.0123,case 0.0164,import 0.0134,button 0.0174,multipl 0.0091,drive 0.0135,filter 0.0191,creat 0.0133,apex 0.0127
Term 11,control 0.0115,task 0.0145,im 0.0132,column 0.0163,product 0.009,json 0.0131,calcul 0.0141,login 0.0129,fail 0.0125
Term 12,tab 0.0108,id 0.0141,side 0.0131,box 0.0158,map 0.0088,rest 0.0129,id 0.0135,group 0.0127,return 0.0125
Term 13,imag 0.0103,creat 0.0141,ive 0.0127,valu 0.0146,case 0.0083,paramet 0.0112,widget 0.0133,account 0.011,execut 0.0118
Term 14,element 0.0101,address 0.0121,instanc 0.0111,display 0.0144,express 0.0078,folder 0.0101,column 0.0131,connector 0.0105,delet 0.0102
Term 15,properti 0.01,mail 0.0118,time 0.0103,save 0.014,start 0.0072,im 0.01,bind 0.0108,admin 0.0099,problem 0.0098
Term 16,work 0.0093,lead 0.0116,function 0.01,galleri 0.014,solut 0.0071,imag 0.0096,display 0.0105,azur 0.0096,array 0.0097
Term 17,javascript 0.0091,trigger 0.0113,deploy 0.0085,properti 0.0137,line 0.0069,chatter 0.0086,key 0.0101,permiss 0.0095,messag 0.0092
Term 18,chang 0.0091,approv 0.0113,sheet 0.0083,edit 0.013,valu 0.0068,token 0.0085,select 0.0097,role 0.0092,fine 0.009
Term 19,view 0.009,event 0.0108,export 0.0082,collect 0.0129,input 0.0068,xml 0.0085,item 0.0093,share 0.0092,expect 0.0088
Term 20,link 0.0084,calendar 0.0097,save 0.0078,input 0.0123,return 0.0066,format 0.0083,creat 0.0092,environ 0.009,version 0.0085
Term 21,custom 0.0083,messag 0.0086,updat 0.0076,label 0.0117,id 0.0061,return 0.0074,result 0.0089,deploy 0.009,output 0.0077
Term 22,style 0.008,activ 0.0086,preview 0.0074,submit 0.0097,condit 0.0061,access 0.0073,base 0.0081,flow 0.0086,valid 0.0074
Term 23,show 0.0074,chang 0.0084,report 0.007,chang 0.0094,store 0.0057,method 0.0073,return 0.0075,log 0.0086,wrong 0.0069
Term 24,content 0.0067,action 0.0078,directori 0.0066,filter 0.0084,basic 0.0057,header 0.0072,valu 0.0075,microsoft 0.0084,call 0.0068
Term 25,dynam 0.0065,check 0.0076,answer 0.0065,creat 0.0075,write 0.0057,php 0.0071,sort 0.0064,publish 0.0081,check 0.0066
Term 26,add 0.0064,work 0.0074,creat 0.006,show 0.0075,ive 0.0056,convert 0.0071,relationship 0.0062,set 0.0079,read 0.0064
Term 27,tag 0.0063,owner 0.0071,manag 0.0059,formula 0.0074,make 0.0055,pdf 0.0069,im 0.0062,enabl 0.0079,line 0.0063
Term 28,css 0.0062,configur 0.0069,model 0.0059,default 0.0073,type 0.0055,call 0.0064,entiti 0.0053,secur 0.0079,ive 0.0063
Term 29,insid 0.0061,add 0.0069,spreadsheet 0.0059,control 0.007,featur 0.0053,integr 0.0064,employe 0.005,web 0.0078,throw 0.0062
Term 30,action 0.0056,receiv 0.0069,thing 0.0058,enter 0.007,base 0.0052,creator 0.0063,show 0.0049,commun 0.0072,element 0.0056
