,link,qa,Dominant Topic,Correlation
0,"=HYPERLINK(""https://stackoverflow.com/q/326366"", ""326366"")",q,0,0.20037986704653366
1,"=HYPERLINK(""https://stackoverflow.com/q/359717"", ""359717"")",q,5,0.17810457516339873
2,"=HYPERLINK(""https://stackoverflow.com/q/544097"", ""544097"")",q,9,0.2872340425531915
3,"=HYPERLINK(""https://stackoverflow.com/q/980932"", ""980932"")",q,5,0.3061465721040189
4,"=HYPERLINK(""https://stackoverflow.com/q/1236439"", ""1236439"")",q,7,0.17222222222222222
5,"=HYPERLINK(""https://stackoverflow.com/q/1258834"", ""1258834"")",q,5,0.23476702508960576
6,"=HYPERLINK(""https://stackoverflow.com/q/2022549"", ""2022549"")",q,7,0.20402298850574707
7,"=HYPERLINK(""https://stackoverflow.com/q/2377082"", ""2377082"")",q,4,0.18095238095238095
8,"=HYPERLINK(""https://stackoverflow.com/q/2566385"", ""2566385"")",q,9,0.18002812939521803
9,"=HYPERLINK(""https://stackoverflow.com/q/2615337"", ""2615337"")",q,9,0.1866666666666667
10,"=HYPERLINK(""https://stackoverflow.com/q/3016015"", ""3016015"")",q,4,0.19633225458468176
11,"=HYPERLINK(""https://stackoverflow.com/q/3578981"", ""3578981"")",q,9,0.38643790849673204
12,"=HYPERLINK(""https://stackoverflow.com/q/3700594"", ""3700594"")",q,5,0.18943533697632065
13,"=HYPERLINK(""https://stackoverflow.com/q/3906522"", ""3906522"")",q,5,0.17761557177615572
14,"=HYPERLINK(""https://stackoverflow.com/q/3990732"", ""3990732"")",q,4,0.1781045751633987
15,"=HYPERLINK(""https://stackoverflow.com/q/4432075"", ""4432075"")",q,9,0.36538461538461536
16,"=HYPERLINK(""https://stackoverflow.com/q/4439797"", ""4439797"")",q,9,0.25679012345679014
17,"=HYPERLINK(""https://stackoverflow.com/q/4556252"", ""4556252"")",q,6,0.17732884399551066
18,"=HYPERLINK(""https://stackoverflow.com/q/4598926"", ""4598926"")",q,5,0.14981273408239704
19,"=HYPERLINK(""https://stackoverflow.com/q/4804623"", ""4804623"")",q,5,0.18333333333333332
20,"=HYPERLINK(""https://stackoverflow.com/q/5552901"", ""5552901"")",q,5,0.24798711755233493
21,"=HYPERLINK(""https://stackoverflow.com/q/6580311"", ""6580311"")",q,1,0.2519083969465649
22,"=HYPERLINK(""https://stackoverflow.com/q/6645196"", ""6645196"")",q,1,0.21933621933621936
23,"=HYPERLINK(""https://stackoverflow.com/q/7048854"", ""7048854"")",q,3,0.18102372034956304
