,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9
Term 1,sql 0.0368,file 0.0665,tabl 0.1005,record 0.0939,script 0.0665,api 0.0732,error 0.0973,page 0.1004,form 0.057,im 0.0622
Term 2,user 0.0359,updat 0.0442,datasourc 0.0498,field 0.0875,server 0.0454,email 0.0442,work 0.0701,button 0.0605,select 0.0502,function 0.0444
Term 3,connect 0.0355,save 0.0332,queri 0.0497,custom 0.0576,project 0.0306,url 0.0371,problem 0.0322,compon 0.0476,item 0.0388,return 0.0374
Term 4,databas 0.0347,imag 0.0285,model 0.0373,id 0.0477,client 0.0304,request 0.0313,method 0.0278,click 0.0375,valu 0.0322,time 0.0289
Term 5,access 0.0314,link 0.0254,filter 0.0336,object 0.0453,document 0.0215,send 0.0302,test 0.0257,event 0.0321,display 0.0309,string 0.0207
Term 6,applic 0.0252,drive 0.0217,relat 0.0332,creat 0.0386,deploy 0.0188,crm 0.0216,run 0.025,open 0.024,properti 0.0299,search 0.0203
Term 7,creat 0.0225,upload 0.0175,row 0.0269,case 0.0336,function 0.0185,respons 0.0215,im 0.0238,load 0.0228,date 0.029,ive 0.0184
Term 8,cloud 0.0222,view 0.0171,widget 0.0254,contact 0.02,requir 0.0173,post 0.0208,class 0.0179,element 0.0169,text 0.0289,result 0.0165
Term 9,store 0.0218,gener 0.0167,bind 0.0226,trigger 0.0162,solut 0.0167,integr 0.0147,fine 0.0172,widget 0.0166,option 0.0289,call 0.0161
Term 10,power 0.0179,attach 0.0154,calcul 0.0176,account 0.0161,manag 0.0164,account 0.0143,make 0.015,html 0.0161,dropdown 0.0277,number 0.0161
Term 11,flow 0.0167,task 0.0153,column 0.0153,delet 0.0159,develop 0.016,json 0.0142,execut 0.015,control 0.0153,screen 0.0257,chang 0.015
Term 12,app 0.0158,edit 0.0146,record 0.0146,insert 0.0159,suggest 0.0151,rest 0.0141,messag 0.0149,javascript 0.0148,variabl 0.0234,write 0.0136
Term 13,group 0.0151,report 0.0142,base 0.0139,valid 0.0132,side 0.015,paramet 0.0139,fail 0.0132,tab 0.0133,sharepoint 0.0221,expect 0.0114
Term 14,servic 0.0145,add 0.0136,key 0.0138,multipl 0.0123,import 0.0144,login 0.0135,check 0.0119,content 0.0125,column 0.019,pass 0.0112
Term 15,entiti 0.0139,point 0.0128,array 0.0134,call 0.0114,question 0.0144,token 0.0132,miss 0.0117,display 0.0114,input 0.0184,convert 0.0098
Term 16,set 0.0139,specif 0.0123,detail 0.0121,lookup 0.0114,find 0.013,web 0.012,give 0.0112,insid 0.0114,box 0.0176,output 0.0096
Term 17,product 0.0123,automat 0.0122,result 0.0115,parent 0.0095,version 0.0129,header 0.0118,add 0.011,action 0.0107,collect 0.0168,note 0.0093
Term 18,instanc 0.0118,folder 0.0121,field 0.0108,assign 0.0092,ive 0.0128,mail 0.0115,fix 0.011,refresh 0.0104,label 0.0159,thing 0.0087
Term 19,admin 0.0114,idea 0.0117,entri 0.0107,question 0.0088,build 0.0116,approv 0.0103,wrong 0.0104,attribut 0.0094,galleri 0.0155,line 0.0087
Term 20,connector 0.0113,check 0.0111,sort 0.009,exist 0.0084,advanc 0.0116,receiv 0.0103,start 0.0103,map 0.0094,chang 0.0147,order 0.0084
Term 21,azur 0.0104,activ 0.011,employe 0.0081,write 0.0081,librari 0.0104,address 0.0102,remov 0.0086,dynam 0.0092,submit 0.0131,simpl 0.0079
Term 22,locat 0.0102,chatter 0.0103,sourc 0.0079,apex 0.0081,answer 0.01,xml 0.0093,unabl 0.0085,style 0.0092,enter 0.012,figur 0.0078
Term 23,support 0.0102,calendar 0.0101,null 0.0079,retriev 0.0079,sheet 0.01,access 0.0092,correct 0.0083,js 0.009,field 0.0118,size 0.0073
Term 24,permiss 0.0102,picker 0.0094,item 0.0078,child 0.0079,refer 0.0099,applic 0.0092,log 0.0079,chang 0.0089,default 0.0114,put 0.0071
Term 25,role 0.0099,team 0.0092,paramet 0.0074,owner 0.0071,read 0.0099,pass 0.0083,site 0.0076,show 0.0087,edit 0.0109,idea 0.007
Term 26,share 0.0099,mode 0.009,creat 0.0071,handl 0.007,app 0.0098,servic 0.0081,read 0.0075,lwc 0.0085,show 0.0098,format 0.0068
Term 27,environ 0.0096,resourc 0.0087,total 0.0071,standard 0.0069,appreci 0.0089,php 0.0078,instal 0.0074,tag 0.0078,formula 0.0096,condit 0.0067
Term 28,microsoft 0.0091,current 0.0083,separ 0.0066,logic 0.0069,export 0.0088,domain 0.0075,line 0.0072,consol 0.0076,popul 0.0093,end 0.0067
Term 29,powerapp 0.0089,pdf 0.0082,order 0.0066,base 0.0067,preview 0.0087,configur 0.0074,consol 0.0072,section 0.0075,drop 0.0087,type 0.0061
Term 30,specif 0.0082,checkbox 0.0078,singl 0.0059,action 0.0067,publish 0.0086,authent 0.0073,properli 0.0069,css 0.0071,navig 0.008,oper 0.006
