,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
Term 1,im 0.0509,record 0.1092,function 0.0694,select 0.0596,api 0.08,access 0.048,form 0.0701,tabl 0.1084,page 0.1157,error 0.1024,sql 0.0426
Term 2,text 0.0351,script 0.0693,click 0.0438,item 0.0521,file 0.0667,applic 0.0429,custom 0.0631,datasourc 0.0537,compon 0.0548,work 0.06,connect 0.0411
Term 3,input 0.0258,field 0.0615,link 0.0334,button 0.0397,email 0.0486,account 0.0326,creat 0.0366,queri 0.0535,widget 0.0387,im 0.0429,databas 0.0401
Term 4,search 0.0251,id 0.0488,button 0.0302,option 0.0396,url 0.0406,project 0.0324,edit 0.036,model 0.0403,event 0.037,run 0.0327,time 0.0321
Term 5,string 0.0233,object 0.0463,open 0.0278,valu 0.0383,request 0.0342,user 0.0276,save 0.0353,column 0.0381,load 0.031,return 0.0292,cloud 0.0257
Term 6,number 0.0229,updat 0.0439,call 0.0242,chang 0.036,send 0.033,servic 0.0244,sharepoint 0.0273,relat 0.0367,imag 0.0293,test 0.027,server 0.0247
Term 7,ive 0.0222,case 0.0337,gener 0.0227,properti 0.0356,crm 0.0235,app 0.0217,inform 0.025,filter 0.0362,element 0.0195,problem 0.027,creat 0.0181
Term 8,result 0.0208,client 0.0315,question 0.0225,dropdown 0.0329,respons 0.0235,develop 0.0214,store 0.0249,date 0.0329,html 0.0185,method 0.0198,task 0.0166
Term 9,label 0.0193,server 0.0247,implement 0.0176,screen 0.0306,post 0.0227,deploy 0.02,drive 0.0231,row 0.0291,javascript 0.017,ive 0.0182,import 0.0164
Term 10,suggest 0.0183,contact 0.0204,find 0.0168,variabl 0.0278,document 0.0193,log 0.0171,collect 0.0207,field 0.028,display 0.0166,fine 0.0179,support 0.0159
Term 11,order 0.017,creat 0.0201,write 0.0157,field 0.0258,paramet 0.0182,web 0.0164,power 0.0202,calcul 0.0189,control 0.0155,array 0.0151,product 0.015
Term 12,appreci 0.0158,class 0.0183,solut 0.0146,action 0.0193,upload 0.0175,group 0.0163,flow 0.0188,bind 0.0165,tab 0.0154,wrong 0.0151,instanc 0.0136
Term 13,figur 0.0128,trigger 0.0165,start 0.014,galleri 0.0185,json 0.0156,login 0.0149,submit 0.0162,display 0.0162,view 0.0131,check 0.0148,provid 0.0116
Term 14,specif 0.0122,delet 0.0164,templat 0.0129,display 0.0164,rest 0.0154,token 0.0145,report 0.0152,base 0.0149,work 0.0122,version 0.0145,note 0.0112
Term 15,sheet 0.011,insert 0.0162,refresh 0.0121,default 0.0142,integr 0.0133,domain 0.0139,powerapp 0.0149,key 0.0148,add 0.012,valid 0.0139,calendar 0.0111
Term 16,express 0.0098,side 0.0156,map 0.0109,show 0.0133,header 0.0129,set 0.013,build 0.0144,sourc 0.0109,attribut 0.0112,fail 0.0138,excel 0.0103
Term 17,export 0.0097,apex 0.0151,document 0.0105,navig 0.0125,mail 0.0125,admin 0.0123,add 0.0143,detail 0.0106,style 0.0106,expect 0.0134,setup 0.0102
Term 18,match 0.009,entiti 0.0123,time 0.0105,box 0.0122,lead 0.0123,manag 0.012,sourc 0.0139,result 0.0105,insid 0.0104,execut 0.0133,requir 0.01
Term 19,box 0.0089,lookup 0.0117,answer 0.0091,formula 0.0114,approv 0.0119,permiss 0.0109,connector 0.0128,sort 0.0097,show 0.0103,correct 0.0132,local 0.0098
Term 20,thing 0.0087,pass 0.0103,refer 0.009,control 0.0113,attach 0.0117,enabl 0.0109,activ 0.0117,widget 0.0088,js 0.0103,line 0.0129,base 0.0085
Term 21,multipl 0.0086,call 0.0103,make 0.009,drop 0.0103,pass 0.0106,share 0.0107,azur 0.0117,employe 0.0077,dynam 0.0103,folder 0.0123,idea 0.0083
Term 22,basic 0.0084,parent 0.0098,achiev 0.0089,popul 0.0099,chatter 0.0103,role 0.0106,locat 0.0116,total 0.0077,content 0.0102,read 0.0121,point 0.0082
Term 23,includ 0.0083,return 0.0089,problem 0.0088,bind 0.0082,xml 0.0102,environ 0.0104,user 0.0114,month 0.0069,consol 0.0099,fix 0.0116,featur 0.0081
Term 24,size 0.0082,method 0.0086,pdf 0.0084,menu 0.0082,messag 0.0088,system 0.01,make 0.0107,entri 0.0061,lwc 0.0098,messag 0.0114,good 0.0077
Term 25,section 0.0081,exist 0.0082,copi 0.0082,checkbox 0.008,php 0.0084,check 0.0095,picker 0.01,join 0.0053,tag 0.009,output 0.0106,solut 0.0077
Term 26,put 0.0079,child 0.008,part 0.0078,visibl 0.0078,receiv 0.0083,publish 0.0094,view 0.0099,refer 0.0053,browser 0.0083,correctli 0.0102,add 0.0075
Term 27,pull 0.0077,chang 0.0079,back 0.0078,choos 0.0076,bodi 0.008,secur 0.0093,mode 0.0097,day 0.0052,css 0.0082,unabl 0.0091,end 0.0067
Term 28,give 0.0077,modifi 0.0077,close 0.0078,base 0.0074,format 0.0077,preview 0.0092,fill 0.0095,count 0.0051,emb 0.0076,miss 0.0075,step 0.0066
Term 29,enter 0.0077,write 0.0076,requir 0.0076,popup 0.0073,creator 0.0075,commun 0.0089,directori 0.0088,paramet 0.005,onclick 0.0075,remov 0.0074,approach 0.0063
Term 30,advanc 0.0076,retriev 0.0063,thing 0.0073,state 0.0069,websit 0.0075,configur 0.0088,idea 0.0085,statu 0.0047,resourc 0.0072,solv 0.0073,pictur 0.0063
