,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13
Term 1,api 0.1002,error 0.1277,page 0.14,select 0.0708,function 0.0905,file 0.0913,script 0.0795,field 0.1303,tabl 0.1349,column 0.0523,record 0.1503,test 0.0363,question 0.0317,email 0.0701
Term 2,url 0.0508,work 0.0686,button 0.0843,item 0.0652,id 0.066,sql 0.0534,server 0.0609,form 0.085,datasourc 0.0668,date 0.0461,updat 0.0595,method 0.0287,solut 0.0198,send 0.0477
Term 3,request 0.0428,im 0.067,compon 0.0663,option 0.0471,object 0.0627,connect 0.0512,access 0.0523,custom 0.0752,queri 0.0667,im 0.0339,case 0.0334,element 0.026,import 0.0195,account 0.0398
Term 4,crm 0.0295,run 0.035,click 0.0528,properti 0.0421,return 0.0543,databas 0.0505,user 0.0487,creat 0.0439,widget 0.055,time 0.0316,multipl 0.03,class 0.0253,gener 0.0186,creat 0.035
Term 5,respons 0.0294,ive 0.0339,event 0.0447,text 0.0408,result 0.0357,cloud 0.0322,project 0.0408,save 0.042,model 0.0501,string 0.0307,action 0.0254,html 0.0239,report 0.0185,contact 0.0297
Term 6,post 0.0284,problem 0.0227,load 0.0335,dropdown 0.0391,search 0.0302,drive 0.0297,client 0.0397,sharepoint 0.033,relat 0.0457,number 0.0299,chang 0.0249,javascript 0.0229,im 0.0185,messag 0.0289
Term 7,paramet 0.0202,fine 0.0226,open 0.0334,valu 0.0367,write 0.0288,servic 0.0256,applic 0.0383,store 0.0302,filter 0.045,base 0.0265,trigger 0.0225,control 0.0217,product 0.0174,address 0.0207
Term 8,integr 0.02,wrong 0.0195,link 0.0288,screen 0.0363,call 0.025,upload 0.0239,app 0.0307,collect 0.0251,row 0.0361,start 0.0185,delet 0.0223,work 0.0214,answer 0.0174,receiv 0.0194
Term 9,json 0.0195,version 0.0193,view 0.021,imag 0.0347,line 0.0226,creat 0.0172,deploy 0.0253,power 0.0245,bind 0.0299,order 0.0152,insert 0.0219,insid 0.021,manag 0.0166,configur 0.019
Term 10,rest 0.0193,execut 0.0187,edit 0.0191,variabl 0.033,array 0.0198,instanc 0.0172,develop 0.0231,edit 0.0238,key 0.0186,day 0.0134,attach 0.0208,apex 0.0208,ui 0.0144,templat 0.0181
Term 11,login 0.0185,valid 0.0173,tab 0.0186,display 0.0317,entiti 0.0198,folder 0.0165,log 0.0216,flow 0.0227,field 0.0179,formula 0.0129,task 0.0206,web 0.019,build 0.014,mail 0.0181
Term 12,token 0.0181,fail 0.0171,detail 0.0152,box 0.0248,retriev 0.0162,azur 0.0151,group 0.0205,inform 0.0214,sourc 0.0151,note 0.0126,add 0.0184,add 0.0169,point 0.0136,approv 0.0171
Term 13,document 0.0167,check 0.0144,display 0.0132,chang 0.0228,pass 0.0159,excel 0.013,side 0.02,submit 0.0194,calcul 0.0147,includ 0.0111,time 0.0175,commun 0.0166,sheet 0.0134,work 0.0136
Term 14,header 0.0161,librari 0.0139,calendar 0.0127,label 0.0225,expect 0.0144,picker 0.0129,set 0.018,powerapp 0.0181,display 0.0147,leav 0.0111,check 0.0171,style 0.0142,understand 0.0133,case 0.0134
Term 15,applic 0.0156,unabl 0.0135,show 0.0115,show 0.0223,map 0.0142,export 0.0126,domain 0.0175,connector 0.0152,base 0.0127,express 0.0108,automat 0.0164,js 0.0138,limit 0.013,mode 0.0132
Term 16,lead 0.0151,output 0.0131,onclick 0.0096,galleri 0.0219,put 0.0141,team 0.0126,admin 0.0155,lookup 0.0152,sort 0.0119,total 0.0108,refresh 0.0156,lwc 0.0131,implement 0.0129,problem 0.0116
Term 17,method 0.0132,correctli 0.0128,visibl 0.0095,input 0.0219,defin 0.0119,local 0.0124,permiss 0.0138,sourc 0.0151,relationship 0.0104,separ 0.0107,activ 0.0148,resourc 0.0128,basic 0.0128,step 0.0111
Term 18,chatter 0.0129,miss 0.0125,popup 0.0089,dynam 0.016,match 0.0115,document 0.0116,role 0.0135,fill 0.0115,script 0.0092,condit 0.01,exist 0.0148,tag 0.012,read 0.0125,owner 0.0107
Term 19,xml 0.0127,read 0.0121,consol 0.0085,default 0.0142,simpl 0.0109,microsoft 0.0104,share 0.012,requir 0.0114,paramet 0.0088,calcul 0.01,parent 0.0132,pdf 0.0112,employe 0.0115,gener 0.0101
Term 20,pass 0.0126,fix 0.0116,copi 0.0084,control 0.0126,attempt 0.0106,idea 0.0101,publish 0.0119,entri 0.0109,chart 0.0078,valu 0.01,process 0.0132,css 0.011,support 0.01,set 0.01
Term 21,web 0.0113,refer 0.0107,hide 0.0081,drop 0.0122,specif 0.0103,support 0.0094,secur 0.0118,locat 0.0102,join 0.0066,problem 0.0097,handl 0.0124,browser 0.0107,find 0.01,person 0.0093
Term 22,php 0.0107,correct 0.0101,section 0.0081,suggest 0.0117,attribut 0.0101,spreadsheet 0.009,preview 0.0116,refer 0.0096,refer 0.0064,month 0.0097,assign 0.0121,mobil 0.0103,approach 0.01,comment 0.0093
Term 23,authent 0.01,instal 0.0092,navig 0.0079,popul 0.0107,give 0.0093,password 0.0085,directori 0.0106,back 0.0095,manual 0.0061,depend 0.0093,call 0.0111,emb 0.0101,document 0.0099,achiev 0.0089
Term 24,redirect 0.0097,invalid 0.0085,icon 0.0077,choos 0.0084,type 0.0088,content 0.0079,requir 0.0104,enter 0.009,reload 0.0058,convert 0.0086,child 0.0109,problem 0.0098,good 0.0098,statu 0.0088
Term 25,creator 0.0093,throw 0.0085,layout 0.0066,textbox 0.0084,fetch 0.0086,specif 0.0078,environ 0.0091,list 0.0084,multiselect 0.0052,format 0.0084,checkbox 0.0105,implement 0.0095,similar 0.0097,default 0.0087
Term 26,call 0.0093,properli 0.0081,panel 0.0065,enter 0.0084,figur 0.0081,csv 0.0077,enabl 0.009,idea 0.008,grid 0.0052,statement 0.0084,singl 0.0103,org 0.0092,featur 0.0096,manual 0.0086
Term 27,http 0.0092,print 0.0079,visualforc 0.0064,titl 0.008,uniqu 0.0079,download 0.0074,advanc 0.009,onlin 0.0072,student 0.0051,hour 0.0076,make 0.0095,suggest 0.009,provid 0.0094,rule 0.0084
Term 28,access 0.0088,debug 0.0077,vf 0.0062,color 0.0072,replac 0.0074,mysql 0.0073,mention 0.0085,pictur 0.0072,show 0.0051,complet 0.0072,perform 0.0093,render 0.0089,system 0.0091,provid 0.0083
Term 29,modul 0.0082,remov 0.0073,content 0.006,navig 0.0071,structur 0.0066,db 0.0067,run 0.0077,build 0.0066,appli 0.005,figur 0.0071,logic 0.0082,extern 0.0089,inform 0.0089,workflow 0.0082
Term 30,format 0.0081,command 0.0071,fragment 0.006,radio 0.0057,pull 0.0066,move 0.0066,includ 0.0073,card 0.0064,result 0.0049,book 0.0071,clear 0.0081,extens 0.0082,tool 0.0089,chang 0.0074
