,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16
Term 1,object 0.0802,script 0.1141,button 0.1088,api 0.1202,access 0.0516,compon 0.0904,select 0.0832,record 0.1561,page 0.1842,work 0.0608,im 0.1437,case 0.0574,field 0.1937,item 0.0806,file 0.1111,applic 0.0574,error 0.1617
Term 2,updat 0.076,function 0.1083,form 0.1056,url 0.0609,connect 0.0509,imag 0.0483,widget 0.0703,tabl 0.1536,load 0.0495,web 0.0384,time 0.0618,store 0.0388,custom 0.0993,column 0.0587,project 0.0536,develop 0.028,email 0.0783
Term 3,method 0.0541,server 0.0779,edit 0.0542,request 0.051,databas 0.0497,event 0.0436,option 0.0584,queri 0.076,open 0.044,string 0.0374,ive 0.0611,view 0.0378,id 0.0808,filter 0.0558,document 0.0418,manag 0.0265,send 0.0526
Term 4,test 0.0455,return 0.0576,save 0.053,crm 0.0354,account 0.0435,element 0.0321,date 0.051,datasourc 0.0651,link 0.0395,servic 0.026,variabl 0.0425,creat 0.0259,input 0.0411,screen 0.0449,drive 0.0362,product 0.0228,messag 0.0323
Term 5,contact 0.0353,client 0.0521,creat 0.042,respons 0.0353,user 0.0429,html 0.0305,dropdown 0.0487,model 0.0571,click 0.0338,version 0.0249,flow 0.0278,task 0.0254,requir 0.0331,sharepoint 0.0386,upload 0.0292,specif 0.0224,work 0.0261
Term 6,write 0.0349,run 0.0462,click 0.035,post 0.0339,sql 0.0397,javascript 0.0282,bind 0.0378,relat 0.052,display 0.0256,suggest 0.0247,problem 0.0226,entiti 0.0244,check 0.0267,search 0.0364,import 0.0249,build 0.0216,address 0.022
Term 7,class 0.0317,call 0.0359,action 0.0302,paramet 0.0292,app 0.0365,commun 0.0205,valu 0.0293,row 0.0412,tab 0.0245,implement 0.0212,templat 0.0196,report 0.0237,number 0.0253,text 0.0312,attach 0.0244,gener 0.0213,fail 0.022
Term 8,dynam 0.0293,side 0.0256,chang 0.0288,json 0.0234,cloud 0.0317,control 0.0201,label 0.028,calcul 0.0268,work 0.0243,part 0.0208,approv 0.0186,assign 0.0234,valid 0.0228,collect 0.0293,folder 0.0201,question 0.0181,receiv 0.0217
Term 9,line 0.0288,execut 0.0252,submit 0.0244,rest 0.0232,deploy 0.0267,insid 0.0185,box 0.0265,delet 0.0227,detail 0.0229,basic 0.0199,make 0.0184,add 0.0215,refer 0.0149,sourc 0.0291,librari 0.0182,understand 0.0171,mail 0.0202
Term 10,trigger 0.0288,result 0.02,inform 0.0231,token 0.0217,power 0.0256,style 0.0175,display 0.0262,key 0.0211,refresh 0.0188,start 0.0192,idea 0.0162,order 0.0195,null 0.0146,properti 0.0274,sheet 0.0175,chatter 0.017,configur 0.0155
Term 11,insert 0.0281,expect 0.0193,default 0.0218,header 0.0192,group 0.0217,attribut 0.0174,properti 0.0251,sql 0.0134,browser 0.0185,gener 0.0187,solut 0.0148,activ 0.0183,valu 0.0137,galleri 0.0271,problem 0.0169,integr 0.0151,directori 0.0134
Term 12,apex 0.0262,enabl 0.0172,entri 0.0184,lead 0.0183,set 0.0169,calendar 0.0173,chang 0.0208,sort 0.0134,consol 0.0171,map 0.0177,wrong 0.0136,limit 0.0166,lookup 0.0131,display 0.0239,excel 0.0156,system 0.0146,instal 0.0123
Term 13,array 0.0254,output 0.017,locat 0.0171,pass 0.0165,instanc 0.0169,js 0.0171,text 0.0193,exist 0.0119,copi 0.013,parent 0.0162,automat 0.0131,achiev 0.0152,checkbox 0.0128,multipl 0.0216,team 0.0154,point 0.0139,invalid 0.0107
Term 14,chang 0.0177,read 0.0158,enter 0.0159,xml 0.0153,admin 0.0163,lwc 0.0162,event 0.0156,total 0.0109,close 0.0123,advanc 0.0157,find 0.0129,statu 0.0141,uniqu 0.01,result 0.0177,export 0.0153,link 0.0134,throw 0.0107
Term 15,call 0.0151,work 0.0154,mode 0.0147,access 0.0146,connector 0.0162,tag 0.0148,drop 0.0152,creat 0.0103,emb 0.0121,simpl 0.0141,thing 0.0128,multipl 0.0132,match 0.0098,formula 0.0167,convert 0.0142,mobil 0.0124,wrong 0.0105
Term 16,modifi 0.013,comment 0.0107,employe 0.0144,retriev 0.0142,azur 0.0148,resourc 0.0147,base 0.0127,result 0.0091,menu 0.0119,make 0.0138,end 0.0124,similar 0.0128,true 0.0087,list 0.015,pdf 0.0136,pull 0.0121,miss 0.0097
Term 17,give 0.0128,log 0.01,fill 0.0142,php 0.0126,permiss 0.0145,css 0.0136,datasourc 0.0121,number 0.0086,window 0.0115,child 0.0135,answer 0.0122,owner 0.0124,duplic 0.0087,valu 0.0148,sampl 0.0129,inform 0.0117,packag 0.0092
Term 18,figur 0.0109,refer 0.0097,remov 0.0141,redirect 0.0118,role 0.0142,show 0.0127,show 0.0116,relationship 0.0081,show 0.0101,problem 0.0135,question 0.0122,process 0.0122,note 0.0078,express 0.0141,find 0.0127,provid 0.0115,correct 0.0087
Term 19,control 0.0101,creat 0.0089,add 0.0138,creator 0.0111,environ 0.0139,org 0.0114,choos 0.0111,join 0.0076,color 0.0097,site 0.0129,add 0.0107,support 0.0116,statement 0.0077,control 0.0127,picker 0.0119,tool 0.0115,command 0.0086
Term 20,fetch 0.0088,consol 0.0089,manual 0.0137,http 0.011,domain 0.0127,render 0.0109,month 0.0107,count 0.0072,print 0.0095,fine 0.0127,oper 0.01,chart 0.0106,combin 0.0077,powerapp 0.0124,refer 0.0113,platform 0.0112,check 0.0082
Term 21,creat 0.0087,undefin 0.0089,back 0.0122,integr 0.0104,publish 0.0125,extern 0.0107,textbox 0.0105,order 0.0063,content 0.0094,back 0.0119,global 0.0084,check 0.0104,identifi 0.0074,show 0.0122,spreadsheet 0.011,compani 0.0107,fine 0.0082
Term 22,read 0.0076,ui 0.0079,popup 0.0114,login 0.0102,secur 0.012,fix 0.0103,current 0.01,sourc 0.0055,builder 0.0091,type 0.0112,hour 0.0081,question 0.0098,index 0.0074,singl 0.012,structur 0.011,person 0.0104,setup 0.0081
Term 23,insid 0.0075,debug 0.007,set 0.011,format 0.0101,servic 0.0118,add 0.0101,suggest 0.0099,paramet 0.0054,ifram 0.0086,thing 0.0097,ms 0.008,day 0.0097,bite 0.0072,condit 0.011,content 0.0101,peopl 0.01,fix 0.0078
