,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4
Term 1,email 0.0231,record 0.0458,field 0.0507,page 0.0532,api 0.0378
Term 2,access 0.0228,function 0.032,tabl 0.0485,button 0.0321,script 0.033
Term 3,applic 0.0202,error 0.0307,select 0.0254,form 0.0311,file 0.0315
Term 4,sql 0.0186,im 0.0278,datasourc 0.024,custom 0.0209,url 0.0191
Term 5,user 0.0181,compon 0.0254,queri 0.024,click 0.0201,request 0.0161
Term 6,connect 0.018,object 0.0222,item 0.0234,chang 0.0173,project 0.0152
Term 7,databas 0.0175,id 0.0195,widget 0.0204,event 0.017,client 0.0151
Term 8,error 0.017,return 0.0192,model 0.018,edit 0.016,document 0.0139
Term 9,send 0.0157,time 0.0156,column 0.017,save 0.0157,run 0.0123
Term 10,account 0.0153,method 0.015,option 0.0169,add 0.0155,server 0.0114
Term 11,creat 0.0136,call 0.0145,relat 0.0164,link 0.0152,respons 0.0111
Term 12,app 0.0129,case 0.0135,valu 0.0163,load 0.0143,web 0.0108
Term 13,servic 0.0116,variabl 0.0128,filter 0.0162,screen 0.0141,post 0.0106
Term 14,cloud 0.0112,crm 0.0112,display 0.0153,imag 0.0135,ive 0.0104
Term 15,server 0.0112,write 0.0109,date 0.0147,creat 0.0131,drive 0.0102
Term 16,develop 0.0101,pass 0.0107,dropdown 0.014,open 0.0127,paramet 0.0098
Term 17,messag 0.0095,contact 0.0098,text 0.0133,updat 0.0125,work 0.0096
Term 18,deploy 0.0094,test 0.0095,base 0.0133,work 0.0108,element 0.009
Term 19,set 0.0093,work 0.009,row 0.013,view 0.0108,html 0.0085
Term 20,power 0.009,class 0.0088,result 0.0109,show 0.0098,implement 0.0083
Term 21,flow 0.0084,updat 0.0084,bind 0.0109,properti 0.0097,upload 0.0082
Term 22,manag 0.0081,line 0.008,search 0.0106,control 0.0095,problem 0.0081
Term 23,log 0.0081,trigger 0.0079,sourc 0.0106,detail 0.009,javascript 0.0079
Term 24,work 0.008,delet 0.0079,input 0.0101,action 0.0089,integr 0.0076
Term 25,group 0.0077,insert 0.0078,number 0.0091,default 0.0088,consol 0.0075
Term 26,custom 0.0072,start 0.0074,box 0.0089,inform 0.0076,im 0.0075
Term 27,login 0.007,wrong 0.0073,collect 0.0085,sharepoint 0.0074,gener 0.0074
Term 28,step 0.007,expect 0.0073,calcul 0.0085,task 0.0072,json 0.0073
Term 29,support 0.007,apex 0.0072,label 0.0081,submit 0.0072,rest 0.0073
Term 30,address 0.0068,creat 0.0071,galleri 0.0079,tab 0.0071,version 0.0073
