,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
Term 1,form 0.0382,page 0.0652,tabl 0.0575,record 0.0632,error 0.0453,api 0.0452
Term 2,email 0.0281,button 0.0393,select 0.0301,field 0.0453,script 0.0389,access 0.0271
Term 3,creat 0.0241,compon 0.0309,datasourc 0.0285,id 0.0275,im 0.0379,applic 0.024
Term 4,sql 0.0227,click 0.0246,queri 0.0284,object 0.0261,function 0.0375,url 0.0229
Term 5,connect 0.0218,event 0.0209,item 0.0277,updat 0.0248,file 0.0371,custom 0.0205
Term 6,databas 0.0213,work 0.0179,model 0.0214,case 0.0194,ive 0.0199,request 0.0193
Term 7,save 0.0192,load 0.0175,column 0.0202,date 0.0188,run 0.0187,account 0.0182
Term 8,send 0.0191,open 0.0156,option 0.02,creat 0.0167,project 0.0179,document 0.0166
Term 9,user 0.0188,widget 0.0156,relat 0.0195,variabl 0.0152,client 0.0178,imag 0.0161
Term 10,edit 0.0151,control 0.0151,valu 0.0193,return 0.0143,time 0.0165,servic 0.0138
Term 11,sharepoint 0.0148,chang 0.0125,filter 0.0192,call 0.0143,server 0.0165,crm 0.0133
Term 12,set 0.014,element 0.011,display 0.0187,string 0.0125,app 0.0151,respons 0.0133
Term 13,cloud 0.0137,class 0.0107,field 0.0181,chang 0.0123,work 0.0139,paramet 0.0132
Term 14,im 0.0137,html 0.0104,text 0.0173,trigger 0.0094,problem 0.0137,post 0.0128
Term 15,inform 0.0137,properti 0.0101,dropdown 0.0166,delet 0.0093,drive 0.0121,web 0.0123
Term 16,work 0.0132,add 0.0099,row 0.0154,insert 0.0092,find 0.0119,develop 0.012
Term 17,messag 0.0116,dynam 0.0099,screen 0.0151,attach 0.0086,read 0.0107,contact 0.0116
Term 18,error 0.0111,custom 0.0096,result 0.013,task 0.0085,side 0.0088,deploy 0.0112
Term 19,power 0.0109,javascript 0.0096,bind 0.0129,entiti 0.0083,start 0.0087,upload 0.0099
Term 20,default 0.0108,show 0.0096,input 0.0127,array 0.0083,execut 0.0086,integr 0.0091
Term 21,server 0.0105,test 0.0094,search 0.0126,exist 0.0082,version 0.0086,json 0.0088
Term 22,store 0.0105,insid 0.0088,sourc 0.0126,report 0.008,import 0.0084,rest 0.0087
Term 23,flow 0.0103,apex 0.0088,base 0.0122,assign 0.0079,return 0.0083,link 0.0084
Term 24,group 0.0093,tab 0.0087,box 0.0106,write 0.0079,solut 0.0083,login 0.0083
Term 25,problem 0.0091,content 0.0081,widget 0.0103,valid 0.0076,wrong 0.0066,requir 0.0083
Term 26,submit 0.0088,link 0.0079,collect 0.0101,pass 0.0076,refer 0.0066,method 0.0082
Term 27,check 0.0088,display 0.0074,calcul 0.01,multipl 0.0076,complet 0.0063,token 0.0082
Term 28,address 0.0083,action 0.0068,label 0.0096,add 0.0075,simpl 0.0061,domain 0.0078
Term 29,powerapp 0.0081,refresh 0.0067,galleri 0.0093,number 0.0074,librari 0.0061,header 0.0073
Term 30,configur 0.0079,view 0.0066,properti 0.0089,check 0.0072,convert 0.0059,retriev 0.0068
