,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
Term 1,button 0.041,page 0.0771,api 0.0551,error 0.0671,field 0.07,access 0.0313,custom 0.0402
Term 2,form 0.0397,file 0.0455,url 0.028,script 0.0466,tabl 0.067,applic 0.0277,compon 0.0362
Term 3,select 0.035,work 0.0275,im 0.0264,function 0.0443,record 0.0495,user 0.0249,object 0.0316
Term 4,item 0.0322,link 0.0221,request 0.0235,im 0.0356,datasourc 0.0332,connect 0.0247,case 0.0235
Term 5,widget 0.0282,load 0.0207,imag 0.0196,email 0.0324,queri 0.0331,databas 0.0241,id 0.0216
Term 6,option 0.0233,document 0.02,crm 0.0162,server 0.0318,model 0.0249,account 0.021,record 0.021
Term 7,display 0.0223,open 0.0184,respons 0.0162,ive 0.026,column 0.0235,sql 0.0185,event 0.0178
Term 8,properti 0.0209,web 0.0156,paramet 0.0161,work 0.0254,relat 0.0227,app 0.0177,creat 0.0168
Term 9,chang 0.0209,drive 0.0148,updat 0.0158,run 0.0224,filter 0.0224,servic 0.0159,write 0.0153
Term 10,text 0.0202,html 0.0123,post 0.0156,send 0.0221,date 0.0203,cloud 0.0154,method 0.0146
Term 11,save 0.0199,add 0.012,inform 0.0155,project 0.0214,row 0.018,develop 0.0139,contact 0.0139
Term 12,dropdown 0.0194,upload 0.0119,view 0.014,client 0.0213,result 0.0161,deploy 0.0129,call 0.0138
Term 13,edit 0.019,javascript 0.0114,pass 0.0124,problem 0.0184,search 0.0147,set 0.0124,control 0.0137
Term 14,click 0.0183,consol 0.0109,integr 0.011,messag 0.0134,sourc 0.0147,power 0.0124,element 0.0129
Term 15,screen 0.018,gener 0.0108,json 0.0107,return 0.0125,base 0.0142,creat 0.0116,test 0.0126
Term 16,variabl 0.0163,version 0.0104,rest 0.0106,time 0.0121,number 0.0132,flow 0.0115,class 0.0125
Term 17,sharepoint 0.0155,import 0.0103,attach 0.0106,execut 0.0103,updat 0.0128,log 0.0107,add 0.0121
Term 18,input 0.0148,tab 0.0103,question 0.0103,side 0.0103,calcul 0.0117,group 0.0104,trigger 0.0113
Term 19,show 0.0145,time 0.0099,make 0.01,creat 0.0099,id 0.0104,manag 0.0101,delet 0.0112
Term 20,valu 0.0125,content 0.0096,build 0.0095,address 0.0096,valu 0.01,token 0.0094,insert 0.0111
Term 21,box 0.0123,idea 0.009,return 0.0091,wrong 0.0092,key 0.0092,login 0.0094,task 0.0104
Term 22,bind 0.012,browser 0.0089,end 0.009,read 0.0092,creat 0.0085,product 0.009,apex 0.0103
Term 23,label 0.0111,problem 0.0086,header 0.0089,fail 0.0091,display 0.0072,domain 0.0089,array 0.01
Term 24,galleri 0.0108,templat 0.0086,part 0.0087,receiv 0.009,entri 0.0072,configur 0.0089,entiti 0.01
Term 25,submit 0.0092,click 0.0084,format 0.0087,success 0.0085,lookup 0.0071,instanc 0.0082,multipl 0.0088
Term 26,enter 0.0083,folder 0.0082,valid 0.0085,mail 0.0084,formula 0.0067,check 0.0081,action 0.0087
Term 27,default 0.0078,approv 0.0081,retriev 0.0083,expect 0.0079,string 0.0066,commun 0.0081,assign 0.0087
Term 28,detail 0.0075,excel 0.008,basic 0.0082,fix 0.0074,sql 0.0066,admin 0.0079,dynam 0.0084
Term 29,navig 0.0073,solut 0.0077,answer 0.0081,line 0.0071,store 0.0065,connector 0.0078,lead 0.0083
Term 30,collect 0.0073,librari 0.0074,check 0.008,complet 0.007,order 0.0065,provid 0.0075,activ 0.0075
