,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
Term 1,record 0.084,api 0.0602,error 0.0528,form 0.0486,sql 0.0296,page 0.0808,email 0.0376,im 0.0627
Term 2,field 0.0649,compon 0.0403,script 0.0526,item 0.0393,applic 0.0289,tabl 0.0624,access 0.0372,queri 0.0399
Term 3,id 0.0366,url 0.0305,file 0.0502,column 0.0287,databas 0.0279,button 0.0452,user 0.0294,model 0.03
Term 4,object 0.0348,custom 0.0281,function 0.0491,select 0.0283,app 0.0205,datasourc 0.0394,connect 0.0292,return 0.0294
Term 5,updat 0.0329,request 0.0257,work 0.0283,valu 0.0275,time 0.0183,widget 0.0335,send 0.0256,result 0.0219
Term 6,creat 0.0296,method 0.0238,run 0.0253,text 0.0247,cloud 0.0178,click 0.0305,account 0.0248,ive 0.0193
Term 7,relat 0.028,test 0.0185,client 0.024,save 0.0245,deploy 0.015,event 0.0258,error 0.0236,string 0.0163
Term 8,case 0.0258,crm 0.0177,server 0.0201,dropdown 0.0237,question 0.0148,row 0.0213,project 0.0226,number 0.0159
Term 9,date 0.025,respons 0.0177,document 0.0165,screen 0.0219,gener 0.0138,option 0.0203,creat 0.0181,tabl 0.0157
Term 10,custom 0.0161,web 0.0172,drive 0.0163,imag 0.0208,build 0.0131,bind 0.0178,server 0.0162,calcul 0.0141
Term 11,contact 0.0153,post 0.0171,problem 0.0145,field 0.0208,link 0.0129,display 0.0169,messag 0.0152,search 0.0128
Term 12,chang 0.0131,class 0.0139,element 0.0143,variabl 0.02,develop 0.0127,chang 0.0169,set 0.0151,order 0.0116
Term 13,delet 0.0123,integr 0.0121,html 0.0136,sharepoint 0.0189,solut 0.0121,load 0.0161,power 0.0147,time 0.0113
Term 14,trigger 0.0123,json 0.0117,upload 0.0132,display 0.0186,import 0.0114,edit 0.0158,flow 0.0137,work 0.011
Term 15,insert 0.0122,rest 0.0116,javascript 0.0126,input 0.0181,requir 0.0113,show 0.0143,group 0.0125,array 0.0108
Term 16,task 0.0112,apex 0.0115,side 0.0119,control 0.0176,servic 0.0104,select 0.0142,work 0.0121,figur 0.0091
Term 17,entiti 0.011,tab 0.0113,execut 0.0117,filter 0.0168,product 0.0104,view 0.0138,login 0.0114,note 0.009
Term 18,key 0.0108,token 0.0109,consol 0.0112,box 0.015,answer 0.0103,label 0.0132,step 0.0113,expect 0.0088
Term 19,report 0.0107,pass 0.0107,fine 0.0098,properti 0.0148,suggest 0.0093,open 0.0127,address 0.0111,write 0.0087
Term 20,assign 0.0104,call 0.0101,ive 0.0094,collect 0.0143,idea 0.0093,properti 0.0105,log 0.0111,simpl 0.0086
Term 21,check 0.0101,browser 0.0098,add 0.0091,sourc 0.0138,instanc 0.0092,dynam 0.0103,problem 0.0109,call 0.0084
Term 22,add 0.0101,paramet 0.0097,folder 0.0091,store 0.0136,manag 0.0091,filter 0.0094,domain 0.0106,multipl 0.008
Term 23,current 0.009,header 0.0097,find 0.0087,galleri 0.0133,point 0.0089,refresh 0.0083,receiv 0.0104,singl 0.0079
Term 24,approv 0.0088,commun 0.0093,librari 0.0082,submit 0.0111,includ 0.0088,style 0.0074,configur 0.0103,put 0.0077
Term 25,activ 0.0082,lead 0.0092,version 0.0082,excel 0.0091,understand 0.0087,detail 0.0072,mail 0.0097,output 0.0076
Term 26,base 0.0081,link 0.0087,refer 0.0079,show 0.0091,specif 0.0085,drop 0.0072,admin 0.0094,paramet 0.0075
Term 27,action 0.0079,retriev 0.0084,map 0.0079,navig 0.009,make 0.0083,add 0.0071,connector 0.0092,advanc 0.0071
Term 28,manual 0.0077,work 0.0079,js 0.0076,enter 0.0088,start 0.0082,sort 0.0071,enabl 0.0085,correct 0.007
Term 29,calendar 0.0076,chatter 0.0077,read 0.0074,entri 0.0088,sheet 0.0079,suggest 0.0064,azur 0.0085,wrong 0.0069
Term 30,attribut 0.0076,xml 0.0076,picker 0.0071,edit 0.0087,environ 0.0076,refer 0.0061,permiss 0.0084,employe 0.0065
