,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
Term 1,script 0.0571,access 0.0363,field 0.0957,file 0.0568,page 0.0953,queri 0.0463,tabl 0.0704,api 0.0693,error 0.0888
Term 2,function 0.0546,applic 0.0354,record 0.0933,custom 0.0507,button 0.0573,model 0.0348,select 0.0456,object 0.0404,work 0.0522
Term 3,im 0.0378,sql 0.0327,form 0.0545,project 0.0274,compon 0.0451,filter 0.0312,datasourc 0.0431,url 0.0351,email 0.0429
Term 4,time 0.0325,user 0.0318,id 0.0406,imag 0.0243,click 0.036,date 0.0284,item 0.042,request 0.0296,im 0.0402
Term 5,server 0.0289,connect 0.0315,creat 0.0404,web 0.0189,event 0.0303,result 0.0258,widget 0.0364,method 0.0273,send 0.0292
Term 6,client 0.0261,databas 0.0307,updat 0.0366,drive 0.0185,open 0.0228,variabl 0.0229,display 0.0311,return 0.0212,problem 0.0275
Term 7,load 0.0197,account 0.0269,edit 0.028,document 0.0165,control 0.0221,search 0.0205,column 0.0306,crm 0.0204,ive 0.0186
Term 8,run 0.0154,servic 0.0203,save 0.0275,power 0.0162,view 0.0183,string 0.0189,option 0.0303,respons 0.0203,messag 0.0177
Term 9,ive 0.0146,cloud 0.0197,case 0.0242,flow 0.015,element 0.016,number 0.0184,properti 0.0273,pass 0.0196,fine 0.0156
Term 10,solut 0.0144,creat 0.0187,sharepoint 0.0212,upload 0.0149,action 0.0159,tabl 0.0179,text 0.0263,post 0.0196,wrong 0.0136
Term 11,side 0.0129,deploy 0.0165,relat 0.0156,build 0.0145,add 0.0154,base 0.017,dropdown 0.0252,test 0.0194,check 0.0133
Term 12,thing 0.0128,develop 0.0154,store 0.0137,attach 0.0132,html 0.0152,calcul 0.0163,valu 0.0238,contact 0.0178,run 0.013
Term 13,call 0.0124,group 0.0134,inform 0.0133,import 0.0128,javascript 0.0141,return 0.0135,screen 0.0234,paramet 0.0163,address 0.0127
Term 14,make 0.012,set 0.0132,key 0.0125,app 0.0128,tab 0.0127,task 0.0129,row 0.0233,class 0.016,fail 0.0121
Term 15,chang 0.0114,log 0.0128,submit 0.0124,delet 0.0118,consol 0.0117,entiti 0.0125,bind 0.0196,json 0.0135,receiv 0.0119
Term 16,basic 0.011,login 0.0123,insert 0.011,folder 0.0103,show 0.0106,multipl 0.0122,box 0.016,rest 0.0134,valid 0.0118
Term 17,gener 0.0107,step 0.0121,product 0.011,connector 0.01,work 0.0105,assign 0.0105,collect 0.0153,apex 0.0132,correct 0.0114
Term 18,line 0.0096,domain 0.0113,specif 0.0107,azur 0.0094,content 0.01,formula 0.0093,relat 0.0147,call 0.0129,templat 0.0111
Term 19,point 0.0095,instanc 0.0104,entri 0.0098,librari 0.0093,link 0.0096,order 0.0092,label 0.0145,array 0.0128,mail 0.0111
Term 20,ui 0.0091,admin 0.0101,lookup 0.0098,link 0.008,refresh 0.0093,singl 0.0092,galleri 0.0141,header 0.011,approv 0.0105
Term 21,activ 0.0089,app 0.0101,link 0.0095,picker 0.008,map 0.0089,day 0.0082,show 0.0135,write 0.0107,fix 0.01
Term 22,execut 0.0087,server 0.0099,question 0.0091,resourc 0.008,insid 0.0087,express 0.0079,sourc 0.0131,lead 0.0106,find 0.0096
Term 23,report 0.0086,support 0.0093,manual 0.0089,idea 0.008,calendar 0.0086,input 0.0077,input 0.0122,retriev 0.0105,correctli 0.0089
Term 24,sheet 0.0086,enabl 0.0092,parent 0.0079,local 0.0077,js 0.0085,employe 0.0076,suggest 0.0093,trigger 0.0102,document 0.0089
Term 25,find 0.0086,permiss 0.009,mode 0.0076,manag 0.0076,chang 0.0082,leav 0.0072,detail 0.0091,fetch 0.0089,read 0.0084
Term 26,style 0.0085,role 0.0088,fill 0.0074,team 0.0075,lwc 0.0081,statu 0.0071,chang 0.009,xml 0.0088,version 0.0083
Term 27,idea 0.0084,chatter 0.0086,add 0.0072,pdf 0.007,attribut 0.008,write 0.0068,drop 0.0079,token 0.0083,miss 0.0083
Term 28,limit 0.0083,environ 0.0086,relationship 0.007,site 0.0067,display 0.0077,separ 0.0067,sort 0.0078,format 0.0079,expect 0.0082
Term 29,export 0.0076,extern 0.0081,chang 0.0068,sampl 0.0067,tag 0.0074,total 0.0066,dynam 0.0072,integr 0.0078,output 0.0077
Term 30,problem 0.0075,share 0.0078,back 0.0068,mobil 0.0064,reason 0.0068,match 0.0063,popul 0.0067,php 0.0074,null 0.0077
