,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
Term 1,compon 0.0677,form 0.0623,date 0.0465,widget 0.0378,tabl 0.096,email 0.0502,script 0.0589,applic 0.0271,api 0.0658,file 0.0797,page 0.1056,record 0.084
Term 2,error 0.0275,item 0.0358,imag 0.0272,select 0.0322,queri 0.0489,connect 0.0293,function 0.0369,api 0.0261,request 0.0386,drive 0.0278,button 0.0592,field 0.0554
Term 3,class 0.0234,sharepoint 0.0285,im 0.0193,field 0.0309,datasourc 0.0461,databas 0.0231,error 0.0336,access 0.0228,url 0.0338,flow 0.0227,click 0.0434,object 0.0401
Term 4,element 0.022,screen 0.027,time 0.0179,option 0.029,record 0.0373,sql 0.0227,im 0.0299,login 0.0157,error 0.0288,upload 0.0227,open 0.025,updat 0.0316
Term 5,html 0.0215,column 0.0249,product 0.0158,text 0.027,model 0.0345,send 0.0227,server 0.0271,token 0.0153,respons 0.0279,power 0.022,link 0.0186,id 0.0243
Term 6,control 0.0196,field 0.0241,style 0.0148,dropdown 0.0268,relat 0.028,cloud 0.0214,client 0.0231,servic 0.014,crm 0.0241,import 0.0191,custom 0.0177,case 0.0241
Term 7,test 0.0192,collect 0.0216,calendar 0.0146,valu 0.0258,row 0.0244,deploy 0.0204,ive 0.0209,web 0.0139,json 0.0185,app 0.0178,tab 0.0166,custom 0.0235
Term 8,work 0.0174,galleri 0.02,display 0.0131,variabl 0.0244,filter 0.0237,user 0.0197,run 0.0178,project 0.0138,paramet 0.0165,folder 0.0157,edit 0.0159,contact 0.0205
Term 9,apex 0.0167,select 0.0172,day 0.0127,input 0.0229,field 0.0175,access 0.0192,time 0.0147,develop 0.0134,post 0.0164,connector 0.0155,display 0.0151,delet 0.0178
Term 10,method 0.0162,button 0.0157,chang 0.0126,properti 0.022,sql 0.0157,error 0.0168,work 0.0137,integr 0.0123,return 0.0144,azur 0.014,load 0.0138,creat 0.0174
Term 11,javascript 0.0149,save 0.0136,number 0.0116,box 0.0218,item 0.0154,account 0.0161,side 0.0137,chatter 0.0109,im 0.0139,sheet 0.0136,view 0.0135,task 0.0169
Term 12,object 0.0139,submit 0.0131,css 0.0115,bind 0.021,column 0.0151,server 0.0151,return 0.0135,custom 0.0099,send 0.0132,document 0.0129,creat 0.0127,account 0.0152
Term 13,js 0.0128,filter 0.0123,report 0.0108,label 0.0207,calcul 0.0146,domain 0.0142,call 0.0111,manag 0.0095,header 0.0121,attach 0.0125,action 0.0119,approv 0.0138
Term 14,lwc 0.0121,control 0.0116,month 0.0101,chang 0.0156,result 0.0122,mail 0.0129,problem 0.0104,id 0.0094,xml 0.0121,imag 0.0124,event 0.0096,insert 0.0128
Term 15,map 0.0114,im 0.0106,chart 0.0092,string 0.013,databas 0.0112,set 0.0127,updat 0.0101,post 0.0085,work 0.012,export 0.012,url 0.0095,entiti 0.011
Term 16,tag 0.0101,inform 0.0105,color 0.0085,event 0.0113,key 0.0108,admin 0.0125,execut 0.0094,requir 0.0085,rest 0.0119,excel 0.0106,work 0.0092,chang 0.0106
Term 17,web 0.0096,display 0.0103,start 0.0077,drop 0.0099,project 0.0105,address 0.0121,load 0.0077,system 0.0082,method 0.0105,pdf 0.0106,onclick 0.0085,activ 0.0095
Term 18,attribut 0.0092,sourc 0.0094,show 0.0076,search 0.0096,page 0.0094,instanc 0.0114,save 0.0074,websit 0.0077,php 0.0101,microsoft 0.0104,refresh 0.0082,trigger 0.0084
