,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13
Term 1,api 0.0863,form 0.0882,date 0.0547,object 0.0441,error 0.1102,tabl 0.1002,compon 0.08,page 0.1061,email 0.0921,file 0.1102,access 0.0297,text 0.042,item 0.0442,script 0.0518
Term 2,request 0.0352,record 0.0603,number 0.025,record 0.0426,work 0.0292,datasourc 0.053,class 0.026,button 0.0528,send 0.0532,imag 0.0425,connect 0.0252,select 0.039,column 0.0399,function 0.0382
Term 3,url 0.0322,field 0.0567,time 0.0249,field 0.0384,run 0.0185,queri 0.0488,element 0.0237,click 0.0397,server 0.0262,drive 0.0363,databas 0.0248,field 0.0355,sharepoint 0.0356,im 0.0246
Term 4,crm 0.026,save 0.0423,im 0.0193,custom 0.0374,im 0.0184,model 0.0406,control 0.0215,open 0.0197,address 0.0249,upload 0.0304,applic 0.0244,dropdown 0.0342,screen 0.0327,server 0.0218
Term 5,respons 0.0256,edit 0.025,report 0.018,contact 0.0273,version 0.0154,record 0.0394,object 0.0208,tab 0.017,mail 0.0237,folder 0.021,user 0.024,option 0.0307,collect 0.027,project 0.0208
Term 6,post 0.0179,creat 0.0223,calendar 0.0166,updat 0.0251,messag 0.0134,relat 0.0307,method 0.0178,widget 0.0165,connect 0.0226,import 0.0193,sql 0.0238,variabl 0.0273,galleri 0.0249,client 0.0192
Term 7,json 0.0171,updat 0.0205,event 0.014,case 0.0227,fine 0.0123,filter 0.0241,javascript 0.0176,chang 0.0138,messag 0.0184,attach 0.0188,cloud 0.0221,box 0.0265,tabl 0.0194,ive 0.0155
Term 8,rest 0.0171,submit 0.0201,calcul 0.0139,account 0.021,fail 0.0121,row 0.0212,apex 0.0171,link 0.0136,error 0.0184,document 0.0178,deploy 0.0197,valu 0.0239,filter 0.0184,run 0.0145
Term 9,paramet 0.0158,button 0.02,day 0.0138,id 0.0201,consol 0.0104,script 0.0187,html 0.0165,custom 0.0126,configur 0.0142,export 0.0159,app 0.0182,label 0.0238,select 0.0178,time 0.0132
Term 10,token 0.0155,product 0.0141,total 0.0128,delet 0.02,problem 0.0098,item 0.0152,test 0.0163,display 0.0123,account 0.0129,pdf 0.0142,servic 0.0158,properti 0.0227,flow 0.0163,call 0.0112
Term 11,return 0.0132,id 0.0119,field 0.0122,approv 0.0166,mobil 0.0097,sql 0.015,function 0.0154,event 0.0117,receiv 0.0127,sheet 0.0133,creat 0.0143,input 0.0209,control 0.0137,side 0.011
Term 12,error 0.0127,checkbox 0.0107,month 0.0115,task 0.0165,test 0.0097,page 0.0138,map 0.0146,style 0.0117,work 0.0122,picker 0.0131,group 0.0137,bind 0.0208,sourc 0.0135,solut 0.0086
Term 13,xml 0.0112,fill 0.0103,return 0.0087,trigger 0.0154,throw 0.0081,widget 0.0133,array 0.0145,load 0.0103,domain 0.0109,chart 0.0112,power 0.0135,widget 0.0198,im 0.0134,answer 0.0084
Term 14,method 0.011,automat 0.0102,book 0.0085,entiti 0.0136,packag 0.008,field 0.0128,js 0.0144,url 0.0093,problem 0.0097,excel 0.0105,admin 0.0128,string 0.0169,function 0.0133,question 0.0083
Term 15,integr 0.0106,mode 0.0102,start 0.0083,activ 0.0107,check 0.008,key 0.0123,lwc 0.0143,css 0.0091,agent 0.0092,csv 0.0097,role 0.0111,chang 0.0157,display 0.0133,execut 0.0079
Term 16,access 0.0106,enter 0.0101,order 0.008,insert 0.0101,execut 0.0079,calcul 0.0112,web 0.0125,action 0.009,notif 0.0084,download 0.0094,account 0.011,search 0.0127,powerapp 0.0115,document 0.0079
Term 17,im 0.0104,item 0.0096,column 0.0077,creat 0.0095,instal 0.0075,select 0.0093,work 0.0124,navig 0.0084,set 0.0082,problem 0.0083,develop 0.011,display 0.0115,formula 0.0114,implement 0.0075
Term 18,header 0.0094,link 0.009,base 0.0076,chatter 0.0093,applic 0.0075,bind 0.0092,attribut 0.0119,menu 0.0084,fail 0.0079,local 0.0079,permiss 0.0102,drop 0.0112,lookup 0.0111,write 0.0063
Term 19,custom 0.0087,valid 0.0088,year 0.0074,relat 0.0091,add 0.0074,load 0.0092,event 0.0104,work 0.0083,log 0.0079,convert 0.0077,instanc 0.0101,textbox 0.009,properti 0.011,thing 0.0062
Term 20,pass 0.0084,click 0.0088,format 0.0069,owner 0.0089,wrong 0.0074,server 0.009,dynam 0.0101,view 0.0078,setup 0.0076,pictur 0.0076,azur 0.01,suggest 0.0089,show 0.0104,work 0.0061
Term 21,php 0.0084,insert 0.0085,student 0.0069,action 0.0082,org 0.0069,display 0.0089,render 0.0097,creat 0.0077,host 0.0074,content 0.0073,environ 0.0097,base 0.0087,row 0.0102,return 0.0061
Term 22,document 0.0074,chang 0.0083,string 0.0066,process 0.008,miss 0.0067,result 0.0089,page 0.0089,add 0.0075,smtp 0.0072,show 0.0071,publish 0.0093,im 0.0086,button 0.0094,app 0.0061
Term 23,applic 0.0074,manual 0.0081,function 0.0065,relationship 0.0079,develop 0.0067,return 0.0087,insid 0.0088,icon 0.007,servic 0.0067,widget 0.007,connector 0.0089,default 0.0081,multipl 0.0092,start 0.0059
Term 24,lead 0.0074,valu 0.0075,creat 0.0064,child 0.0076,debug 0.0066,id 0.0079,call 0.0079,commun 0.0068,chat 0.0067,im 0.007,custom 0.0088,event 0.008,valu 0.0091,basic 0.0057
Term 25,work 0.0073,inform 0.0075,databas 0.0062,parent 0.0073,fix 0.0064,creat 0.0078,tag 0.0076,html 0.0067,ticket 0.0066,team 0.007,share 0.0085,assign 0.0076,excel 0.0088,tool 0.0057
Term 26,web 0.0073,store 0.0074,display 0.006,lead 0.0072,show 0.0064,work 0.0071,load 0.0071,color 0.0067,gmail 0.0061,sampl 0.0069,set 0.0084,dynam 0.0073,power 0.0086,librari 0.0055
Term 27,http 0.0072,entri 0.007,index 0.0057,base 0.0068,chrome 0.0064,sourc 0.0071,display 0.0069,onclick 0.0067,test 0.0061,spreadsheet 0.0068,domain 0.0084,function 0.0069,dropdown 0.0081,find 0.0054
Term 28,call 0.0071,check 0.007,amount 0.0056,check 0.0067,properti 0.0061,databas 0.0069,resourc 0.0068,refresh 0.0063,statu 0.0059,gener 0.0065,microsoft 0.0082,express 0.0066,work 0.0077,lot 0.0051
Term 29,servic 0.0063,card 0.0068,current 0.0053,queri 0.0066,read 0.0061,paramet 0.0069,pass 0.0066,emb 0.0061,case 0.0057,size 0.0061,preview 0.0074,result 0.0065,store 0.0075,order 0.0051
Term 30,authent 0.0061,default 0.0067,task 0.0053,add 0.0065,ive 0.0061,project 0.0067,requir 0.0064,layout 0.0061,usernam 0.0055,url 0.0056,login 0.0073,enter 0.0064,search 0.0071,problem 0.0051
