,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16
Term 1,tabl 0.1189,connect 0.0579,email 0.1091,page 0.0929,string 0.0289,file 0.1095,record 0.1152,select 0.0604,api 0.0986,page 0.0572,script 0.0966,object 0.0576,access 0.0453,document 0.0197,form 0.0645,compon 0.0928,error 0.1343
Term 2,queri 0.0708,sql 0.0531,send 0.058,url 0.0337,variabl 0.0273,drive 0.0383,field 0.0587,dropdown 0.0534,request 0.0381,widget 0.0547,function 0.059,custom 0.0472,user 0.0434,product 0.0181,sharepoint 0.0366,html 0.0267,work 0.0255
Term 3,datasourc 0.0467,databas 0.0526,address 0.0283,open 0.0287,return 0.0261,upload 0.0326,relat 0.0334,date 0.0428,crm 0.031,button 0.0506,server 0.0455,field 0.0385,project 0.0351,question 0.0132,screen 0.0356,control 0.0253,im 0.0207
Term 4,filter 0.0367,cloud 0.0435,mail 0.0281,tab 0.0263,function 0.02,time 0.0244,tabl 0.0333,option 0.0373,url 0.0281,click 0.0285,client 0.0399,contact 0.0294,deploy 0.031,pdf 0.0122,item 0.0275,element 0.025,test 0.0192
Term 5,row 0.0322,power 0.0276,approv 0.0243,link 0.0223,number 0.0196,import 0.023,id 0.0298,field 0.0308,respons 0.0276,event 0.0257,run 0.0249,record 0.0294,applic 0.0234,integr 0.0115,field 0.0268,work 0.0175,messag 0.0172
Term 6,model 0.0311,flow 0.0244,messag 0.0203,click 0.0206,array 0.0195,folder 0.0226,save 0.0291,box 0.0262,post 0.0202,chang 0.0214,im 0.0225,account 0.0268,group 0.0209,solut 0.0114,collect 0.0244,lwc 0.0166,calendar 0.0169
Term 7,column 0.0252,connector 0.0224,configur 0.0173,button 0.0201,im 0.0165,export 0.0167,form 0.0267,valu 0.0259,rest 0.0192,bind 0.0199,side 0.0224,case 0.0238,admin 0.018,build 0.0112,column 0.0242,js 0.015,version 0.0149
Term 8,calcul 0.0251,servic 0.0212,work 0.0166,imag 0.0183,valu 0.0165,sheet 0.0164,model 0.024,search 0.0238,token 0.0191,properti 0.0161,ive 0.0202,updat 0.0234,permiss 0.0169,applic 0.0111,button 0.0239,class 0.0148,fail 0.0147
Term 9,record 0.0198,azur 0.0206,server 0.0163,applic 0.0157,object 0.0135,picker 0.0134,creat 0.0218,item 0.0193,json 0.0182,label 0.0158,call 0.0171,task 0.0234,account 0.0169,answer 0.0108,galleri 0.0202,method 0.0144,problem 0.0146
Term 10,sql 0.0152,server 0.0195,receiv 0.0154,browser 0.0145,express 0.0133,attach 0.0132,updat 0.0173,filter 0.0184,access 0.0153,datasourc 0.0137,updat 0.0141,id 0.017,role 0.0166,start 0.0098,submit 0.0174,web 0.0136,run 0.0136
