,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17
Term 1,access 0.0449,object 0.0466,form 0.0816,page 0.1322,api 0.0931,date 0.0765,tabl 0.0599,file 0.1469,power 0.0432,imag 0.0529,record 0.1413,script 0.1031,sql 0.0786,error 0.1075,email 0.1135,column 0.0534,compon 0.1001,task 0.0168
Term 2,user 0.0383,queri 0.0459,field 0.0519,button 0.0417,request 0.0335,field 0.036,datasourc 0.0524,drive 0.0451,flow 0.0403,style 0.0218,field 0.0548,server 0.043,databas 0.0706,work 0.0261,send 0.0615,item 0.0469,class 0.0317,time 0.0165
Term 3,deploy 0.0288,string 0.0256,button 0.0477,click 0.0317,url 0.0326,number 0.0291,widget 0.0406,upload 0.0424,app 0.0321,text 0.0194,id 0.0426,client 0.0401,tabl 0.0566,im 0.0235,address 0.0296,tabl 0.0377,method 0.0277,approv 0.0152
Term 4,applic 0.0239,array 0.0251,variabl 0.031,open 0.0286,crm 0.0306,time 0.0274,bind 0.0254,folder 0.0291,connector 0.0273,chang 0.019,updat 0.0376,function 0.0371,cloud 0.0469,version 0.0184,mail 0.0293,screen 0.0277,element 0.0259,question 0.0144
Term 5,account 0.0228,return 0.0223,save 0.0267,custom 0.0285,respons 0.0254,calendar 0.0232,select 0.0254,attach 0.0275,azur 0.025,widget 0.0179,object 0.0288,side 0.0215,connect 0.0371,run 0.0161,messag 0.0185,filter 0.0275,control 0.0256,im 0.0143
Term 6,admin 0.0182,field 0.0215,text 0.0243,link 0.0225,post 0.0176,report 0.0223,page 0.0251,document 0.0217,powerapp 0.0223,css 0.0169,relat 0.0272,run 0.0196,product 0.025,messag 0.0139,server 0.0156,galleri 0.0265,test 0.0243,templat 0.0129
Term 7,group 0.0172,result 0.0198,input 0.0236,tab 0.0222,rest 0.0164,day 0.0202,model 0.0251,pdf 0.0198,microsoft 0.0219,im 0.0166,contact 0.027,queri 0.0194,server 0.0225,ive 0.0122,error 0.0149,sharepoint 0.0221,apex 0.0219,answer 0.0111
Term 8,log 0.0168,chatter 0.0174,submit 0.0187,url 0.0182,json 0.014,event 0.0187,dropdown 0.0212,picker 0.0185,custom 0.0208,chart 0.0136,delet 0.0255,record 0.0193,sheet 0.0195,project 0.0117,connect 0.0145,collect 0.0213,html 0.0214,manag 0.0106
Term 9,permiss 0.0161,id 0.012,properti 0.0185,display 0.0164,im 0.0135,im 0.0184,filter 0.0206,csv 0.0136,store 0.0184,color 0.0125,creat 0.0234,im 0.0179,instanc 0.019,function 0.0117,configur 0.0143,select 0.0208,event 0.0212,document 0.0106
Term 10,role 0.0158,valu 0.0118,box 0.0182,view 0.0127,xml 0.0132,updat 0.0162,queri 0.0192,download 0.0125,connect 0.0184,display 0.0115,account 0.0205,model 0.0164,model 0.0172,fine 0.0111,receiv 0.0132,dropdown 0.0195,js 0.0199,ive 0.0101
Term 11,login 0.0146,retriev 0.0112,select 0.0174,work 0.0124,integr 0.0124,month 0.0153,option 0.0191,import 0.0123,function 0.0153,element 0.0107,custom 0.0201,return 0.0148,import 0.0164,line 0.011,account 0.0119,display 0.0174,lwc 0.0191,solut 0.01
Term 12,app 0.0144,entiti 0.0099,edit 0.0168,load 0.0122,method 0.0124,calcul 0.0108,row 0.0181,convert 0.0115,excel 0.0129,html 0.0104,case 0.0184,error 0.0148,export 0.0136,load 0.0109,domain 0.0119,row 0.0158,web 0.0144,search 0.01
Term 13,publish 0.0139,custom 0.0094,label 0.0155,browser 0.0115,header 0.0119,formula 0.0102,relat 0.0174,team 0.0096,sourc 0.0127,print 0.0097,insert 0.0177,calcul 0.0143,servic 0.0123,librari 0.0103,agent 0.0114,valu 0.0157,work 0.0144,project 0.0091
Term 14,develop 0.0136,json 0.0093,click 0.0152,commun 0.0114,token 0.0118,activ 0.0102,field 0.0165,content 0.0093,environ 0.0117,work 0.0089,parent 0.0118,call 0.0139,mysql 0.0107,problem 0.0102,work 0.0114,search 0.0141,attribut 0.0119,start 0.0089
Term 15,creat 0.0131,pull 0.0089,chang 0.0152,action 0.0111,error 0.0117,year 0.0099,item 0.0149,link 0.0091,dynam 0.0109,icon 0.0087,save 0.011,datasourc 0.0124,db 0.0099,fail 0.0097,notif 0.0103,function 0.0126,object 0.0115,process 0.0088
Term 16,domain 0.0129,write 0.0088,default 0.0117,creat 0.0109,paramet 0.0111,case 0.0091,load 0.0141,save 0.0088,ms 0.01,pictur 0.0083,lookup 0.0099,creat 0.0105,creat 0.0095,resourc 0.0091,smtp 0.0089,sourc 0.0111,call 0.0106,request 0.0087
Term 17,servic 0.0124,access 0.0088,enter 0.0102,emb 0.01,php 0.0099,format 0.0091,event 0.0139,report 0.008,entiti 0.0099,tag 0.0082,relationship 0.0098,order 0.01,spreadsheet 0.0082,map 0.009,set 0.0086,show 0.0101,insid 0.0104,gener 0.0085
Term 18,set 0.0122,requir 0.0086,valu 0.01,navig 0.0097,lead 0.0099,tabl 0.009,record 0.0124,extens 0.008,sharepoint 0.0096,option 0.008,child 0.0097,ive 0.0098,inform 0.0074,packag 0.009,problem 0.0083,result 0.0101,function 0.0104,build 0.008
Term 19,share 0.0114,index 0.0085,textbox 0.0097,refresh 0.0088,return 0.0097,statu 0.0088,display 0.0119,sampl 0.0072,common 0.0096,disabl 0.0078,trigger 0.0092,execut 0.0094,store 0.0069,throw 0.0086,chat 0.0083,multipl 0.0099,javascript 0.0098,implement 0.0078
Term 20,preview 0.0114,structur 0.0083,valid 0.0094,javascript 0.0086,http 0.0093,chang 0.0088,project 0.0117,problem 0.007,mobil 0.0093,editor 0.0076,duplic 0.0088,key 0.0088,drive 0.0062,check 0.0084,im 0.0072,formula 0.0097,pass 0.0083,problem 0.0073
Term 21,project 0.0107,output 0.0081,check 0.0092,redirect 0.0081,send 0.0087,check 0.0087,valu 0.0099,io 0.007,creat 0.0093,size 0.0076,lead 0.008,updat 0.0088,im 0.006,instal 0.0082,gmail 0.0071,im 0.0097,dynam 0.0083,develop 0.0069
Term 22,secur 0.0104,search 0.0079,display 0.0089,vf 0.0074,work 0.0086,current 0.0085,drop 0.0082,librari 0.007,run 0.0087,height 0.0075,exist 0.008,work 0.0087,write 0.006,find 0.0076,host 0.0071,lookup 0.0088,tag 0.008,make 0.0067
Term 23,organ 0.0082,paramet 0.0079,sharepoint 0.0089,applic 0.0074,pass 0.0085,creat 0.0082,properti 0.0079,specif 0.0066,onlin 0.0085,line 0.0073,loop 0.0077,total 0.0085,applic 0.0058,wrong 0.0075,case 0.0069,base 0.0086,aura 0.0075,base 0.0066
Term 24,token 0.008,map 0.0079,fill 0.0086,menu 0.0073,access 0.0083,display 0.0081,work 0.0077,write 0.0066,offic 0.0079,scroll 0.0071,edit 0.0073,paramet 0.0079,default 0.0058,consol 0.007,fail 0.0068,navig 0.0083,render 0.0074,multipl 0.0066
Term 25,enabl 0.0078,soql 0.0074,option 0.0082,ifram 0.007,call 0.0081,start 0.0076,label 0.0077,creat 0.0066,integr 0.0078,appli 0.0069,activ 0.0067,result 0.0077,question 0.0057,test 0.0069,setup 0.0065,properti 0.008,write 0.0074,lot 0.0065
Term 26,environ 0.0077,join 0.0071,action 0.0082,edit 0.007,document 0.0077,function 0.0075,base 0.0076,local 0.0064,cd 0.0078,top 0.0065,uniqu 0.0057,chang 0.0073,extern 0.0056,execut 0.0066,check 0.0063,work 0.008,implement 0.0074,system 0.006
Term 27,password 0.0075,function 0.007,requir 0.0082,window 0.007,servic 0.007,work 0.0072,show 0.0074,applic 0.0062,collect 0.007,light 0.0065,add 0.0055,number 0.007,read 0.0052,properti 0.0063,port 0.006,excel 0.0077,fire 0.007,thing 0.0059
Term 28,work 0.0073,specif 0.0069,locat 0.0077,content 0.0067,client 0.0069,week 0.007,click 0.0072,doc 0.0059,web 0.007,idea 0.0062,multipl 0.0054,relat 0.0065,view 0.0052,command 0.0062,live 0.0051,field 0.0075,creat 0.0067,applic 0.0059
Term 29,credenti 0.007,record 0.0069,item 0.0071,visualforc 0.0064,web 0.0069,select 0.007,entri 0.0069,access 0.0059,canva 0.007,content 0.0062,show 0.0053,problem 0.0056,setup 0.005,remov 0.0062,rout 0.0051,text 0.0071,add 0.0067,complet 0.0058
Term 30,directori 0.0068,fetch 0.0067,creat 0.0071,layout 0.0062,creator 0.0068,base 0.0069,suggest 0.0068,appian 0.0059,provid 0.0069,fix 0.0061,find 0.0052,output 0.0053,load 0.005,receiv 0.0061,block 0.0049,condit 0.007,trigger 0.0066,find 0.0058
