,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4
Term 1,error 0.0399,api 0.0365,page 0.0553,field 0.0468,script 0.0325
Term 2,compon 0.0276,email 0.0221,button 0.0334,tabl 0.0459,file 0.0311
Term 3,object 0.0241,access 0.0185,form 0.0239,record 0.0442,time 0.0168
Term 4,function 0.0164,url 0.0183,widget 0.0213,datasourc 0.0227,im 0.0159
Term 5,work 0.0163,connect 0.0172,click 0.0209,queri 0.0227,server 0.0158
Term 6,im 0.0139,request 0.0156,event 0.0177,item 0.0221,project 0.015
Term 7,method 0.0135,applic 0.0151,chang 0.0148,select 0.017,client 0.0136
Term 8,return 0.0135,send 0.0151,screen 0.0146,column 0.0161,function 0.0123
Term 9,test 0.0114,account 0.0147,imag 0.014,relat 0.0155,ive 0.0115
Term 10,class 0.0095,user 0.0113,edit 0.0134,filter 0.0153,document 0.0113
Term 11,custom 0.0082,servic 0.0111,display 0.013,model 0.0149,run 0.0103
Term 12,json 0.008,databas 0.0108,open 0.0126,valu 0.014,drive 0.0101
Term 13,javascript 0.008,crm 0.0107,text 0.0124,date 0.0139,question 0.0082
Term 14,apex 0.0079,error 0.0106,custom 0.0111,dropdown 0.0133,upload 0.0081
Term 15,line 0.0078,post 0.0103,view 0.0104,row 0.0123,deploy 0.0074
Term 16,array 0.0076,custom 0.0095,load 0.0101,id 0.0114,side 0.0073
Term 17,pass 0.0075,contact 0.0094,save 0.0101,sharepoint 0.0106,import 0.007
Term 18,element 0.0075,creat 0.0093,properti 0.0097,display 0.0092,report 0.0067
Term 19,string 0.0072,sql 0.0093,action 0.0093,creat 0.0089,start 0.0067
Term 20,valid 0.007,cloud 0.0089,add 0.0092,base 0.0084,build 0.0065
Term 21,control 0.0066,power 0.0087,select 0.0084,im 0.0084,find 0.0065
Term 22,consol 0.0065,integr 0.0073,variabl 0.0079,search 0.0082,problem 0.0065
Term 23,web 0.0065,flow 0.0072,show 0.0078,option 0.0081,gener 0.0062
Term 24,call 0.0065,rest 0.007,work 0.0076,bind 0.0081,delet 0.0062
Term 25,result 0.006,app 0.007,link 0.0076,collect 0.008,solut 0.0061
Term 26,run 0.006,login 0.0067,submit 0.0075,calcul 0.008,folder 0.0056
Term 27,format 0.0059,develop 0.0067,tab 0.0074,result 0.0078,user 0.0056
Term 28,execut 0.0058,token 0.0066,option 0.0073,sourc 0.0078,approv 0.0055
Term 29,problem 0.0057,server 0.0063,input 0.0072,sql 0.0078,app 0.0054
Term 30,attribut 0.0056,domain 0.0063,creat 0.0071,galleri 0.0074,sheet 0.0049
