,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
Term 1,page 0.0661,email 0.0278,file 0.0362,api 0.0495,field 0.0457,record 0.0374
Term 2,button 0.0346,connect 0.0216,compon 0.0329,url 0.022,tabl 0.0351,script 0.0353
Term 3,click 0.025,access 0.0202,object 0.0287,request 0.0211,form 0.028,queri 0.027
Term 4,widget 0.0186,user 0.02,error 0.0233,im 0.0193,item 0.0259,model 0.0205
Term 5,event 0.0176,applic 0.0159,custom 0.0194,error 0.0169,select 0.0254,tabl 0.0196
Term 6,imag 0.0167,app 0.0155,field 0.0133,crm 0.0146,column 0.0189,function 0.0162
Term 7,load 0.0148,account 0.0153,method 0.0124,respons 0.0145,datasourc 0.0181,date 0.0161
Term 8,open 0.0146,send 0.0127,record 0.0123,post 0.014,filter 0.018,server 0.0156
Term 9,work 0.0133,error 0.0124,updat 0.0122,document 0.0118,valu 0.0178,im 0.0152
Term 10,link 0.0125,deploy 0.0113,case 0.0121,paramet 0.0116,dropdown 0.0156,time 0.0139
Term 11,display 0.012,power 0.0109,class 0.0113,work 0.0104,row 0.0144,client 0.0132
Term 12,chang 0.012,cloud 0.0108,upload 0.0108,return 0.0097,display 0.0138,project 0.0127
Term 13,view 0.0096,creat 0.0105,drive 0.0104,json 0.0096,option 0.0127,databas 0.0107
Term 14,tab 0.0088,servic 0.0104,test 0.0098,rest 0.0095,sharepoint 0.0124,sql 0.0106
Term 15,html 0.0084,sql 0.0104,function 0.0095,token 0.0089,bind 0.0121,relat 0.01
Term 16,im 0.0083,develop 0.0102,control 0.0094,web 0.0081,text 0.0116,calcul 0.0098
Term 17,screen 0.0083,flow 0.0101,apex 0.0094,string 0.008,properti 0.0099,updat 0.0096
Term 18,edit 0.008,databas 0.009,id 0.0088,access 0.0079,box 0.0099,datasourc 0.0089
Term 19,navig 0.0071,server 0.009,contact 0.0088,format 0.0078,search 0.0097,number 0.0084
Term 20,add 0.0069,login 0.0084,trigger 0.0081,lead 0.0076,collect 0.0094,save 0.0084
Term 21,element 0.0066,address 0.0082,attach 0.0077,ive 0.0073,record 0.0092,side 0.008
Term 22,show 0.0063,set 0.008,folder 0.0074,integr 0.0072,input 0.009,ive 0.0079
Term 23,style 0.0061,group 0.0079,creat 0.0073,pass 0.0071,label 0.0089,creat 0.0071
Term 24,refresh 0.006,domain 0.0078,check 0.0073,method 0.0071,galleri 0.0087,return 0.007
Term 25,calendar 0.0059,configur 0.0078,valid 0.0073,id 0.0068,relat 0.0082,run 0.0069
Term 26,action 0.0059,mail 0.0072,work 0.0071,send 0.0067,show 0.0078,error 0.0069
Term 27,text 0.0056,instanc 0.0072,attribut 0.0067,receiv 0.0065,screen 0.0076,key 0.0066
Term 28,creat 0.0055,admin 0.0069,map 0.0065,chatter 0.0064,variabl 0.0073,order 0.0064
Term 29,problem 0.0055,custom 0.0069,call 0.0064,xml 0.0063,widget 0.0073,approv 0.006
Term 30,browser 0.0051,connector 0.0069,js 0.0062,header 0.0062,edit 0.0071,problem 0.0058
