,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
Term 1,api 0.0554,script 0.0384,error 0.0619,field 0.0453,access 0.0204,tabl 0.0663,page 0.0591
Term 2,file 0.0462,record 0.0293,email 0.0416,form 0.0404,databas 0.0196,record 0.0378,compon 0.0351
Term 3,url 0.0281,function 0.0269,send 0.0263,text 0.0205,user 0.0191,datasourc 0.0328,button 0.0225
Term 4,request 0.0237,date 0.0199,account 0.0218,item 0.0202,sql 0.0185,field 0.025,click 0.0189
Term 5,crm 0.0163,im 0.0183,contact 0.0176,screen 0.0176,applic 0.0177,model 0.0246,object 0.0143
Term 6,respons 0.0163,server 0.0168,messag 0.0172,save 0.0169,app 0.0169,filter 0.0221,custom 0.0127
Term 7,document 0.0139,time 0.0158,test 0.0161,column 0.0158,connect 0.0166,relat 0.0218,work 0.0125
Term 8,post 0.0135,client 0.0155,work 0.0148,button 0.0157,cloud 0.0147,widget 0.0217,element 0.0125
Term 9,drive 0.0122,queri 0.015,login 0.0126,sharepoint 0.0157,project 0.0133,select 0.021,open 0.0123
Term 10,upload 0.0121,return 0.0139,server 0.0121,variabl 0.0155,deploy 0.0123,row 0.0178,html 0.0119
Term 11,im 0.0113,updat 0.0119,object 0.0116,select 0.0141,power 0.0118,queri 0.0176,imag 0.01
Term 12,rest 0.0107,error 0.0108,creat 0.0114,input 0.0138,creat 0.0106,bind 0.0149,javascript 0.0099
Term 13,json 0.0106,result 0.0098,address 0.0108,valu 0.0137,servic 0.0104,dropdown 0.0138,tab 0.0099
Term 14,paramet 0.0105,number 0.0098,mail 0.0107,display 0.0116,develop 0.0103,page 0.0136,load 0.0097
Term 15,token 0.01,delet 0.0098,id 0.0107,updat 0.0115,custom 0.0093,option 0.0122,control 0.0095
Term 16,work 0.0096,run 0.0098,lead 0.0105,collect 0.011,group 0.0089,item 0.0122,class 0.0093
Term 17,access 0.0087,side 0.0093,case 0.0099,galleri 0.011,manag 0.0086,display 0.0108,event 0.0088
Term 18,folder 0.0084,ive 0.0093,receiv 0.0098,properti 0.0106,flow 0.0085,creat 0.0107,apex 0.0082
Term 19,return 0.0082,array 0.0082,connect 0.0096,submit 0.0092,instanc 0.0078,event 0.0098,chang 0.0078
Term 20,method 0.008,call 0.0079,check 0.0094,im 0.009,admin 0.0076,load 0.0093,link 0.0078
Term 21,header 0.0075,string 0.007,fail 0.0094,box 0.0087,connector 0.0075,id 0.0091,display 0.0078
Term 22,integr 0.0072,object 0.0067,custom 0.0094,label 0.0081,azur 0.0069,valu 0.0089,properti 0.0077
Term 23,xml 0.007,id 0.0067,im 0.009,chang 0.0081,permiss 0.0067,column 0.0079,method 0.007
Term 24,error 0.0069,problem 0.0067,problem 0.0088,entiti 0.008,task 0.0066,base 0.0077,widget 0.0069
Term 25,gener 0.0064,write 0.0066,trigger 0.0085,edit 0.008,share 0.0066,sourc 0.007,map 0.0069
Term 26,link 0.006,line 0.0064,configur 0.0079,approv 0.0073,role 0.0066,key 0.0065,style 0.0068
Term 27,applic 0.0057,sheet 0.0062,log 0.0076,lookup 0.0072,support 0.0065,project 0.0065,js 0.0066
Term 28,php 0.0057,calendar 0.006,chatter 0.0076,control 0.0071,environ 0.0064,show 0.0064,consol 0.0065
Term 29,pdf 0.0057,calcul 0.006,fine 0.0076,default 0.0069,microsoft 0.006,edit 0.0064,lwc 0.0063
Term 30,attach 0.0056,start 0.0056,valid 0.0065,formula 0.0068,set 0.006,suggest 0.0059,web 0.0062
