,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
Term 1,field 0.0503,api 0.0697,email 0.0391,file 0.0727,compon 0.0525,script 0.0502,project 0.0238,page 0.0708,tabl 0.0779
Term 2,form 0.0328,url 0.0345,connect 0.0304,imag 0.0286,object 0.0376,record 0.0441,im 0.0151,button 0.0529,datasourc 0.0386
Term 3,item 0.0231,request 0.0273,access 0.0251,drive 0.0237,custom 0.0312,function 0.0398,time 0.0147,click 0.0352,queri 0.0364
Term 4,date 0.0224,crm 0.0205,account 0.0207,document 0.0201,page 0.0232,error 0.0349,applic 0.0136,event 0.0256,record 0.0321
Term 5,text 0.0221,respons 0.0205,databas 0.0206,upload 0.0191,class 0.0181,server 0.0262,version 0.0126,widget 0.0235,model 0.0289
Term 6,sharepoint 0.0193,post 0.0198,user 0.02,task 0.0167,element 0.0164,client 0.0211,work 0.0119,open 0.0185,field 0.0286
Term 7,select 0.019,contact 0.0144,error 0.019,report 0.0155,html 0.0152,return 0.0194,develop 0.01,chang 0.0161,relat 0.0258
Term 8,column 0.0186,json 0.0136,send 0.0184,attach 0.015,apex 0.0149,updat 0.019,solut 0.0096,edit 0.0159,row 0.0209
Term 9,screen 0.0179,rest 0.0134,sql 0.0183,import 0.0137,javascript 0.0147,im 0.0175,calendar 0.0089,save 0.0141,filter 0.0207
Term 10,input 0.0165,im 0.0128,cloud 0.0178,case 0.0134,error 0.0146,run 0.0142,start 0.008,form 0.0136,select 0.0168
Term 11,valu 0.0164,error 0.0126,app 0.0156,folder 0.0132,control 0.0144,delet 0.0128,manag 0.0078,link 0.0124,item 0.0159
Term 12,display 0.0152,token 0.0126,deploy 0.0153,approv 0.0129,test 0.0129,call 0.0111,answer 0.0077,tab 0.0124,bind 0.0153
Term 13,collect 0.0146,id 0.0118,applic 0.0132,updat 0.0118,work 0.0113,side 0.0108,question 0.0076,action 0.0103,dropdown 0.0138
Term 14,variabl 0.0145,access 0.0112,power 0.0123,sheet 0.0114,attribut 0.0107,work 0.0104,problem 0.0072,load 0.0098,calcul 0.0136
Term 15,galleri 0.0136,paramet 0.0108,creat 0.012,picker 0.0102,map 0.0103,time 0.0102,run 0.0071,properti 0.0091,widget 0.0128
Term 16,properti 0.0133,lead 0.0103,servic 0.0115,export 0.0101,creat 0.0099,insert 0.0102,build 0.007,style 0.0085,id 0.0119
Term 17,box 0.0129,integr 0.0093,domain 0.011,excel 0.0098,js 0.0098,line 0.0096,mobil 0.0065,record 0.0082,sql 0.0116
Term 18,label 0.0113,method 0.0092,server 0.0108,templat 0.0093,lwc 0.0094,ive 0.0093,websit 0.0065,work 0.0081,option 0.0107
Term 19,dropdown 0.0094,header 0.0092,address 0.0105,user 0.0091,commun 0.0092,method 0.0093,web 0.0064,display 0.0081,valu 0.0103
Term 20,lookup 0.0089,chatter 0.009,mail 0.01,pdf 0.0089,method 0.0089,id 0.0093,system 0.0062,refresh 0.0081,column 0.01
Term 21,search 0.0087,send 0.0089,configur 0.0099,team 0.0084,tag 0.0086,problem 0.0091,ive 0.0062,select 0.0075,base 0.01
Term 22,control 0.0084,xml 0.0089,admin 0.0098,view 0.0081,web 0.0085,write 0.0088,implement 0.0061,view 0.0073,key 0.0091
Term 23,formula 0.0084,work 0.0082,connector 0.0097,process 0.0077,field 0.0083,array 0.0086,suggest 0.0061,add 0.0066,creat 0.008
Term 24,im 0.0076,return 0.0078,group 0.0096,flow 0.0076,display 0.0081,execut 0.0086,librari 0.006,creat 0.0066,result 0.008
Term 25,chang 0.0072,pass 0.0076,instanc 0.0096,save 0.0076,dynam 0.0079,trigger 0.0083,tool 0.006,css 0.0066,display 0.0075
Term 26,express 0.0071,php 0.0074,set 0.0094,owner 0.0076,entiti 0.0074,string 0.0081,function 0.0059,menu 0.0066,sourc 0.0071
Term 27,submit 0.0067,custom 0.0072,azur 0.0089,link 0.0072,consol 0.0069,number 0.0076,provid 0.0057,detail 0.0065,databas 0.007
Term 28,fill 0.0065,receiv 0.007,permiss 0.0087,creat 0.0071,requir 0.0066,result 0.0073,gener 0.0057,navig 0.0065,sort 0.0069
Term 29,option 0.0065,call 0.0068,role 0.0085,convert 0.0068,org 0.0066,creat 0.0072,support 0.0057,mode 0.0064,employe 0.0063
Term 30,powerapp 0.0064,document 0.0068,environ 0.0079,add 0.0068,render 0.0063,expect 0.007,thing 0.0051,onclick 0.0064,load 0.0063
