Tag,Significance,Relevance
items,0.003745318352059925,0.0004761904761904762
google-chrome,0.0001905457547993712,0.002857142857142857
scripting,0.00019678583142013775,0.0007142857142857143
import,0.00028832292167227293,0.0014285714285714286
azure,0.00042142190027107677,0.008809523809523809
jestjs,0.0007369196757553427,0.0019047619047619048
google-domains,0.007142857142857143,0.0002380952380952381
logic,0.0002670940170940171,0.0004761904761904762
office365-apps,0.008583690987124463,0.0009523809523809524
model,0.00012596044841919638,0.0004761904761904762
web-hosting,0.0003727171077152441,0.0002380952380952381
facebook-opengraph,0.00026939655172413793,0.0002380952380952381
filter,0.0003902185223725286,0.002142857142857143
hyperlink,0.0003014590618593995,0.0011904761904761906
milestone,0.01818181818181818,0.0002380952380952381
timezone,0.0001985505807604487,0.0004761904761904762
laravel,4.749014579474759e-05,0.0016666666666666668
development-environment,0.0008964589870013447,0.0004761904761904762
deployment,0.00014452955629426219,0.0007142857142857143
jsonlite,0.0028011204481792717,0.0002380952380952381
form-submit,0.0003652300949598247,0.0002380952380952381
geometry,9.391435011269723e-05,0.0002380952380952381
uri,0.00018501387604070305,0.0002380952380952381
bytearray,0.0002736726874657909,0.0002380952380952381
iframe,0.0003422079255355554,0.002380952380952381
authorization,0.0001248595330253465,0.0002380952380952381
magento,5.300540655146825e-05,0.0004761904761904762
mp3,0.000242306760358614,0.0002380952380952381
sentiment-analysis,0.0006618133686300463,0.0002380952380952381
try-catch,0.00014218683349921798,0.0002380952380952381
spreadsheet,0.00071301247771836,0.0004761904761904762
security-roles,0.008403361344537815,0.0002380952380952381
google-trends,0.005235602094240838,0.0002380952380952381
target,0.000585480093676815,0.0002380952380952381
foreign-keys,0.00021175224986765483,0.0004761904761904762
reactjs,0.0001018509087878816,0.005238095238095238
google-cloud-automl-nl,0.02702702702702703,0.0002380952380952381
sendmail,0.0007077140835102619,0.0004761904761904762
test-class,0.038461538461538464,0.0004761904761904762
camera,7.633587786259542e-05,0.0002380952380952381
client-side,0.00046511627906976747,0.0002380952380952381
s,0.018518518518518517,0.0004761904761904762
active-directory,7.322788517867604e-05,0.0002380952380952381
web,0.00017864434463046142,0.0016666666666666668
cordova-plugins,0.00037167812674224123,0.0004761904761904762
restsharp,0.0010615711252653928,0.0004761904761904762
pydio,0.018867924528301886,0.0002380952380952381
spring,5.897965202005308e-06,0.0002380952380952381
insert,7.640586797066015e-05,0.0002380952380952381
okta-api,0.0035211267605633804,0.0002380952380952381
payment-gateway,0.0002901073397156948,0.0002380952380952381
chart.js,0.0002605523710265763,0.0004761904761904762
smarty,0.0002320185614849188,0.0002380952380952381
rspec,5.847611250804047e-05,0.0002380952380952381
radio-button,0.0004288164665523156,0.0009523809523809524
office365connectors,0.02040816326530612,0.0004761904761904762
jbossfuse,0.0012135922330097086,0.0002380952380952381
ej2-syncfusion,0.3333333333333333,0.0002380952380952381
audio,6.358896095637798e-05,0.0004761904761904762
mustache,0.0005543237250554324,0.0002380952380952381
