Id,PostTypeId,ParentId,CreationDate,Score,Body,OwnerUserId,LastEditorUserId,LastEditDate,LastActivityDate,CommentCount,ContentLicense
359725,2,359717,2008-12-11T15:32:59.553,4,"<p><a href=""http://learn.iis.net/"" rel=""nofollow noreferrer"">http://learn.iis.net/</a></p>
",17516,,,2008-12-11T15:32:59.553,0,CC BY-SA 2.5
598997,2,326366,2009-03-01T00:39:41.493,1,"<p>I also tried building a simple web application with Zoho Creator and got so frustrated that I am now looking for a different solution. I consider Zoho Creator to be at a point right now suitable for educational purposes but I would not consider using it for a functional application.</p>
",,,,2009-03-01T00:39:41.493,0,CC BY-SA 2.5
981468,2,980932,2009-06-11T14:33:47.367,1,"<p>Got it.  For some reason The data I was sending in my POST needed to have a .strip() placed after it.</p>
",119400,,,2009-06-11T14:33:47.367,0,CC BY-SA 2.5
1237753,2,1236439,2009-08-06T09:01:43.890,2,"<p>You may have a List Records widget with several If widgets inside to display the appropriate ""controls"". I believe this is one way to have dynamic controls. I don't know if this applies to your specific problem.</p>
",,,,2009-08-06T09:01:43.890,0,CC BY-SA 2.5
1745701,2,1258834,2009-11-17T00:01:28.040,3,"<p>I know this is an ancient question, but since there's no answers and this is pretty much all that came up on google when searching for Zoho CRM integration with Google Maps I'll take a stab at this anyway. I recently got a similiar request, but in this case they wanted to display the leads on a page outside of Zoho. </p>

<p>I created a Java servlet and JSP that runs on Google App Engine. The servlet will connect to Zoho CRM to retrieve all leads and geocode the addresses they are registered with. The client-side Javascript is then taking care of creating the markers on the map for all the addresses. </p>

<p>It's a bit too much code to paste here (although not that much), but you can check it out at <a href=""http://code.google.com/p/zohomap/"" rel=""nofollow noreferrer"">http://code.google.com/p/zohomap/</a>. </p>

<p>I put the demo up at <a href=""http://zohomap.appspot.com/"" rel=""nofollow noreferrer"">http://zohomap.appspot.com/</a>. </p>
",17542,,,2009-11-17T00:01:28.040,1,CC BY-SA 2.5
2022612,2,2022549,2010-01-07T18:24:57.617,1,"<p>You can escape the spaces and parentheses using backslashes:</p>

<pre><code>$('#property\\(Phone\\)').val('jQuery selected property(Phone)!');
$('#ab\\ cd\\ ef').val('jQuery selected ab cd ef!');
</code></pre>
",148745,,,2010-01-07T18:24:57.617,0,CC BY-SA 2.5
3027087,2,3016015,2010-06-12T01:04:39.473,5,"<p><em>DISCLAIMER: I work for OutSystems</em></p>

<p>Every development tool/language/stack/... involves some tradeoffs at some point. Therefore, depending on what you're looking for, or particularly interested in, you may consider some aspect of a platform as an unforgivable pitfall where others might see it as a godsend blessing, or vice-versa. Thus, only by knowing what you really like and what you consider essential, may I try to guess what you'll miss and what you'll consider a pitfall.</p>

<p>Since we usually only notice the lack of something the first time we try to use it, I'd recommend trying to use the platform to hack something at your will without following the tutorials and the courses to the letter. If while creating something different you find anything you dislike, we'll be happy to hear it from you!</p>

<p>TL;DR: If you think the tutorials for a tool aren't showing you something, play with it a bit without following them.</p>
",19401,,,2010-06-12T01:04:39.473,1,CC BY-SA 2.5
4439199,2,4432075,2010-12-14T12:35:12.507,1,"<p>Well, more than 17 hours without a reply, finally I've found an answer to my own question:</p>

<p>In the simplest way, we can solve the problem using the value of ""e"" exponentiating to the logarithm of the number divided by the index:</p>

<p>e^(Log(number)/index)</p>

<p>where number is the radicand and index is the desired root.</p>

<p>Eg: The 10th root of the number 1024:
e^(Log(1024)/10) = 2.</p>

<p>PS: the base of the Log function is also ""e"".
the rounded value for ""e"" is: 2.718281828459045</p>

<p>I hope this technique may be usefull for you.</p>
",312808,,,2010-12-14T12:35:12.507,2,CC BY-SA 2.5
4440086,2,4439797,2010-12-14T14:17:41.833,3,"<p>Say you want to calculate <code>pow(A, B)</code></p>

<p>Consider the representation of <code>B</code> in base 2:</p>

<pre><code>B = b[n]   * pow(2, n    ) +
    b[n-1] * pow(2, n - 1) +
    ...
    b[2]   * pow(2, 2    ) +
    b[1]   * pow(2, 1    ) +
    b[0]   * pow(2, 0    ) +
    b[-1]  * pow(2, -1   ) +
    b[-2]  * pow(2, -2   ) +
    ...

 = sum(b[i] * pow(2, i))
</code></pre>

<p>where <code>b[x]</code> can be <code>0</code> or <code>1</code> and <code>pow(2, y)</code> is an integer power of two (i.e., <code>1</code>, <code>2</code>, <code>4</code>, <code>1/2</code>, <code>1/4</code>, <code>1/8</code>).</p>

<p>Then,</p>

<pre><code>pow(A, B) = pow(A, sum(b[i] * pow(2, i)) = mul(pow(A, b[i] * pow(2, i)))
</code></pre>

<p>And so <code>pow(A, B)</code> can be calculated using only multiplications and square root operations</p>
",124951,,,2010-12-14T14:17:41.833,2,CC BY-SA 2.5
4556306,2,4556252,2010-12-29T17:33:53.903,1,"<p>You have taken the (s) out of the url right? I know it might seem like a silly question but I thought I should check in case you had overlooked it.  The url resolves for me and gives an 'api key is invalid' warning.</p>

<p>The error given would seem to indicate the browser thinks its a relative instead of absolute url.</p>
",62206,,,2010-12-29T17:33:53.903,1,CC BY-SA 2.5
