Id,PostId,Score,Text,CreationDate,UserId,ContentLicense
789041,980932,1,Do you have an example of one of your strings?,2009-06-11T13:17:29.170,64206,CC BY-SA 2.5
4306869,3990732,0,Must not be used by anyone then....thanks!,2010-10-25T17:58:30.453,483404,CC BY-SA 2.5
4847365,4439797,0,"Your own answer to your other question was ""e^(Log(number)/index)"". So what's wrong with ""e^(Log(number)*exponent)""?",2010-12-14T13:59:33.417,148897,CC BY-SA 2.5
4847608,4439797,0,possible duplicate of [Floating exponent exponentiation algorithm](http://stackoverflow.com/questions/4432075/floating-exponent-exponentiation-algorithm),2010-12-14T14:20:10.913,353410,CC BY-SA 2.5
4848129,4439797,0,"The prbolem is that I've discovered that I'm not able to use e^, because Deluge doesn't has a exp (e^) function. So, I cant' perform the algorithm.",2010-12-14T15:05:45.377,312808,CC BY-SA 2.5
4865528,4439797,0,"You can use the Taylor series to compute `e^x`, though your fractions may explode in size.",2010-12-15T19:46:26.263,49246,CC BY-SA 2.5
5052829,4598926,2,The first thing I notice is that your `$.post` calls don't have a closing `)` on them.,2011-01-04T22:09:19.167,160990,CC BY-SA 2.5
6181010,5454541,1,"""...help giant companies carry out their marketing and sales campaigns...""  -- So what is the technological expertise of your development/DBA team?",2011-03-28T04:14:05.473,567736,CC BY-SA 2.5
6188545,5454541,0,Well as of now we dont have DBA expert but have a couple of sharp programmers.,2011-03-28T14:20:21.810,312965,CC BY-SA 2.5
9807826,8005085,0,I've added the script I'm working with @Vikk.  Just not sure where to capture the returned xml to echo back.,2011-11-04T19:08:43.193,1029027,CC BY-SA 3.0
11497326,9139207,0,"See http://www.quickbase.com/api-guide/index.html#errorcodes.html - without knowing the source, this is likely not answerable.",2012-02-04T22:18:23.097,345031,CC BY-SA 3.0
11836645,9372228,0,I removed your api key from the question and Akhil's answer. You may want to invalidate it and get a new key from zoho if it grants access to any sensitive information.,2012-02-21T04:57:06.943,46675,CC BY-SA 3.0
11837260,9372228,0,Thanks mike but its demo setup with no sensitive info...i provided the api key so users can see whats happening exactly.,2012-02-21T05:50:53.920,929265,CC BY-SA 3.0
11840504,9372228,0,Is there any other solution :( :( :( ???,2012-02-21T09:40:22.827,929265,CC BY-SA 3.0
12752377,9980294,3,Have you considered yelling at Intuit?,2012-04-02T16:42:26.207,20862,CC BY-SA 3.0
12755336,9980294,0,"Yeah, good idea, thanks. Couldn't find their support form at first, but emailed them now.",2012-04-02T18:57:18.650,68707,CC BY-SA 3.0
12784968,9980294,0,"Their CS rep got back to me and said, ""I've looked into this further for you and found out that the best thing to do at this time would be to search through our User Voice feature to see if anyone else has requested enhanced support for UTF8 encoding. If so, I'd suggest that you vote on it."" So please vote on https://quickbase.uservoice.com/forums/111823-quickbase-product-feedback/suggestions/2245671-unicode-support -- in the meantime I'll use dan04's solution to work around it.",2012-04-03T21:30:46.773,68707,CC BY-SA 3.0
12787921,9980294,0,"""Enhanced""? Another name for the unrecommend list.",2012-04-04T01:04:13.137,20862,CC BY-SA 3.0
13678124,10557731,0,"Well, I've puzzled out that it is probably due to browsers' not allowing what is called cross-domain (or cross-site) ajax calls. This is not a problem with JSONP, but QuickBase does not respond to calls with JSON, only XML, apparently. Does anyone know of a workaround?",2012-05-12T17:53:46.760,1390191,CC BY-SA 3.0
13862684,10673123,0,Why is this tagged with google-app-engine?  UrlFetchApp is not part of App Engine.,2012-05-21T09:01:52.660,1291131,CC BY-SA 3.0
14250589,10923870,0,"http://csharp.net-tutorials.com/xml/writing-xml-with-the-xmldocument-class/ i think this sums up exactly what i need. i implemented it and it all works great.. i'll post it as answer, unless someone else wants to",2012-06-07T02:31:18.883,1329396,CC BY-SA 3.0
16408676,12242168,0,User [Overlay](http://answers.oreilly.com/topic/1823-adding-a-page-overlay-in-javascript/),2012-09-03T05:00:30.617,1402433,CC BY-SA 3.0
16668790,12382382,0,Are you embedding CKEditor by yourself or using CKEditor component from [OutSystems' network](http://www.outsystems.com/NetworkSolutions/ProjectDetail.aspx?ProjectId=97)?,2012-09-13T10:18:33.093,19401,CC BY-SA 3.0
16682612,12412269,0,how are you jumping in and out of PHP?  `...compOperator='Equals' value='<?PHP echo $MREPSerial; ?>'>...`,2012-09-13T18:15:58.243,1649913,CC BY-SA 3.0
16682696,12412269,0,"Sorry this is all in PHP I just didn't add the entire PHP page, the XML is a variable $param = ""XMLString=
   <ZohoCreator> ....",2012-09-13T18:18:59.700,1376909,CC BY-SA 3.0
16683050,12412269,0,can you do the following for me;   `echo '[['.$MREPSerial.']]';`  and show the output again...,2012-09-13T18:31:32.623,1649913,CC BY-SA 3.0
16683113,12412269,0,"on echo this is what is returned [[A-000-1012]] (the 1012 is because I changed the number, but should work)",2012-09-13T18:34:07.813,1376909,CC BY-SA 3.0
16685076,12412269,1,no clue... doesn't make sense.  Perhaps post a wider section of code before/after including where you assign and test output the $MREPSerial...  perhaps it is something else.,2012-09-13T19:50:55.333,1649913,CC BY-SA 3.0
16686095,12412269,0,"Thanks Dave, you were right it was something somewhat stupid. Since my XML is called in a function and my variable is called outside the function, I was not getting the value. I had to make it global.",2012-09-13T20:35:17.443,1376909,CC BY-SA 3.0
16693943,12382382,0,I am using the component provided by Outsystems.,2012-09-14T06:37:17.737,1537005,CC BY-SA 3.0
16704017,12382382,0,And are you attempting to use several instances of CKEditor on the same page or use it and refresh the place where it is using an *Ajax Refresh*?,2012-09-14T13:38:06.317,19401,CC BY-SA 3.0
16749285,12382382,0,Use it and refresh the place where it is using Ajax refresh.,2012-09-17T07:11:56.443,1537005,CC BY-SA 3.0
17463202,12892318,0,"Yes, before posting this question I Googled, but was not able to find up the appropriate solution.",2012-10-15T11:26:25.307,1537005,CC BY-SA 3.0
18207904,3990732,0,Not necessarily - a lot of these sorts of RAD tools are quite widely used but don't seem to generate many SO questions for some reason.,2012-11-12T11:23:15.837,205546,CC BY-SA 3.0
18245200,13364414,2,Please read the FAQ on how to post questions. A deluge of code is not helpful - no one wants to read it. Just post a relevant stripped-down example.,2012-11-13T16:20:23.493,12579,CC BY-SA 3.0
18245269,13364414,0,"well, that will depend on your getDBRecord() function. If you are pulling the data with ajax, you could assign a callback function to it and show the controls",2012-11-13T16:22:53.333,684613,CC BY-SA 3.0
18443988,13480693,3,Unrelated. Do you have to use `eval`? eval is evil.,2012-11-20T19:37:28.937,538551,CC BY-SA 3.0
18444011,13480693,1,I don't think this does what you think it does: `x == y == z`,2012-11-20T19:38:14.520,538551,CC BY-SA 3.0
18444453,13480693,0,"In addition to @tjameson, you in one place say `msg += ...` and in all other places do `msg = ...`, you probably want to append.",2012-11-20T19:52:58.450,1093982,CC BY-SA 3.0
